date,dow
2014-07-24,42
2014-07-25,42
2014-07-26,25
2014-07-27,21
2014-07-28,40
2014-07-29,42
2014-07-30,43
2014-07-31,58
2014-08-01,66
2014-08-02,29
2014-08-03,25
2014-08-04,45
2014-08-05,50
2014-08-06,49
2014-08-07,48
2014-08-08,48
2014-08-09,27
2014-08-10,24
2014-08-11,42
2014-08-12,42
2014-08-13,43
2014-08-14,43
2014-08-15,46
2014-08-16,26
2014-08-17,22
2014-08-18,41
2014-08-19,45
2014-08-20,43
2014-08-21,46
2014-08-22,43
2014-08-23,25
2014-08-24,22
2014-08-25,43
2014-08-26,45
2014-08-27,44
2014-08-28,43
2014-08-29,42
2014-08-30,25
2014-08-31,20
2014-09-01,23
2014-09-02,40
2014-09-03,40
2014-09-04,41
2014-09-05,42
2014-09-06,23
2014-09-07,22
2014-09-08,38
2014-09-09,40
2014-09-10,40
2014-09-11,44
2014-09-12,40
2014-09-13,24
2014-09-14,21
2014-09-15,39
2014-09-16,41
2014-09-17,44
2014-09-18,43
2014-09-19,43
2014-09-20,25
2014-09-21,21
2014-09-22,40
2014-09-23,42
2014-09-24,43
2014-09-25,48
2014-09-26,50
2014-09-27,26
2014-09-28,21
2014-09-29,43
2014-09-30,42
2014-10-01,51
2014-10-02,54
2014-10-03,51
2014-10-04,28
2014-10-05,22
2014-10-06,44
2014-10-07,49
2014-10-08,57
2014-10-09,62
2014-10-10,71
2014-10-11,33
2014-10-12,24
2014-10-13,60
2014-10-14,66
2014-10-15,100
2014-10-16,96
2014-10-17,76
2014-10-18,31
2014-10-19,24
2014-10-20,60
2014-10-21,61
2014-10-22,59
2014-10-23,61
2014-10-24,58
2014-10-25,28
2014-10-26,24
2014-10-27,51
2014-10-28,55
2014-10-29,56
2014-10-30,59
2014-10-31,62
2014-11-01,28
2014-11-02,22
2014-11-03,52
2014-11-04,51
2014-11-05,56
2014-11-06,56
2014-11-07,54
2014-11-08,28
2014-11-09,23
2014-11-10,45
2014-11-11,48
2014-11-12,49
2014-11-13,53
2014-11-14,51
2014-11-15,26
2014-11-16,22
2014-11-17,43
2014-11-18,46
2014-11-19,47
2014-11-20,46
2014-11-21,49
2014-11-22,25
2014-11-23,20
2014-11-24,43
2014-11-25,44
2014-11-26,43
2014-11-27,28
2014-11-28,35
2014-11-29,25
2014-11-30,21
2014-12-01,43
2014-12-02,47
2014-12-03,47
2014-12-04,46
2014-12-05,48
2014-12-06,28
2014-12-07,23
2014-12-08,44
2014-12-09,48
2014-12-10,50
2014-12-11,52
2014-12-12,55
2014-12-13,31
2014-12-14,24
2014-12-15,54
2014-12-16,62
2014-12-17,59
2014-12-18,63
2014-12-19,64
2014-12-20,30
2014-12-21,24
2014-12-22,51
2014-12-23,64
2014-12-24,55
2014-12-25,30
2014-12-26,43
2014-12-27,29
2014-12-28,23
2014-12-29,46
2014-12-30,50
2014-12-31,50
2015-01-01,31
2015-01-02,45
2015-01-03,28
2015-01-04,23
2015-01-05,56
2015-01-06,68
2015-01-07,61
2015-01-08,61
2015-01-09,55
2015-01-10,30
2015-01-11,24
2015-01-12,51
2015-01-13,55
2015-01-14,61
2015-01-15,59
2015-01-16,59
2015-01-17,28
2015-01-18,24
2015-01-19,39
2015-01-20,53
2015-01-21,60
2015-01-22,64
2015-01-23,55
2015-01-24,29
2015-01-25,24
2015-01-26,47
2015-01-27,59
2015-01-28,60
2015-01-29,60
2015-01-30,57
2015-01-31,30
2015-02-01,24
2015-02-02,49
2015-02-03,53
2015-02-04,56
2015-02-05,55
2015-02-06,56
2015-02-07,31
2015-02-08,24
2015-02-09,47
2015-02-10,53
2015-02-11,50
2015-02-12,53
2015-02-13,55
2015-02-14,26
2015-02-15,22
2015-02-16,40
2015-02-17,51
2015-02-18,52
2015-02-19,49
2015-02-20,52
2015-02-21,28
2015-02-22,21
2015-02-23,46
2015-02-24,50
2015-02-25,51
2015-02-26,51
2015-02-27,48
2015-02-28,26
2015-03-01,22
2015-03-02,47
2015-03-03,51
2015-03-04,48
2015-03-05,49
2015-03-06,62
2015-03-07,36
2015-03-08,25
2015-03-09,50
2015-03-10,57
2015-03-11,59
2015-03-12,56
2015-03-13,56
2015-03-14,28
2015-03-15,24
2015-03-16,50
2015-03-17,53
2015-03-18,58
2015-03-19,58
2015-03-20,54
2015-03-21,30
2015-03-22,23
2015-03-23,50
2015-03-24,48
2015-03-25,45
2015-03-26,58
2015-03-27,54
2015-03-28,30
2015-03-29,24
2015-03-30,52
2015-03-31,55
2015-04-01,52
2015-04-02,50
2015-04-03,45
2015-04-04,25
2015-04-05,22
2015-04-06,49
2015-04-07,53
2015-04-08,49
2015-04-09,48
2015-04-10,49
