date,dow
2015-04-10,15
2015-04-11,7
2015-04-12,7
2015-04-13,15
2015-04-14,15
2015-04-15,15
2015-04-16,15
2015-04-17,16
2015-04-18,9
2015-04-19,7
2015-04-20,15
2015-04-21,16
2015-04-22,16
2015-04-23,15
2015-04-24,15
2015-04-25,8
2015-04-26,6
2015-04-27,14
2015-04-28,14
2015-04-29,15
2015-04-30,15
2015-05-01,16
2015-05-02,7
2015-05-03,7
2015-05-04,14
2015-05-05,18
2015-05-06,18
2015-05-07,15
2015-05-08,15
2015-05-09,8
2015-05-10,7
2015-05-11,15
2015-05-12,15
2015-05-13,14
2015-05-14,15
2015-05-15,15
2015-05-16,8
2015-05-17,6
2015-05-18,14
2015-05-19,15
2015-05-20,14
2015-05-21,15
2015-05-22,13
2015-05-23,7
2015-05-24,6
2015-05-25,7
2015-05-26,14
2015-05-27,14
2015-05-28,14
2015-05-29,14
2015-05-30,8
2015-05-31,7
2015-06-01,13
2015-06-02,14
2015-06-03,14
2015-06-04,15
2015-06-05,15
2015-06-06,8
2015-06-07,7
2015-06-08,14
2015-06-09,15
2015-06-10,15
2015-06-11,15
2015-06-12,14
2015-06-13,8
2015-06-14,6
2015-06-15,14
2015-06-16,15
2015-06-17,15
2015-06-18,15
2015-06-19,14
2015-06-20,8
2015-06-21,6
2015-06-22,14
2015-06-23,15
2015-06-24,15
2015-06-25,15
2015-06-26,15
2015-06-27,8
2015-06-28,7
2015-06-29,22
2015-06-30,23
2015-07-01,19
2015-07-02,19
2015-07-03,12
2015-07-04,8
2015-07-05,8
2015-07-06,21
2015-07-07,19
2015-07-08,24
2015-07-09,22
2015-07-10,19
2015-07-11,9
2015-07-12,7
2015-07-13,18
2015-07-14,17
2015-07-15,16
2015-07-16,16
2015-07-17,16
2015-07-18,8
2015-07-19,7
2015-07-20,15
2015-07-21,17
2015-07-22,16
2015-07-23,17
2015-07-24,17
2015-07-25,9
2015-07-26,7
2015-07-27,18
2015-07-28,18
2015-07-29,17
2015-07-30,16
2015-07-31,16
2015-08-01,9
2015-08-02,7
2015-08-03,15
2015-08-04,16
2015-08-05,16
2015-08-06,17
2015-08-07,17
2015-08-08,9
2015-08-09,7
2015-08-10,16
2015-08-11,18
2015-08-12,21
2015-08-13,19
2015-08-14,17
2015-08-15,9
2015-08-16,7
2015-08-17,16
2015-08-18,16
2015-08-19,17
2015-08-20,21
2015-08-21,39
2015-08-22,18
2015-08-23,12
2015-08-24,100
2015-08-25,78
2015-08-26,64
2015-08-27,50
2015-08-28,41
2015-08-29,15
2015-08-30,10
2015-08-31,31
2015-09-01,39
2015-09-02,39
2015-09-03,33
2015-09-04,32
2015-09-05,13
2015-09-06,9
2015-09-07,13
2015-09-08,28
2015-09-09,30
2015-09-10,29
2015-09-11,27
2015-09-12,11
2015-09-13,9
2015-09-14,24
2015-09-15,25
2015-09-16,25
2015-09-17,26
2015-09-18,26
2015-09-19,11
2015-09-20,8
2015-09-21,23
2015-09-22,26
2015-09-23,24
2015-09-24,25
2015-09-25,23
2015-09-26,10
2015-09-27,8
2015-09-28,23
2015-09-29,26
2015-09-30,23
2015-10-01,22
2015-10-02,22
2015-10-03,9
2015-10-04,8
2015-10-05,20
2015-10-06,21
2015-10-07,20
2015-10-08,20
2015-10-09,20
2015-10-10,9
2015-10-11,8
2015-10-12,18
2015-10-13,19
2015-10-14,19
2015-10-15,19
2015-10-16,19
2015-10-17,9
2015-10-18,8
2015-10-19,17
2015-10-20,17
2015-10-21,17
2015-10-22,19
2015-10-23,20
2015-10-24,9
2015-10-25,7
2015-10-26,17
2015-10-27,18
2015-10-28,18
2015-10-29,18
2015-10-30,17
2015-10-31,9
2015-11-01,7
2015-11-02,17
2015-11-03,18
2015-11-04,18
2015-11-05,17
2015-11-06,17
2015-11-07,9
2015-11-08,7
2015-11-09,16
2015-11-10,17
2015-11-11,16
2015-11-12,16
2015-11-13,17
2015-11-14,8
2015-11-15,8
2015-11-16,17
2015-11-17,17
2015-11-18,17
2015-11-19,17
2015-11-20,16
2015-11-21,8
2015-11-22,7
2015-11-23,14
2015-11-24,15
2015-11-25,15
2015-11-26,10
2015-11-27,12
2015-11-28,8
2015-11-29,7
2015-11-30,14
2015-12-01,15
2015-12-02,15
2015-12-03,16
2015-12-04,18
2015-12-05,9
2015-12-06,7
2015-12-07,15
2015-12-08,16
2015-12-09,24
2015-12-10,21
2015-12-11,26
2015-12-12,12
2015-12-13,8
2015-12-14,19
2015-12-15,19
2015-12-16,22
2015-12-17,20
2015-12-18,19
2015-12-19,10
2015-12-20,7
2015-12-21,17
2015-12-22,17
2015-12-23,17
2015-12-24,16
2015-12-25,9
2015-12-26,8
