date,dow
2012-01-26,80
2012-01-27,76
2012-01-28,50
2012-01-29,45
2012-01-30,72
2012-01-31,77
2012-02-01,73
2012-02-02,79
2012-02-03,86
2012-02-04,56
2012-02-05,49
2012-02-06,81
2012-02-07,83
2012-02-08,81
2012-02-09,80
2012-02-10,79
2012-02-11,54
2012-02-12,46
2012-02-13,77
2012-02-14,78
2012-02-15,80
2012-02-16,88
2012-02-17,86
2012-02-18,55
2012-02-19,47
2012-02-20,66
2012-02-21,100
2012-02-22,93
2012-02-23,88
2012-02-24,83
2012-02-25,53
2012-02-26,51
2012-02-27,81
2012-02-28,89
2012-02-29,88
2012-03-01,80
2012-03-02,75
2012-03-03,54
2012-03-04,50
2012-03-05,70
2012-03-06,89
2012-03-07,85
2012-03-08,76
2012-03-09,77
2012-03-10,50
2012-03-11,43
2012-03-12,75
2012-03-13,85
2012-03-14,87
2012-03-15,81
2012-03-16,78
2012-03-17,49
2012-03-18,50
2012-03-19,73
2012-03-20,80
2012-03-21,79
2012-03-22,75
2012-03-23,73
2012-03-24,50
2012-03-25,42
2012-03-26,77
2012-03-27,76
2012-03-28,76
2012-03-29,73
2012-03-30,72
2012-03-31,49
2012-04-01,44
2012-04-02,77
2012-04-03,77
2012-04-04,77
2012-04-05,74
2012-04-06,64
2012-04-07,45
2012-04-08,45
2012-04-09,72
2012-04-10,85
2012-04-11,78
2012-04-12,77
2012-04-13,75
2012-04-14,50
2012-04-15,41
2012-04-16,71
2012-04-17,74
2012-04-18,74
2012-04-19,72
2012-04-20,71
2012-04-21,44
2012-04-22,39
2012-04-23,70
2012-04-24,71
2012-04-25,71
2012-04-26,74
2012-04-27,73
2012-04-28,43
2012-04-29,40
2012-04-30,71
2012-05-01,75
2012-05-02,72
2012-05-03,68
2012-05-04,72
2012-05-05,43
2012-05-06,40
2012-05-07,76
2012-05-08,75
2012-05-09,78
2012-05-10,79
2012-05-11,74
2012-05-12,48
2012-05-13,44
2012-05-14,78
2012-05-15,79
2012-05-16,80
2012-05-17,82
2012-05-18,92
2012-05-19,53
2012-05-20,44
2012-05-21,73
2012-05-22,78
2012-05-23,81
2012-05-24,77
2012-05-25,69
2012-05-26,49
2012-05-27,39
2012-05-28,50
2012-05-29,67
2012-05-30,77
2012-05-31,75
2012-06-01,93
2012-06-02,56
2012-06-03,44
2012-06-04,87
2012-06-05,81
2012-06-06,78
2012-06-07,82
2012-06-08,75
2012-06-09,43
2012-06-10,45
2012-06-11,76
2012-06-12,76
2012-06-13,73
2012-06-14,72
2012-06-15,71
2012-06-16,43
2012-06-17,43
2012-06-18,74
2012-06-19,75
2012-06-20,72
2012-06-21,74
2012-06-22,78
2012-06-23,44
2012-06-24,40
2012-06-25,71
2012-06-26,72
2012-06-27,69
2012-06-28,85
2012-06-29,79
2012-06-30,51
2012-07-01,41
2012-07-02,71
2012-07-03,72
2012-07-04,51
2012-07-05,69
2012-07-06,69
2012-07-07,42
2012-07-08,38
2012-07-09,66
2012-07-10,70
2012-07-11,70
2012-07-12,72
2012-07-13,72
2012-07-14,42
2012-07-15,40
2012-07-16,69
2012-07-17,71
2012-07-18,70
2012-07-19,73
2012-07-20,68
2012-07-21,44
2012-07-22,42
2012-07-23,75
2012-07-24,74
2012-07-25,73
2012-07-26,78
2012-07-27,79
2012-07-28,48
2012-07-29,43
2012-07-30,72
2012-07-31,71
2012-08-01,72
2012-08-02,72
2012-08-03,74
2012-08-04,42
2012-08-05,41
2012-08-06,71
2012-08-07,79
2012-08-08,75
2012-08-09,70
2012-08-10,69
2012-08-11,40
2012-08-12,40
2012-08-13,70
2012-08-14,75
2012-08-15,71
2012-08-16,69
2012-08-17,69
2012-08-18,44
2012-08-19,42
2012-08-20,68
2012-08-21,69
2012-08-22,70
2012-08-23,67
2012-08-24,68
2012-08-25,39
2012-08-26,40
2012-08-27,64
2012-08-28,65
2012-08-29,67
2012-08-30,66
2012-08-31,65
2012-09-01,41
2012-09-02,40
2012-09-03,49
2012-09-04,69
2012-09-05,69
2012-09-06,79
2012-09-07,83
2012-09-08,47
2012-09-09,40
2012-09-10,66
2012-09-11,76
2012-09-12,73
2012-09-13,79
2012-09-14,90
2012-09-15,48
2012-09-16,40
2012-09-17,74
2012-09-18,72
2012-09-19,74
2012-09-20,73
2012-09-21,68
2012-09-22,50
2012-09-23,53
2012-09-24,70
2012-09-25,71
2012-09-26,72
2012-09-27,72
2012-09-28,66
2012-09-29,45
2012-09-30,39
2012-10-01,73
2012-10-02,69
2012-10-03,68
2012-10-04,73
2012-10-05,79
2012-10-06,42
2012-10-07,36
2012-10-08,66
2012-10-09,71
2012-10-10,71
2012-10-11,71
2012-10-12,68
