date,dow
2014-12-01,52
2014-12-02,56
2014-12-03,58
2014-12-04,56
2014-12-05,61
2014-12-06,33
2014-12-07,28
2014-12-08,54
2014-12-09,61
2014-12-10,60
2014-12-11,64
2014-12-12,69
2014-12-13,37
2014-12-14,30
2014-12-15,67
2014-12-16,75
2014-12-17,73
2014-12-18,75
2014-12-19,77
2014-12-20,38
2014-12-21,28
2014-12-22,63
2014-12-23,80
2014-12-24,67
2014-12-25,35
2014-12-26,55
2014-12-27,36
2014-12-28,26
2014-12-29,56
2014-12-30,60
2014-12-31,60
2015-01-01,38
2015-01-02,56
2015-01-03,34
2015-01-04,26
2015-01-05,69
2015-01-06,85
2015-01-07,74
2015-01-08,72
2015-01-09,68
2015-01-10,37
2015-01-11,29
2015-01-12,61
2015-01-13,66
2015-01-14,72
2015-01-15,68
2015-01-16,69
2015-01-17,33
2015-01-18,27
2015-01-19,50
2015-01-20,64
2015-01-21,72
2015-01-22,79
2015-01-23,67
2015-01-24,36
2015-01-25,29
2015-01-26,56
2015-01-27,71
2015-01-28,73
2015-01-29,71
2015-01-30,67
2015-01-31,39
2015-02-01,29
2015-02-02,60
2015-02-03,63
2015-02-04,69
2015-02-05,65
2015-02-06,68
2015-02-07,36
2015-02-08,28
2015-02-09,56
2015-02-10,63
2015-02-11,62
2015-02-12,62
2015-02-13,63
2015-02-14,33
2015-02-15,27
2015-02-16,47
2015-02-17,63
2015-02-18,59
2015-02-19,59
2015-02-20,62
2015-02-21,35
2015-02-22,26
2015-02-23,55
2015-02-24,60
2015-02-25,61
2015-02-26,59
2015-02-27,58
2015-02-28,30
2015-03-01,28
2015-03-02,55
2015-03-03,62
2015-03-04,60
2015-03-05,59
2015-03-06,75
2015-03-07,43
2015-03-08,31
2015-03-09,61
2015-03-10,70
2015-03-11,72
2015-03-12,67
2015-03-13,65
2015-03-14,34
2015-03-15,28
2015-03-16,60
2015-03-17,65
2015-03-18,68
2015-03-19,69
2015-03-20,67
2015-03-21,34
2015-03-22,27
2015-03-23,59
2015-03-24,58
2015-03-25,55
2015-03-26,69
2015-03-27,67
2015-03-28,35
2015-03-29,28
2015-03-30,62
2015-03-31,66
2015-04-01,63
2015-04-02,61
2015-04-03,52
2015-04-04,32
2015-04-05,26
2015-04-06,59
2015-04-07,61
2015-04-08,59
2015-04-09,59
2015-04-10,60
2015-04-11,30
2015-04-12,26
2015-04-13,57
2015-04-14,59
2015-04-15,59
2015-04-16,58
2015-04-17,65
2015-04-18,32
2015-04-19,28
2015-04-20,60
2015-04-21,64
2015-04-22,61
2015-04-23,61
2015-04-24,58
2015-04-25,31
2015-04-26,27
2015-04-27,57
2015-04-28,57
2015-04-29,62
2015-04-30,61
2015-05-01,62
2015-05-02,29
2015-05-03,27
2015-05-04,55
2015-05-05,71
2015-05-06,70
2015-05-07,61
2015-05-08,60
2015-05-09,34
2015-05-10,28
2015-05-11,61
2015-05-12,59
2015-05-13,57
2015-05-14,61
2015-05-15,61
2015-05-16,34
2015-05-17,26
2015-05-18,56
2015-05-19,59
2015-05-20,59
2015-05-21,56
2015-05-22,56
2015-05-23,30
2015-05-24,25
2015-05-25,30
2015-05-26,58
2015-05-27,59
2015-05-28,58
2015-05-29,59
2015-05-30,31
2015-05-31,27
2015-06-01,53
2015-06-02,58
2015-06-03,56
2015-06-04,59
2015-06-05,61
2015-06-06,32
2015-06-07,27
2015-06-08,55
2015-06-09,58
2015-06-10,61
2015-06-11,64
2015-06-12,56
2015-06-13,31
2015-06-14,26
2015-06-15,56
2015-06-16,61
2015-06-17,60
2015-06-18,61
2015-06-19,59
2015-06-20,31
2015-06-21,26
2015-06-22,57
2015-06-23,60
2015-06-24,59
2015-06-25,59
2015-06-26,60
2015-06-27,33
2015-06-28,28
2015-06-29,90
2015-06-30,96
2015-07-01,78
2015-07-02,76
2015-07-03,50
2015-07-04,30
2015-07-05,30
2015-07-06,87
2015-07-07,77
2015-07-08,100
2015-07-09,93
2015-07-10,75
2015-07-11,37
2015-07-12,30
2015-07-13,70
2015-07-14,70
2015-07-15,67
2015-07-16,68
2015-07-17,66
2015-07-18,35
2015-07-19,30
2015-07-20,61
2015-07-21,68
2015-07-22,67
2015-07-23,64
2015-07-24,68
2015-07-25,35
2015-07-26,32
2015-07-27,70
2015-07-28,74
2015-07-29,68
2015-07-30,67
2015-07-31,65
2015-08-01,35
2015-08-02,28
2015-08-03,64
2015-08-04,65
2015-08-05,63
2015-08-06,67
2015-08-07,71
2015-08-08,37
2015-08-09,30
2015-08-10,63
2015-08-11,73
2015-08-12,86
2015-08-13,75
2015-08-14,65
2015-08-15,36
2015-08-16,28
2015-08-17,64
2015-08-18,66
