date,dow
2013-02-19,62
2013-02-20,68
2013-02-21,69
2013-02-22,64
2013-02-23,38
2013-02-24,31
2013-02-25,63
2013-02-26,72
2013-02-27,72
2013-02-28,78
2013-03-01,74
2013-03-02,40
2013-03-03,34
2013-03-04,67
2013-03-05,100
2013-03-06,99
2013-03-07,83
2013-03-08,81
2013-03-09,44
2013-03-10,36
2013-03-11,68
2013-03-12,71
2013-03-13,70
2013-03-14,69
2013-03-15,71
2013-03-16,40
2013-03-17,34
2013-03-18,72
2013-03-19,75
2013-03-20,70
2013-03-21,69
2013-03-22,67
2013-03-23,37
2013-03-24,33
2013-03-25,65
2013-03-26,66
2013-03-27,66
2013-03-28,68
2013-03-29,55
2013-03-30,35
2013-03-31,31
2013-04-01,62
2013-04-02,69
2013-04-03,67
2013-04-04,66
2013-04-05,68
2013-04-06,36
2013-04-07,30
2013-04-08,63
2013-04-09,64
2013-04-10,68
2013-04-11,67
2013-04-12,66
2013-04-13,36
2013-04-14,32
2013-04-15,72
2013-04-16,80
2013-04-17,75
2013-04-18,73
2013-04-19,63
2013-04-20,36
2013-04-21,33
2013-04-22,61
2013-04-23,72
2013-04-24,70
2013-04-25,71
2013-04-26,61
2013-04-27,35
2013-04-28,33
2013-04-29,61
2013-04-30,64
2013-05-01,64
2013-05-02,65
2013-05-03,79
2013-05-04,40
2013-05-05,32
2013-05-06,64
2013-05-07,72
2013-05-08,73
2013-05-09,69
2013-05-10,70
2013-05-11,36
2013-05-12,32
2013-05-13,61
2013-05-14,65
2013-05-15,70
2013-05-16,67
2013-05-17,65
2013-05-18,36
2013-05-19,31
2013-05-20,62
2013-05-21,64
2013-05-22,67
2013-05-23,75
2013-05-24,65
2013-05-25,32
2013-05-26,31
2013-05-27,36
2013-05-28,68
2013-05-29,70
2013-05-30,67
2013-05-31,65
2013-06-01,38
2013-06-02,34
2013-06-03,65
2013-06-04,66
2013-06-05,73
2013-06-06,78
2013-06-07,71
2013-06-08,38
2013-06-09,31
2013-06-10,62
2013-06-11,65
2013-06-12,66
2013-06-13,70
2013-06-14,66
2013-06-15,35
2013-06-16,30
2013-06-17,62
2013-06-18,63
2013-06-19,67
2013-06-20,93
2013-06-21,95
2013-06-22,44
2013-06-23,34
2013-06-24,84
2013-06-25,81
2013-06-26,76
2013-06-27,73
2013-06-28,70
2013-06-29,38
2013-06-30,31
2013-07-01,66
2013-07-02,67
2013-07-03,69
2013-07-04,41
2013-07-05,62
2013-07-06,37
2013-07-07,32
2013-07-08,65
2013-07-09,66
2013-07-10,68
2013-07-11,76
2013-07-12,73
2013-07-13,38
2013-07-14,32
2013-07-15,67
2013-07-16,71
2013-07-17,68
2013-07-18,69
2013-07-19,66
2013-07-20,39
2013-07-21,30
2013-07-22,63
2013-07-23,66
2013-07-24,66
2013-07-25,68
2013-07-26,63
2013-07-27,35
2013-07-28,31
2013-07-29,60
2013-07-30,62
2013-07-31,61
2013-08-01,66
2013-08-02,67
2013-08-03,34
2013-08-04,31
2013-08-05,62
2013-08-06,65
2013-08-07,63
2013-08-08,62
2013-08-09,62
2013-08-10,35
2013-08-11,30
2013-08-12,59
2013-08-13,63
2013-08-14,61
2013-08-15,75
2013-08-16,75
2013-08-17,37
2013-08-18,32
2013-08-19,63
2013-08-20,67
2013-08-21,68
2013-08-22,71
2013-08-23,66
2013-08-24,35
2013-08-25,32
2013-08-26,60
2013-08-27,70
2013-08-28,76
2013-08-29,67
2013-08-30,64
2013-08-31,36
2013-09-01,30
2013-09-02,38
2013-09-03,63
2013-09-04,65
2013-09-05,61
2013-09-06,62
2013-09-07,35
2013-09-08,29
2013-09-09,61
2013-09-10,78
2013-09-11,78
2013-09-12,74
2013-09-13,69
2013-09-14,35
2013-09-15,32
2013-09-16,68
2013-09-17,66
2013-09-18,78
2013-09-19,76
2013-09-20,69
2013-09-21,38
2013-09-22,33
2013-09-23,67
2013-09-24,67
2013-09-25,63
2013-09-26,63
2013-09-27,61
2013-09-28,35
2013-09-29,31
2013-09-30,74
2013-10-01,93
2013-10-02,78
2013-10-03,79
2013-10-04,72
2013-10-05,37
2013-10-06,33
2013-10-07,70
2013-10-08,79
2013-10-09,82
2013-10-10,83
2013-10-11,83
2013-10-12,38
2013-10-13,36
2013-10-14,76
2013-10-15,83
2013-10-16,97
2013-10-17,86
2013-10-18,76
2013-10-19,36
2013-10-20,30
2013-10-21,65
2013-10-22,69
2013-10-23,67
2013-10-24,69
2013-10-25,67
2013-10-26,35
2013-10-27,31
2013-10-28,63
2013-10-29,65
2013-10-30,65
2013-10-31,62
2013-11-01,65
2013-11-02,34
2013-11-03,31
2013-11-04,60
2013-11-05,63
2013-11-06,65
