date,dow
2017-01-19,38
2017-01-20,48
2017-01-21,28
2017-01-22,19
2017-01-23,41
2017-01-24,43
2017-01-25,100
2017-01-26,79
2017-01-27,52
2017-01-28,26
2017-01-29,20
2017-01-30,52
2017-01-31,62
2017-02-01,50
2017-02-02,45
2017-02-03,45
2017-02-04,24
2017-02-05,17
2017-02-06,37
2017-02-07,41
2017-02-08,38
2017-02-09,41
2017-02-10,40
2017-02-11,22
2017-02-12,17
2017-02-13,39
2017-02-14,42
2017-02-15,45
2017-02-16,45
2017-02-17,42
2017-02-18,22
2017-02-19,17
2017-02-20,30
2017-02-21,41
2017-02-22,43
2017-02-23,42
2017-02-24,44
2017-02-25,23
2017-02-26,18
2017-02-27,40
2017-02-28,41
2017-03-01,64
2017-03-02,56
2017-03-03,49
2017-03-04,23
2017-03-05,18
2017-03-06,40
2017-03-07,42
2017-03-08,41
2017-03-09,41
2017-03-10,41
2017-03-11,22
2017-03-12,18
2017-03-13,36
2017-03-14,38
2017-03-15,41
2017-03-16,40
2017-03-17,37
2017-03-18,20
2017-03-19,17
2017-03-20,37
2017-03-21,48
2017-03-22,53
2017-03-23,46
2017-03-24,44
2017-03-25,22
2017-03-26,18
2017-03-27,47
2017-03-28,48
2017-03-29,44
2017-03-30,41
2017-03-31,41
2017-04-01,20
