date,dow
2016-09-11,5
2016-09-12,11
2016-09-13,11
2016-09-14,10
2016-09-15,10
2016-09-16,10
2016-09-17,5
2016-09-18,4
2016-09-19,9
2016-09-20,9
2016-09-21,9
2016-09-22,9
2016-09-23,9
2016-09-24,5
2016-09-25,4
2016-09-26,9
2016-09-27,10
2016-09-28,9
2016-09-29,9
2016-09-30,9
2016-10-01,5
2016-10-02,4
2016-10-03,8
2016-10-04,9
2016-10-05,9
2016-10-06,9
2016-10-07,8
2016-10-08,5
2016-10-09,4
2016-10-10,8
2016-10-11,9
2016-10-12,9
2016-10-13,10
2016-10-14,9
2016-10-15,5
2016-10-16,4
2016-10-17,8
2016-10-18,9
2016-10-19,9
2016-10-20,8
2016-10-21,8
2016-10-22,5
2016-10-23,4
2016-10-24,8
2016-10-25,8
2016-10-26,9
2016-10-27,8
2016-10-28,9
2016-10-29,5
2016-10-30,4
2016-10-31,8
2016-11-01,9
2016-11-02,9
2016-11-03,9
2016-11-04,9
2016-11-05,5
2016-11-06,4
2016-11-07,11
2016-11-08,11
2016-11-09,100
2016-11-10,29
2016-11-11,18
2016-11-12,8
2016-11-13,6
2016-11-14,13
2016-11-15,12
2016-11-16,11
2016-11-17,10
2016-11-18,10
2016-11-19,5
2016-11-20,4
2016-11-21,9
2016-11-22,12
2016-11-23,11
2016-11-24,7
2016-11-25,8
2016-11-26,5
2016-11-27,5
2016-11-28,9
2016-11-29,9
2016-11-30,9
2016-12-01,10
2016-12-02,10
2016-12-03,5
2016-12-04,4
2016-12-05,9
2016-12-06,9
2016-12-07,10
2016-12-08,11
2016-12-09,11
2016-12-10,6
2016-12-11,4
2016-12-12,10
2016-12-13,12
2016-12-14,13
2016-12-15,12
2016-12-16,11
2016-12-17,6
2016-12-18,4
2016-12-19,9
2016-12-20,12
2016-12-21,12
2016-12-22,11
2016-12-23,10
2016-12-24,6
2016-12-25,4
2016-12-26,6
2016-12-27,10
2016-12-28,10
2016-12-29,10
2016-12-30,10
2016-12-31,6
2017-01-01,4
2017-01-02,7
2017-01-03,10
2017-01-04,10
2017-01-05,10
2017-01-06,11
2017-01-07,6
2017-01-08,5
2017-01-09,9
2017-01-10,10
2017-01-11,10
2017-01-12,10
2017-01-13,10
2017-01-14,5
2017-01-15,4
2017-01-16,7
2017-01-17,9
2017-01-18,9
2017-01-19,9
2017-01-20,12
2017-01-21,7
2017-01-22,5
2017-01-23,10
2017-01-24,11
2017-01-25,24
2017-01-26,19
2017-01-27,13
2017-01-28,6
2017-01-29,5
2017-01-30,13
2017-01-31,15
2017-02-01,12
2017-02-02,11
2017-02-03,11
2017-02-04,6
2017-02-05,4
2017-02-06,9
2017-02-07,10
2017-02-08,9
2017-02-09,10
2017-02-10,10
2017-02-11,5
2017-02-12,4
2017-02-13,10
2017-02-14,11
2017-02-15,11
2017-02-16,11
2017-02-17,11
2017-02-18,6
2017-02-19,4
2017-02-20,7
2017-02-21,10
2017-02-22,11
2017-02-23,11
2017-02-24,11
2017-02-25,5
2017-02-26,4
2017-02-27,10
2017-02-28,11
2017-03-01,16
2017-03-02,14
2017-03-03,12
2017-03-04,6
2017-03-05,4
2017-03-06,10
2017-03-07,10
2017-03-08,10
2017-03-09,10
2017-03-10,10
2017-03-11,5
2017-03-12,4
2017-03-13,9
2017-03-14,9
2017-03-15,10
2017-03-16,10
2017-03-17,9
2017-03-18,5
2017-03-19,4
2017-03-20,9
2017-03-21,12
2017-03-22,12
2017-03-23,11
2017-03-24,11
2017-03-25,5
2017-03-26,5
2017-03-27,12
2017-03-28,12
2017-03-29,11
2017-03-30,10
2017-03-31,10
2017-04-01,5
