date,LBTYA
2012-01-26,0
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,51
2012-02-10,0
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-18,62
2012-02-19,0
2012-02-20,0
2012-02-21,52
2012-02-22,0
2012-02-23,0
2012-02-24,52
2012-02-25,0
2012-02-26,0
2012-02-27,50
2012-02-28,49
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,49
2012-03-08,51
2012-03-09,53
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,50
2012-03-15,0
2012-03-16,0
2012-03-17,61
2012-03-18,0
2012-03-19,50
2012-03-20,0
2012-03-21,0
2012-03-22,51
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,50
2012-03-27,0
2012-03-28,51
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,64
2012-04-08,0
2012-04-09,0
2012-04-10,52
2012-04-11,0
2012-04-12,0
2012-04-13,53
2012-04-14,0
2012-04-15,0
2012-04-16,49
2012-04-17,49
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,50
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,54
2012-05-02,100
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,52
2012-05-12,61
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,50
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,49
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,50
2012-06-22,53
2012-06-23,0
2012-06-24,0
2012-06-25,49
2012-06-26,98
2012-06-27,0
2012-06-28,51
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,50
2012-07-03,49
2012-07-04,0
2012-07-05,52
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,49
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,62
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,50
2012-07-25,0
2012-07-26,0
2012-07-27,53
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,50
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,62
2012-08-06,0
2012-08-07,0
2012-08-08,51
2012-08-09,0
2012-08-10,0
2012-08-11,62
2012-08-12,0
2012-08-13,50
2012-08-14,50
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,52
2012-08-25,0
2012-08-26,0
2012-08-27,48
2012-08-28,0
2012-08-29,0
2012-08-30,48
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,48
2012-09-06,49
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,48
2012-09-11,0
2012-09-12,47
2012-09-13,47
2012-09-14,0
2012-09-15,58
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,49
2012-09-21,0
2012-09-22,58
2012-09-23,0
2012-09-24,0
2012-09-25,93
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,47
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,92
2012-10-12,0
