date,LBTYA
2013-11-06,16
2013-11-07,16
2013-11-08,12
2013-11-09,9
2013-11-10,0
2013-11-11,12
2013-11-12,8
2013-11-13,8
2013-11-14,8
2013-11-15,8
2013-11-16,0
2013-11-17,0
2013-11-18,0
2013-11-19,8
2013-11-20,10
2013-11-21,12
2013-11-22,8
2013-11-23,9
2013-11-24,0
2013-11-25,0
2013-11-26,8
2013-11-27,12
2013-11-28,0
2013-11-29,16
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,8
2013-12-05,8
2013-12-06,8
2013-12-07,0
2013-12-08,0
2013-12-09,8
2013-12-10,0
2013-12-11,0
2013-12-12,8
2013-12-13,8
2013-12-14,9
2013-12-15,0
2013-12-16,0
2013-12-17,8
2013-12-18,8
2013-12-19,8
2013-12-20,9
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,9
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,8
2014-01-04,0
2014-01-05,9
2014-01-06,8
2014-01-07,15
2014-01-08,11
2014-01-09,0
2014-01-10,0
2014-01-11,9
2014-01-12,0
2014-01-13,7
2014-01-14,8
2014-01-15,7
2014-01-16,0
2014-01-17,12
2014-01-18,9
2014-01-19,0
2014-01-20,7
2014-01-21,0
2014-01-22,15
2014-01-23,7
2014-01-24,8
2014-01-25,9
2014-01-26,9
2014-01-27,7
2014-01-28,7
2014-01-29,0
2014-01-30,0
2014-01-31,8
2014-02-01,9
2014-02-02,0
2014-02-03,7
2014-02-04,15
2014-02-05,7
2014-02-06,0
2014-02-07,8
2014-02-08,9
2014-02-09,0
2014-02-10,7
2014-02-11,7
2014-02-12,7
2014-02-13,0
2014-02-14,16
2014-02-15,13
2014-02-16,9
2014-02-17,7
2014-02-18,7
2014-02-19,17
2014-02-20,10
2014-02-21,8
2014-02-22,0
2014-02-23,9
2014-02-24,7
2014-02-25,14
2014-02-26,0
2014-02-27,7
2014-02-28,0
2014-03-01,9
2014-03-02,9
2014-03-03,15
2014-03-04,100
2014-03-05,42
2014-03-06,22
2014-03-07,18
2014-03-08,9
2014-03-09,0
2014-03-10,7
2014-03-11,11
2014-03-12,7
2014-03-13,7
2014-03-14,16
2014-03-15,0
2014-03-16,9
2014-03-17,7
2014-03-18,12
2014-03-19,7
2014-03-20,7
2014-03-21,8
2014-03-22,0
2014-03-23,0
2014-03-24,7
2014-03-25,22
2014-03-26,7
2014-03-27,15
2014-03-28,15
2014-03-29,0
2014-03-30,0
2014-03-31,22
2014-04-01,7
2014-04-02,7
2014-04-03,0
2014-04-04,23
2014-04-05,0
2014-04-06,9
2014-04-07,10
2014-04-08,7
2014-04-09,10
2014-04-10,15
2014-04-11,8
2014-04-12,9
2014-04-13,0
2014-04-14,7
2014-04-15,11
2014-04-16,8
2014-04-17,8
2014-04-18,0
2014-04-19,9
2014-04-20,0
2014-04-21,8
2014-04-22,7
2014-04-23,7
2014-04-24,8
2014-04-25,12
2014-04-26,0
2014-04-27,0
2014-04-28,11
2014-04-29,7
2014-04-30,7
2014-05-01,13
2014-05-02,16
2014-05-03,0
2014-05-04,0
2014-05-05,22
2014-05-06,37
2014-05-07,17
2014-05-08,7
2014-05-09,8
2014-05-10,9
2014-05-11,9
2014-05-12,14
2014-05-13,0
2014-05-14,0
2014-05-15,15
2014-05-16,8
2014-05-17,0
2014-05-18,9
2014-05-19,15
2014-05-20,15
2014-05-21,8
2014-05-22,8
2014-05-23,8
2014-05-24,0
2014-05-25,10
2014-05-26,0
2014-05-27,8
2014-05-28,12
2014-05-29,12
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,16
2014-06-05,8
2014-06-06,17
2014-06-07,0
2014-06-08,10
2014-06-09,0
2014-06-10,8
2014-06-11,8
2014-06-12,12
2014-06-13,17
2014-06-14,0
2014-06-15,0
2014-06-16,0
2014-06-17,8
2014-06-18,17
2014-06-19,8
2014-06-20,17
2014-06-21,0
2014-06-22,0
2014-06-23,8
2014-06-24,8
2014-06-25,16
2014-06-26,8
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,8
2014-07-01,17
2014-07-02,8
2014-07-03,9
2014-07-04,9
2014-07-05,0
2014-07-06,10
2014-07-07,33
2014-07-08,0
2014-07-09,16
2014-07-10,8
2014-07-11,9
2014-07-12,10
2014-07-13,0
2014-07-14,8
2014-07-15,8
2014-07-16,17
2014-07-17,8
2014-07-18,9
2014-07-19,0
2014-07-20,0
2014-07-21,8
2014-07-22,8
2014-07-23,9
2014-07-24,8
