date,LBTYA
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,53
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,51
2012-11-07,51
2012-11-08,53
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,51
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,50
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,53
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,50
2012-12-12,0
2012-12-13,51
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,62
2013-01-01,0
2013-01-02,0
2013-01-03,51
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,50
2013-01-08,0
2013-01-09,49
2013-01-10,0
2013-01-11,51
2013-01-12,0
2013-01-13,0
2013-01-14,48
2013-01-15,0
2013-01-16,96
2013-01-17,97
2013-01-18,50
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,48
2013-02-01,51
2013-02-02,57
2013-02-03,0
2013-02-04,47
2013-02-05,71
2013-02-06,96
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,49
2013-02-13,48
2013-02-14,49
2013-02-15,51
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,47
2013-02-20,0
2013-02-21,48
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,47
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,55
2013-03-04,0
2013-03-05,47
2013-03-06,48
2013-03-07,48
2013-03-08,49
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,48
2013-03-16,0
2013-03-17,0
2013-03-18,46
2013-03-19,0
2013-03-20,46
2013-03-21,0
2013-03-22,48
2013-03-23,0
2013-03-24,0
2013-03-25,46
2013-03-26,47
2013-03-27,0
2013-03-28,50
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,48
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,55
2013-04-07,55
2013-04-08,0
2013-04-09,46
2013-04-10,47
2013-04-11,0
2013-04-12,49
2013-04-13,0
2013-04-14,0
2013-04-15,47
2013-04-16,0
2013-04-17,47
2013-04-18,47
2013-04-19,49
2013-04-20,0
2013-04-21,0
2013-04-22,46
2013-04-23,47
2013-04-24,0
2013-04-25,0
2013-04-26,74
2013-04-27,0
2013-04-28,0
2013-04-29,47
2013-04-30,0
2013-05-01,0
2013-05-02,95
2013-05-03,0
2013-05-04,0
2013-05-05,0
2013-05-06,0
2013-05-07,93
2013-05-08,47
2013-05-09,48
2013-05-10,100
2013-05-11,0
2013-05-12,56
2013-05-13,46
2013-05-14,92
2013-05-15,61
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,46
2013-05-21,0
2013-05-22,46
2013-05-23,92
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,67
2013-05-29,91
2013-05-30,47
2013-05-31,49
2013-06-01,0
2013-06-02,0
2013-06-03,60
2013-06-04,46
2013-06-05,69
2013-06-06,46
2013-06-07,73
2013-06-08,75
2013-06-09,0
2013-06-10,90
2013-06-11,91
2013-06-12,46
2013-06-13,93
2013-06-14,49
2013-06-15,0
2013-06-16,0
2013-06-17,46
2013-06-18,92
2013-06-19,69
2013-06-20,70
2013-06-21,73
2013-06-22,56
2013-06-23,0
2013-06-24,46
2013-06-25,46
2013-06-26,46
2013-06-27,47
2013-06-28,0
2013-06-29,0
