date,LBTYA
2014-03-16,0
2014-03-17,0
2014-03-18,29
2014-03-19,39
2014-03-20,40
2014-03-21,0
2014-03-22,23
2014-03-23,23
2014-03-24,19
2014-03-25,29
2014-03-26,20
2014-03-27,20
2014-03-28,0
2014-03-29,24
2014-03-30,0
2014-03-31,0
2014-04-01,20
2014-04-02,40
2014-04-03,20
2014-04-04,41
2014-04-05,23
2014-04-06,47
2014-04-07,29
2014-04-08,20
2014-04-09,20
2014-04-10,60
2014-04-11,21
2014-04-12,24
2014-04-13,0
2014-04-14,20
2014-04-15,40
2014-04-16,30
2014-04-17,21
2014-04-18,67
2014-04-19,50
2014-04-20,0
2014-04-21,22
2014-04-22,20
2014-04-23,20
2014-04-24,20
2014-04-25,63
2014-04-26,24
2014-04-27,23
2014-04-28,19
2014-04-29,29
2014-04-30,20
2014-05-01,44
2014-05-02,21
2014-05-03,0
2014-05-04,23
2014-05-05,50
2014-05-06,99
2014-05-07,78
2014-05-08,40
2014-05-09,21
2014-05-10,0
2014-05-11,0
2014-05-12,38
2014-05-13,29
2014-05-14,49
2014-05-15,50
2014-05-16,41
2014-05-17,24
2014-05-18,24
2014-05-19,49
2014-05-20,40
2014-05-21,22
2014-05-22,65
2014-05-23,80
2014-05-24,0
2014-05-25,40
2014-05-26,0
2014-05-27,43
2014-05-28,65
2014-05-29,100
2014-05-30,23
2014-05-31,0
2014-06-01,80
2014-06-02,22
2014-06-03,43
2014-06-04,65
2014-06-05,44
2014-06-06,69
2014-06-07,0
2014-06-08,55
2014-06-09,22
2014-06-10,44
2014-06-11,22
2014-06-12,44
2014-06-13,0
2014-06-14,27
2014-06-15,27
2014-06-16,43
2014-06-17,43
2014-06-18,22
2014-06-19,23
2014-06-20,70
2014-06-21,0
2014-06-22,0
2014-06-23,22
2014-06-24,22
2014-06-25,44
2014-06-26,22
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,22
2014-07-01,33
2014-07-02,23
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,55
2014-07-08,22
2014-07-09,22
2014-07-10,22
2014-07-11,0
2014-07-12,0
2014-07-13,26
2014-07-14,22
2014-07-15,22
2014-07-16,23
2014-07-17,0
2014-07-18,70
2014-07-19,0
2014-07-20,0
2014-07-21,22
2014-07-22,22
2014-07-23,23
2014-07-24,34
2014-07-25,23
2014-07-26,0
2014-07-27,27
2014-07-28,22
2014-07-29,0
2014-07-30,23
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,44
2014-08-06,55
2014-08-07,32
2014-08-08,24
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,44
2014-08-14,45
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,23
2014-08-23,26
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,33
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,21
2014-09-02,21
2014-09-03,21
2014-09-04,0
2014-09-05,0
2014-09-06,26
2014-09-07,0
2014-09-08,0
2014-09-09,20
2014-09-10,20
2014-09-11,21
2014-09-12,0
2014-09-13,25
2014-09-14,0
2014-09-15,21
2014-09-16,21
2014-09-17,0
2014-09-18,21
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,51
2014-09-23,0
2014-09-24,21
2014-09-25,21
2014-09-26,22
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,21
2014-10-01,21
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,21
2014-10-09,21
2014-10-10,0
2014-10-11,25
2014-10-12,0
2014-10-13,20
2014-10-14,0
2014-10-15,20
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,20
2014-10-22,20
2014-10-23,31
2014-10-24,0
2014-10-25,25
2014-10-26,48
2014-10-27,0
2014-10-28,0
2014-10-29,41
2014-10-30,0
2014-10-31,22
2014-11-01,25
2014-11-02,0
2014-11-03,20
2014-11-04,20
2014-11-05,0
2014-11-06,30
2014-11-07,0
2014-11-08,24
2014-11-09,0
2014-11-10,20
2014-11-11,0
2014-11-12,20
2014-11-13,0
2014-11-14,0
2014-11-15,0
2014-11-16,0
2014-11-17,0
2014-11-18,43
2014-11-19,0
2014-11-20,0
2014-11-21,0
2014-11-22,0
2014-11-23,23
2014-11-24,0
2014-11-25,0
2014-11-26,0
2014-11-27,21
2014-11-28,42
2014-11-29,0
2014-11-30,23
2014-12-01,19
