date,LBTYA,isPartial
2018-02-13,0,False
2018-02-14,0,False
2018-02-15,17,False
2018-02-16,35,False
2018-02-17,0,False
2018-02-18,0,False
2018-02-19,0,False
2018-02-20,33,False
2018-02-21,32,False
2018-02-22,17,False
2018-02-23,0,False
2018-02-24,0,False
2018-02-25,0,False
2018-02-26,0,False
2018-02-27,16,False
2018-02-28,0,False
2018-03-01,0,False
2018-03-02,17,False
2018-03-03,0,False
2018-03-04,18,False
2018-03-05,16,False
2018-03-06,0,False
2018-03-07,16,False
2018-03-08,34,False
2018-03-09,0,False
2018-03-10,0,False
2018-03-11,0,False
2018-03-12,0,False
2018-03-13,16,False
2018-03-14,0,False
2018-03-15,0,False
2018-03-16,17,False
2018-03-17,0,False
2018-03-18,0,False
2018-03-19,33,False
2018-03-20,16,False
2018-03-21,0,False
2018-03-22,0,False
2018-03-23,17,False
2018-03-24,0,False
2018-03-25,0,False
2018-03-26,17,False
2018-03-27,0,False
2018-03-28,0,False
2018-03-29,18,False
2018-03-30,0,False
2018-03-31,0,False
2018-04-01,0,False
2018-04-02,0,False
2018-04-03,0,False
2018-04-04,0,False
2018-04-05,0,False
2018-04-06,18,False
2018-04-07,0,False
2018-04-08,0,False
2018-04-09,0,False
2018-04-10,0,False
2018-04-11,0,False
2018-04-12,0,False
2018-04-13,0,False
2018-04-14,0,False
2018-04-15,0,False
2018-04-16,0,False
2018-04-17,17,False
2018-04-18,17,False
2018-04-19,17,False
2018-04-20,0,False
2018-04-21,0,False
2018-04-22,0,False
2018-04-23,16,False
2018-04-24,0,False
2018-04-25,0,False
2018-04-26,0,False
2018-04-27,18,False
2018-04-28,0,False
2018-04-29,0,False
2018-04-30,0,False
2018-05-01,0,False
2018-05-02,0,False
2018-05-03,0,False
2018-05-04,17,False
2018-05-05,0,False
2018-05-06,0,False
2018-05-07,0,False
2018-05-08,17,False
2018-05-09,100,False
2018-05-10,0,False
2018-05-11,17,False
2018-05-12,19,False
2018-05-13,19,False
2018-05-14,17,False
2018-05-15,0,False
2018-05-16,0,False
2018-05-17,0,False
2018-05-18,35,False
2018-05-19,0,False
2018-05-20,0,False
2018-05-21,0,False
2018-05-22,0,False
2018-05-23,0,False
2018-05-24,17,False
2018-05-25,18,False
2018-05-26,0,False
2018-05-27,20,False
2018-05-28,0,False
2018-05-29,33,False
2018-05-30,17,False
2018-05-31,0,False
2018-06-01,0,False
