date,INCY,isPartial
2012-06-04,34,False
2012-06-05,58,False
2012-06-06,58,False
2012-06-07,45,False
2012-06-08,51,False
2012-06-09,60,False
2012-06-10,48,False
2012-06-11,62,False
2012-06-12,57,False
2012-06-13,54,False
2012-06-14,49,False
2012-06-15,52,False
2012-06-16,24,False
2012-06-17,30,False
2012-06-18,33,False
2012-06-19,58,False
2012-06-20,54,False
2012-06-21,49,False
2012-06-22,57,False
2012-06-23,56,False
2012-06-24,55,False
2012-06-25,58,False
2012-06-26,34,False
2012-06-27,64,False
2012-06-28,30,False
2012-06-29,52,False
2012-06-30,31,False
2012-07-01,37,False
2012-07-02,49,False
2012-07-03,25,False
2012-07-04,31,False
2012-07-05,31,False
2012-07-06,68,False
2012-07-07,50,False
2012-07-08,61,False
2012-07-09,44,False
2012-07-10,24,False
2012-07-11,74,False
2012-07-12,50,False
2012-07-13,31,False
2012-07-14,62,False
2012-07-15,24,False
2012-07-16,25,False
2012-07-17,24,False
2012-07-18,54,False
2012-07-19,40,False
2012-07-20,26,False
2012-07-21,57,False
2012-07-22,56,False
2012-07-23,30,False
2012-07-24,45,False
2012-07-25,45,False
2012-07-26,10,False
2012-07-27,74,False
2012-07-28,61,False
2012-07-29,74,False
2012-07-30,49,False
2012-07-31,30,False
2012-08-01,49,False
2012-08-02,30,False
2012-08-03,84,False
2012-08-04,43,False
2012-08-05,67,False
2012-08-06,59,False
2012-08-07,40,False
2012-08-08,39,False
2012-08-09,50,False
2012-08-10,37,False
2012-08-11,49,False
2012-08-12,56,False
2012-08-13,50,False
2012-08-14,35,False
2012-08-15,31,False
2012-08-16,45,False
2012-08-17,37,False
2012-08-18,57,False
2012-08-19,76,False
2012-08-20,56,False
2012-08-21,50,False
2012-08-22,54,False
2012-08-23,70,False
2012-08-24,41,False
2012-08-25,36,False
2012-08-26,54,False
2012-08-27,48,False
2012-08-28,38,False
2012-08-29,53,False
2012-08-30,59,False
2012-08-31,55,False
2012-09-01,71,False
2012-09-02,42,False
2012-09-03,20,False
2012-09-04,61,False
2012-09-05,43,False
2012-09-06,73,False
2012-09-07,46,False
2012-09-08,77,False
2012-09-09,69,False
2012-09-10,52,False
2012-09-11,80,False
2012-09-12,57,False
2012-09-13,47,False
2012-09-14,50,False
2012-09-15,46,False
2012-09-16,23,False
2012-09-17,57,False
2012-09-18,23,False
2012-09-19,57,False
2012-09-20,29,False
2012-09-21,70,False
2012-09-22,46,False
2012-09-23,72,False
2012-09-24,70,False
2012-09-25,56,False
2012-09-26,47,False
2012-09-27,56,False
2012-09-28,55,False
2012-09-29,45,False
2012-09-30,73,False
2012-10-01,89,False
2012-10-02,61,False
2012-10-03,85,False
2012-10-04,60,False
2012-10-05,72,False
2012-10-06,62,False
2012-10-07,43,False
2012-10-08,55,False
2012-10-09,50,False
2012-10-10,100,False
2012-10-11,64,False
2012-10-12,72,False
2012-10-13,88,False
2012-10-14,48,False
2012-10-15,54,False
2012-10-16,58,False
2012-10-17,72,False
2012-10-18,46,False
2012-10-19,66,False
2012-10-20,88,False
2012-10-21,48,False
2012-10-22,31,False
2012-10-23,66,False
2012-10-24,80,False
2012-10-25,60,False
2012-10-26,43,False
2012-10-27,67,False
2012-10-28,78,False
2012-10-29,57,False
2012-10-30,43,False
2012-10-31,59,False
2012-11-01,71,False
2012-11-02,77,False
2012-11-03,59,False
2012-11-04,78,False
2012-11-05,87,False
2012-11-06,96,False
2012-11-07,61,False
2012-11-08,45,False
2012-11-09,42,False
2012-11-10,58,False
2012-11-11,47,False
2012-11-12,57,False
2012-11-13,62,False
2012-11-14,98,False
2012-11-15,59,False
2012-11-16,42,False
2012-11-17,68,False
2012-11-18,36,False
2012-11-19,48,False
2012-11-20,73,False
2012-11-21,80,False
2012-11-22,32,False
2012-11-23,43,False
2012-11-24,95,False
2012-11-25,52,False
2012-11-26,73,False
2012-11-27,47,False
2012-11-28,48,False
2012-11-29,31,False
2012-11-30,41,False
2012-12-01,36,False
2012-12-02,62,False
2012-12-03,51,False
2012-12-04,51,False
2012-12-05,26,False
2012-12-06,44,False
2012-12-07,69,False
2012-12-08,53,False
2012-12-09,71,False
2012-12-10,17,False
2012-12-11,77,False
2012-12-12,61,False
2012-12-13,57,False
2012-12-14,73,False
2012-12-15,62,False
2012-12-16,51,False
2012-12-17,73,False
2012-12-18,22,False
2012-12-19,45,False
2012-12-20,18,False
2012-12-21,39,False
2012-12-22,43,False
2012-12-23,78,False
2012-12-24,44,False
2012-12-25,53,False
2012-12-26,50,False
2012-12-27,42,False
2012-12-28,38,False
2012-12-29,74,False
2012-12-30,27,False
2012-12-31,49,False
2013-01-01,50,False
2013-01-02,58,False
2013-01-03,53,False
2013-01-04,58,False
2013-01-05,55,False
2013-01-06,30,False
2013-01-07,64,False
2013-01-08,42,False
2013-01-09,50,False
2013-01-10,59,False
2013-01-11,65,False
2013-01-12,69,False
2013-01-13,58,False
2013-01-14,41,False
2013-01-15,53,False
2013-01-16,62,False
2013-01-17,29,False
2013-01-18,65,False
2013-01-19,68,False
2013-01-20,48,False
2013-01-21,53,False
2013-01-22,82,False
2013-01-23,82,False
2013-01-24,25,False
2013-01-25,35,False
2013-01-26,59,False
2013-01-27,48,False
2013-01-28,56,False
2013-01-29,45,False
2013-01-30,49,False
2013-01-31,75,False
2013-02-01,47,False
2013-02-02,58,False
2013-02-03,33,False
2013-02-04,46,False
2013-02-05,37,False
2013-02-06,37,False
2013-02-07,62,False
2013-02-08,42,False
2013-02-09,69,False
2013-02-10,69,False
2013-02-11,63,False
2013-02-12,72,False
2013-02-13,75,False
2013-02-14,42,False
2013-02-15,87,False
2013-02-16,29,False
2013-02-17,63,False
2013-02-18,33,False
2013-02-19,45,False
