date,SIRI
2015-08-18,44
2015-08-19,42
2015-08-20,42
2015-08-21,43
2015-08-22,51
2015-08-23,50
2015-08-24,39
2015-08-25,39
2015-08-26,38
2015-08-27,46
2015-08-28,48
2015-08-29,52
2015-08-30,53
2015-08-31,37
2015-09-01,37
2015-09-02,37
2015-09-03,40
2015-09-04,41
2015-09-05,48
2015-09-06,48
2015-09-07,42
2015-09-08,39
2015-09-09,53
2015-09-10,50
2015-09-11,49
2015-09-12,55
2015-09-13,56
2015-09-14,42
2015-09-15,41
2015-09-16,50
2015-09-17,71
2015-09-18,71
2015-09-19,81
2015-09-20,76
2015-09-21,56
2015-09-22,57
2015-09-23,71
2015-09-24,70
2015-09-25,70
2015-09-26,82
2015-09-27,81
2015-09-28,58
2015-09-29,57
2015-09-30,55
2015-10-01,58
2015-10-02,58
2015-10-03,69
2015-10-04,68
2015-10-05,53
2015-10-06,52
2015-10-07,50
2015-10-08,50
2015-10-09,55
2015-10-10,65
2015-10-11,66
2015-10-12,52
2015-10-13,49
2015-10-14,47
2015-10-15,48
2015-10-16,49
2015-10-17,58
2015-10-18,58
2015-10-19,46
2015-10-20,45
2015-10-21,48
2015-10-22,50
2015-10-23,50
2015-10-24,60
2015-10-25,58
2015-10-26,48
2015-10-27,46
2015-10-28,47
2015-10-29,50
2015-10-30,49
2015-10-31,56
2015-11-01,57
2015-11-02,48
2015-11-03,46
2015-11-04,45
2015-11-05,44
2015-11-06,46
2015-11-07,58
2015-11-08,57
2015-11-09,46
2015-11-10,43
2015-11-11,44
2015-11-12,44
2015-11-13,45
2015-11-14,53
2015-11-15,56
2015-11-16,44
2015-11-17,46
2015-11-18,44
2015-11-19,45
2015-11-20,48
2015-11-21,54
2015-11-22,55
2015-11-23,43
2015-11-24,43
2015-11-25,43
2015-11-26,49
2015-11-27,48
2015-11-28,55
2015-11-29,54
2015-11-30,39
2015-12-01,39
2015-12-02,41
2015-12-03,42
2015-12-04,44
2015-12-05,53
2015-12-06,53
2015-12-07,42
2015-12-08,42
2015-12-09,45
2015-12-10,46
2015-12-11,48
2015-12-12,56
2015-12-13,55
2015-12-14,42
2015-12-15,44
2015-12-16,46
2015-12-17,47
2015-12-18,48
2015-12-19,58
2015-12-20,58
2015-12-21,48
2015-12-22,49
2015-12-23,51
2015-12-24,64
2015-12-25,100
2015-12-26,78
2015-12-27,73
2015-12-28,60
2015-12-29,59
2015-12-30,63
2015-12-31,69
2016-01-01,78
2016-01-02,71
2016-01-03,63
2016-01-04,52
2016-01-05,50
2016-01-06,51
2016-01-07,50
2016-01-08,49
2016-01-09,60
2016-01-10,61
2016-01-11,45
2016-01-12,66
2016-01-13,99
2016-01-14,85
2016-01-15,81
2016-01-16,94
2016-01-17,89
2016-01-18,70
2016-01-19,61
2016-01-20,63
2016-01-21,64
2016-01-22,67
2016-01-23,84
2016-01-24,79
2016-01-25,57
2016-01-26,56
2016-01-27,55
2016-01-28,60
2016-01-29,58
2016-01-30,69
2016-01-31,67
2016-02-01,49
2016-02-02,48
2016-02-03,48
2016-02-04,47
2016-02-05,51
2016-02-06,65
2016-02-07,60
2016-02-08,46
2016-02-09,44
2016-02-10,44
2016-02-11,45
2016-02-12,49
2016-02-13,56
2016-02-14,56
2016-02-15,48
2016-02-16,45
2016-02-17,48
2016-02-18,46
2016-02-19,45
2016-02-20,62
2016-02-21,61
2016-02-22,45
2016-02-23,40
2016-02-24,42
2016-02-25,44
2016-02-26,43
2016-02-27,57
2016-02-28,53
2016-02-29,40
2016-03-01,39
2016-03-02,47
2016-03-03,47
2016-03-04,49
2016-03-05,59
2016-03-06,59
2016-03-07,46
2016-03-08,44
2016-03-09,44
2016-03-10,43
2016-03-11,45
2016-03-12,54
2016-03-13,54
2016-03-14,42
2016-03-15,42
2016-03-16,43
2016-03-17,46
2016-03-18,50
2016-03-19,58
2016-03-20,59
2016-03-21,50
2016-03-22,49
2016-03-23,50
2016-03-24,52
2016-03-25,58
2016-03-26,64
2016-03-27,66
2016-03-28,51
2016-03-29,46
2016-03-30,46
2016-03-31,51
2016-04-01,51
2016-04-02,57
2016-04-03,57
2016-04-04,47
2016-04-05,45
2016-04-06,44
2016-04-07,44
2016-04-08,46
2016-04-09,57
2016-04-10,54
2016-04-11,42
2016-04-12,43
2016-04-13,46
2016-04-14,44
2016-04-15,44
2016-04-16,52
2016-04-17,50
2016-04-18,39
2016-04-19,39
2016-04-20,43
2016-04-21,42
2016-04-22,42
2016-04-23,51
2016-04-24,48
2016-04-25,36
2016-04-26,38
2016-04-27,38
2016-04-28,38
2016-04-29,42
2016-04-30,49
2016-05-01,48
2016-05-02,36
2016-05-03,35
2016-05-04,37
