date,SIRI
2011-05-11,3
2011-05-12,2
2011-05-13,2
2011-05-14,2
2011-05-15,1
2011-05-16,2
2011-05-17,2
2011-05-18,2
2011-05-19,2
2011-05-20,2
2011-05-21,1
2011-05-22,1
2011-05-23,2
2011-05-24,2
2011-05-25,2
2011-05-26,2
2011-05-27,2
2011-05-28,2
2011-05-29,1
2011-05-30,2
2011-05-31,2
2011-06-01,2
2011-06-02,2
2011-06-03,2
2011-06-04,2
2011-06-05,2
2011-06-06,2
2011-06-07,2
2011-06-08,2
2011-06-09,2
2011-06-10,2
2011-06-11,2
2011-06-12,2
2011-06-13,2
2011-06-14,2
2011-06-15,2
2011-06-16,2
2011-06-17,2
2011-06-18,2
2011-06-19,1
2011-06-20,2
2011-06-21,2
2011-06-22,2
2011-06-23,2
2011-06-24,2
2011-06-25,1
2011-06-26,2
2011-06-27,2
2011-06-28,2
2011-06-29,2
2011-06-30,2
2011-07-01,2
2011-07-02,2
2011-07-03,1
2011-07-04,1
2011-07-05,2
2011-07-06,2
2011-07-07,2
2011-07-08,2
2011-07-09,2
2011-07-10,2
2011-07-11,2
2011-07-12,3
2011-07-13,2
2011-07-14,2
2011-07-15,2
2011-07-16,2
2011-07-17,2
2011-07-18,2
2011-07-19,2
2011-07-20,2
2011-07-21,2
2011-07-22,2
2011-07-23,2
2011-07-24,2
2011-07-25,2
2011-07-26,2
2011-07-27,2
2011-07-28,2
2011-07-29,2
2011-07-30,2
2011-07-31,2
2011-08-01,2
2011-08-02,2
2011-08-03,2
2011-08-04,2
2011-08-05,2
2011-08-06,2
2011-08-07,2
2011-08-08,3
2011-08-09,3
2011-08-10,2
2011-08-11,2
2011-08-12,2
2011-08-13,2
2011-08-14,1
2011-08-15,2
2011-08-16,2
2011-08-17,2
2011-08-18,2
2011-08-19,2
2011-08-20,2
2011-08-21,1
2011-08-22,2
2011-08-23,2
2011-08-24,2
2011-08-25,2
2011-08-26,2
2011-08-27,1
2011-08-28,1
2011-08-29,2
2011-08-30,2
2011-08-31,2
2011-09-01,2
2011-09-02,2
2011-09-03,1
2011-09-04,1
2011-09-05,1
2011-09-06,2
2011-09-07,2
2011-09-08,2
2011-09-09,2
2011-09-10,1
2011-09-11,1
2011-09-12,2
2011-09-13,2
2011-09-14,2
2011-09-15,2
2011-09-16,2
2011-09-17,1
2011-09-18,2
2011-09-19,2
2011-09-20,2
2011-09-21,2
2011-09-22,2
2011-09-23,2
2011-09-24,2
2011-09-25,2
2011-09-26,2
2011-09-27,2
2011-09-28,2
2011-09-29,2
2011-09-30,2
2011-10-01,1
2011-10-02,2
2011-10-03,2
2011-10-04,37
2011-10-05,69
2011-10-06,31
2011-10-07,23
2011-10-08,21
2011-10-09,17
2011-10-10,17
2011-10-11,18
2011-10-12,33
2011-10-13,46
2011-10-14,70
2011-10-15,100
2011-10-16,75
2011-10-17,70
2011-10-18,62
2011-10-19,52
2011-10-20,46
2011-10-21,50
2011-10-22,49
2011-10-23,42
2011-10-24,36
2011-10-25,35
2011-10-26,32
2011-10-27,30
2011-10-28,33
2011-10-29,35
2011-10-30,38
2011-10-31,33
2011-11-01,31
2011-11-02,28
2011-11-03,30
2011-11-04,31
2011-11-05,32
2011-11-06,31
2011-11-07,29
2011-11-08,28
2011-11-09,28
2011-11-10,27
2011-11-11,28
2011-11-12,29
2011-11-13,29
2011-11-14,22
2011-11-15,25
2011-11-16,24
2011-11-17,24
2011-11-18,25
2011-11-19,27
2011-11-20,27
2011-11-21,24
2011-11-22,22
2011-11-23,21
2011-11-24,25
2011-11-25,24
2011-11-26,26
2011-11-27,26
2011-11-28,24
2011-11-29,22
2011-11-30,23
2011-12-01,26
2011-12-02,27
2011-12-03,27
2011-12-04,24
2011-12-05,22
2011-12-06,22
2011-12-07,20
2011-12-08,19
2011-12-09,20
2011-12-10,23
2011-12-11,21
2011-12-12,18
2011-12-13,18
2011-12-14,18
2011-12-15,19
2011-12-16,22
2011-12-17,25
2011-12-18,26
2011-12-19,22
2011-12-20,22
2011-12-21,23
2011-12-22,24
2011-12-23,26
2011-12-24,32
2011-12-25,42
2011-12-26,32
2011-12-27,35
2011-12-28,37
2011-12-29,33
2011-12-30,32
2011-12-31,32
2012-01-01,30
2012-01-02,27
2012-01-03,25
2012-01-04,25
2012-01-05,24
2012-01-06,25
2012-01-07,27
2012-01-08,27
2012-01-09,23
2012-01-10,21
2012-01-11,21
2012-01-12,21
2012-01-13,21
2012-01-14,24
2012-01-15,24
2012-01-16,20
2012-01-17,19
2012-01-18,18
2012-01-19,18
2012-01-20,19
2012-01-21,24
2012-01-22,25
2012-01-23,21
2012-01-24,20
2012-01-25,21
2012-01-26,20
