date,SIRI
2012-10-12,50
2012-10-13,60
2012-10-14,58
2012-10-15,41
2012-10-16,43
2012-10-17,42
2012-10-18,44
2012-10-19,45
2012-10-20,56
2012-10-21,52
2012-10-22,42
2012-10-23,41
2012-10-24,44
2012-10-25,42
2012-10-26,43
2012-10-27,52
2012-10-28,50
2012-10-29,36
2012-10-30,42
2012-10-31,42
2012-11-01,45
2012-11-02,48
2012-11-03,55
2012-11-04,54
2012-11-05,40
2012-11-06,38
2012-11-07,37
2012-11-08,39
2012-11-09,39
2012-11-10,51
2012-11-11,47
2012-11-12,37
2012-11-13,36
2012-11-14,36
2012-11-15,37
2012-11-16,38
2012-11-17,50
2012-11-18,49
2012-11-19,38
2012-11-20,37
2012-11-21,38
2012-11-22,43
2012-11-23,48
2012-11-24,52
2012-11-25,51
2012-11-26,39
2012-11-27,38
2012-11-28,40
2012-11-29,42
2012-11-30,40
2012-12-01,49
2012-12-02,50
2012-12-03,40
2012-12-04,37
2012-12-05,37
2012-12-06,36
2012-12-07,41
2012-12-08,50
2012-12-09,48
2012-12-10,36
2012-12-11,34
2012-12-12,35
2012-12-13,35
2012-12-14,39
2012-12-15,44
2012-12-16,48
2012-12-17,41
2012-12-18,39
2012-12-19,38
2012-12-20,41
2012-12-21,42
2012-12-22,51
2012-12-23,55
2012-12-24,58
2012-12-25,100
2012-12-26,80
2012-12-27,63
2012-12-28,59
2012-12-29,60
2012-12-30,64
2012-12-31,55
2013-01-01,59
2013-01-02,44
2013-01-03,46
2013-01-04,47
2013-01-05,53
2013-01-06,52
2013-01-07,43
2013-01-08,38
2013-01-09,38
2013-01-10,41
2013-01-11,43
2013-01-12,49
2013-01-13,49
2013-01-14,44
2013-01-15,41
2013-01-16,37
2013-01-17,38
2013-01-18,41
2013-01-19,46
2013-01-20,49
2013-01-21,37
2013-01-22,34
2013-01-23,34
2013-01-24,35
2013-01-25,35
2013-01-26,41
2013-01-27,42
2013-01-28,35
2013-01-29,35
2013-01-30,36
2013-01-31,33
2013-02-01,36
2013-02-02,44
2013-02-03,43
2013-02-04,36
2013-02-05,44
2013-02-06,42
2013-02-07,40
2013-02-08,42
2013-02-09,47
2013-02-10,48
2013-02-11,39
2013-02-12,37
2013-02-13,35
2013-02-14,36
2013-02-15,37
2013-02-16,44
2013-02-17,43
2013-02-18,35
2013-02-19,34
2013-02-20,33
2013-02-21,35
2013-02-22,34
2013-02-23,41
2013-02-24,42
2013-02-25,32
2013-02-26,29
2013-02-27,30
2013-02-28,31
2013-03-01,34
2013-03-02,38
2013-03-03,38
2013-03-04,31
2013-03-05,31
2013-03-06,32
2013-03-07,31
2013-03-08,31
2013-03-09,39
2013-03-10,38
2013-03-11,30
2013-03-12,29
2013-03-13,30
2013-03-14,30
2013-03-15,33
2013-03-16,37
2013-03-17,39
2013-03-18,30
2013-03-19,28
2013-03-20,31
2013-03-21,29
2013-03-22,31
2013-03-23,40
2013-03-24,38
2013-03-25,31
2013-03-26,30
2013-03-27,34
2013-03-28,32
2013-03-29,37
2013-03-30,39
2013-03-31,38
2013-04-01,30
2013-04-02,30
2013-04-03,30
2013-04-04,30
2013-04-05,30
2013-04-06,37
2013-04-07,34
2013-04-08,26
2013-04-09,26
2013-04-10,27
2013-04-11,28
2013-04-12,29
2013-04-13,34
2013-04-14,37
2013-04-15,27
2013-04-16,27
2013-04-17,26
2013-04-18,26
2013-04-19,29
2013-04-20,35
2013-04-21,35
2013-04-22,27
2013-04-23,25
2013-04-24,28
2013-04-25,29
2013-04-26,29
2013-04-27,34
2013-04-28,33
2013-04-29,27
2013-04-30,31
2013-05-01,33
2013-05-02,28
2013-05-03,29
2013-05-04,34
2013-05-05,37
2013-05-06,27
2013-05-07,27
2013-05-08,27
2013-05-09,29
2013-05-10,32
2013-05-11,37
2013-05-12,37
2013-05-13,27
2013-05-14,28
2013-05-15,28
2013-05-16,27
2013-05-17,30
2013-05-18,34
2013-05-19,35
2013-05-20,28
2013-05-21,25
2013-05-22,28
2013-05-23,29
2013-05-24,30
2013-05-25,37
2013-05-26,36
2013-05-27,30
2013-05-28,29
2013-05-29,29
2013-05-30,27
2013-05-31,30
2013-06-01,35
2013-06-02,35
2013-06-03,27
2013-06-04,28
2013-06-05,27
2013-06-06,30
2013-06-07,30
2013-06-08,33
2013-06-09,33
2013-06-10,33
2013-06-11,36
2013-06-12,34
2013-06-13,32
2013-06-14,32
2013-06-15,36
2013-06-16,38
2013-06-17,30
2013-06-18,31
2013-06-19,29
2013-06-20,30
2013-06-21,32
2013-06-22,34
2013-06-23,35
2013-06-24,31
2013-06-25,33
2013-06-26,32
2013-06-27,31
2013-06-28,34
2013-06-29,38
