date,SIRI
2014-03-16,59
2014-03-17,49
2014-03-18,48
2014-03-19,48
2014-03-20,47
2014-03-21,49
2014-03-22,53
2014-03-23,54
2014-03-24,42
2014-03-25,49
2014-03-26,45
2014-03-27,51
2014-03-28,59
2014-03-29,62
2014-03-30,59
2014-03-31,46
2014-04-01,47
2014-04-02,52
2014-04-03,54
2014-04-04,54
2014-04-05,59
2014-04-06,54
2014-04-07,45
2014-04-08,45
2014-04-09,46
2014-04-10,50
2014-04-11,49
2014-04-12,56
2014-04-13,54
2014-04-14,48
2014-04-15,49
2014-04-16,50
2014-04-17,55
2014-04-18,57
2014-04-19,57
2014-04-20,59
2014-04-21,51
2014-04-22,46
2014-04-23,46
2014-04-24,43
2014-04-25,49
2014-04-26,50
2014-04-27,52
2014-04-28,45
2014-04-29,48
2014-04-30,44
2014-05-01,50
2014-05-02,48
2014-05-03,53
2014-05-04,49
2014-05-05,43
2014-05-06,45
2014-05-07,44
2014-05-08,42
2014-05-09,45
2014-05-10,53
2014-05-11,51
2014-05-12,42
2014-05-13,45
2014-05-14,44
2014-05-15,43
2014-05-16,42
2014-05-17,51
2014-05-18,49
2014-05-19,42
2014-05-20,39
2014-05-21,39
2014-05-22,40
2014-05-23,43
2014-05-24,47
2014-05-25,49
2014-05-26,39
2014-05-27,39
2014-05-28,39
2014-05-29,44
2014-05-30,43
2014-05-31,49
2014-06-01,49
2014-06-02,50
2014-06-03,55
2014-06-04,49
2014-06-05,47
2014-06-06,45
2014-06-07,48
2014-06-08,50
2014-06-09,45
2014-06-10,44
2014-06-11,44
2014-06-12,45
2014-06-13,44
2014-06-14,48
2014-06-15,48
2014-06-16,40
2014-06-17,44
2014-06-18,42
2014-06-19,45
2014-06-20,45
2014-06-21,48
2014-06-22,52
2014-06-23,42
2014-06-24,44
2014-06-25,44
2014-06-26,43
2014-06-27,45
2014-06-28,54
2014-06-29,50
2014-06-30,42
2014-07-01,43
2014-07-02,42
2014-07-03,48
2014-07-04,51
2014-07-05,53
2014-07-06,53
2014-07-07,49
2014-07-08,47
2014-07-09,47
2014-07-10,49
2014-07-11,53
2014-07-12,60
2014-07-13,59
2014-07-14,48
2014-07-15,50
2014-07-16,48
2014-07-17,48
2014-07-18,49
2014-07-19,53
2014-07-20,53
2014-07-21,47
2014-07-22,48
2014-07-23,49
2014-07-24,50
2014-07-25,48
2014-07-26,55
2014-07-27,69
2014-07-28,60
2014-07-29,56
2014-07-30,52
2014-07-31,48
2014-08-01,51
2014-08-02,56
2014-08-03,54
2014-08-04,47
2014-08-05,48
2014-08-06,45
2014-08-07,44
2014-08-08,50
2014-08-09,53
2014-08-10,53
2014-08-11,45
2014-08-12,44
2014-08-13,59
2014-08-14,74
2014-08-15,75
2014-08-16,63
2014-08-17,59
2014-08-18,50
2014-08-19,48
2014-08-20,47
2014-08-21,52
2014-08-22,51
2014-08-23,54
2014-08-24,54
2014-08-25,47
2014-08-26,46
2014-08-27,45
2014-08-28,46
2014-08-29,46
2014-08-30,55
2014-08-31,52
2014-09-01,45
2014-09-02,45
2014-09-03,48
2014-09-04,47
2014-09-05,52
2014-09-06,55
2014-09-07,57
2014-09-08,49
2014-09-09,50
2014-09-10,56
2014-09-11,52
2014-09-12,49
2014-09-13,58
2014-09-14,60
2014-09-15,47
2014-09-16,49
2014-09-17,61
2014-09-18,93
2014-09-19,87
2014-09-20,96
2014-09-21,100
2014-09-22,68
2014-09-23,67
2014-09-24,65
2014-09-25,65
2014-09-26,60
2014-09-27,72
2014-09-28,70
2014-09-29,60
2014-09-30,55
2014-10-01,54
2014-10-02,52
2014-10-03,59
2014-10-04,73
2014-10-05,69
2014-10-06,54
2014-10-07,55
2014-10-08,55
2014-10-09,52
2014-10-10,59
2014-10-11,62
2014-10-12,59
2014-10-13,49
2014-10-14,50
2014-10-15,50
2014-10-16,49
2014-10-17,52
2014-10-18,62
2014-10-19,65
2014-10-20,54
2014-10-21,53
2014-10-22,50
2014-10-23,49
2014-10-24,54
2014-10-25,62
2014-10-26,64
2014-10-27,51
2014-10-28,49
2014-10-29,50
2014-10-30,48
2014-10-31,47
2014-11-01,58
2014-11-02,58
2014-11-03,45
2014-11-04,49
2014-11-05,47
2014-11-06,50
2014-11-07,55
2014-11-08,59
2014-11-09,58
2014-11-10,47
2014-11-11,51
2014-11-12,49
2014-11-13,49
2014-11-14,47
2014-11-15,57
2014-11-16,56
2014-11-17,45
2014-11-18,44
2014-11-19,45
2014-11-20,47
2014-11-21,48
2014-11-22,56
2014-11-23,58
2014-11-24,44
2014-11-25,46
2014-11-26,48
2014-11-27,50
2014-11-28,48
2014-11-29,58
2014-11-30,52
2014-12-01,44
