date,SIRI
2014-07-24,32
2014-07-25,32
2014-07-26,35
2014-07-27,45
2014-07-28,40
2014-07-29,37
2014-07-30,33
2014-07-31,33
2014-08-01,32
2014-08-02,35
2014-08-03,36
2014-08-04,31
2014-08-05,31
2014-08-06,30
2014-08-07,30
2014-08-08,33
2014-08-09,35
2014-08-10,34
2014-08-11,28
2014-08-12,29
2014-08-13,39
2014-08-14,48
2014-08-15,48
2014-08-16,41
2014-08-17,37
2014-08-18,32
2014-08-19,31
2014-08-20,31
2014-08-21,34
2014-08-22,34
2014-08-23,35
2014-08-24,34
2014-08-25,31
2014-08-26,30
2014-08-27,29
2014-08-28,29
2014-08-29,30
2014-08-30,36
2014-08-31,33
2014-09-01,30
2014-09-02,29
2014-09-03,32
2014-09-04,32
2014-09-05,32
2014-09-06,36
2014-09-07,38
2014-09-08,30
2014-09-09,33
2014-09-10,36
2014-09-11,35
2014-09-12,32
2014-09-13,37
2014-09-14,39
2014-09-15,31
2014-09-16,32
2014-09-17,40
2014-09-18,58
2014-09-19,55
2014-09-20,61
2014-09-21,63
2014-09-22,45
2014-09-23,44
2014-09-24,42
2014-09-25,43
2014-09-26,41
2014-09-27,47
2014-09-28,45
2014-09-29,39
2014-09-30,36
2014-10-01,35
2014-10-02,34
2014-10-03,37
2014-10-04,47
2014-10-05,46
2014-10-06,35
2014-10-07,34
2014-10-08,35
2014-10-09,35
2014-10-10,37
2014-10-11,42
2014-10-12,39
2014-10-13,32
2014-10-14,31
2014-10-15,32
2014-10-16,31
2014-10-17,33
2014-10-18,40
2014-10-19,42
2014-10-20,35
2014-10-21,35
2014-10-22,34
2014-10-23,32
2014-10-24,34
2014-10-25,40
2014-10-26,40
2014-10-27,32
2014-10-28,34
2014-10-29,31
2014-10-30,31
2014-10-31,30
2014-11-01,38
2014-11-02,38
2014-11-03,30
2014-11-04,33
2014-11-05,30
2014-11-06,32
2014-11-07,36
2014-11-08,39
2014-11-09,38
2014-11-10,31
2014-11-11,32
2014-11-12,32
2014-11-13,32
2014-11-14,31
2014-11-15,37
2014-11-16,37
2014-11-17,30
2014-11-18,29
2014-11-19,30
2014-11-20,30
2014-11-21,31
2014-11-22,37
2014-11-23,36
2014-11-24,29
2014-11-25,30
2014-11-26,30
2014-11-27,33
2014-11-28,31
2014-11-29,36
2014-11-30,35
2014-12-01,29
2014-12-02,29
2014-12-03,29
2014-12-04,31
2014-12-05,31
2014-12-06,38
2014-12-07,36
2014-12-08,30
2014-12-09,28
2014-12-10,29
2014-12-11,29
2014-12-12,30
2014-12-13,36
2014-12-14,34
2014-12-15,29
2014-12-16,29
2014-12-17,29
2014-12-18,31
2014-12-19,30
2014-12-20,36
2014-12-21,41
2014-12-22,35
2014-12-23,38
2014-12-24,43
2014-12-25,58
2014-12-26,52
2014-12-27,49
2014-12-28,45
2014-12-29,40
2014-12-30,41
2014-12-31,40
2015-01-01,48
2015-01-02,39
2015-01-03,40
2015-01-04,40
2015-01-05,33
2015-01-06,33
2015-01-07,33
2015-01-08,32
2015-01-09,33
2015-01-10,40
2015-01-11,38
2015-01-12,31
2015-01-13,30
2015-01-14,31
2015-01-15,30
2015-01-16,32
2015-01-17,37
2015-01-18,37
2015-01-19,31
2015-01-20,29
2015-01-21,30
2015-01-22,30
2015-01-23,33
2015-01-24,37
2015-01-25,36
2015-01-26,30
2015-01-27,37
2015-01-28,31
2015-01-29,36
2015-01-30,33
2015-01-31,38
2015-02-01,36
2015-02-02,30
2015-02-03,29
2015-02-04,28
2015-02-05,28
2015-02-06,30
2015-02-07,37
2015-02-08,34
2015-02-09,29
2015-02-10,29
2015-02-11,30
2015-02-12,31
2015-02-13,31
2015-02-14,35
2015-02-15,37
2015-02-16,30
2015-02-17,30
2015-02-18,28
2015-02-19,28
2015-02-20,32
2015-02-21,35
2015-02-22,34
2015-02-23,30
2015-02-24,38
2015-02-25,37
2015-02-26,37
2015-02-27,37
2015-02-28,40
2015-03-01,41
2015-03-02,31
2015-03-03,30
2015-03-04,31
2015-03-05,31
2015-03-06,31
2015-03-07,35
2015-03-08,35
2015-03-09,31
2015-03-10,33
2015-03-11,32
2015-03-12,32
2015-03-13,36
2015-03-14,43
2015-03-15,41
2015-03-16,35
2015-03-17,32
2015-03-18,32
2015-03-19,33
2015-03-20,37
2015-03-21,43
2015-03-22,41
2015-03-23,34
2015-03-24,33
2015-03-25,29
2015-03-26,31
2015-03-27,36
2015-03-28,38
2015-03-29,37
2015-03-30,30
2015-03-31,29
2015-04-01,30
2015-04-02,32
2015-04-03,34
2015-04-04,37
2015-04-05,40
2015-04-06,34
2015-04-07,31
2015-04-08,37
2015-04-09,84
2015-04-10,100
