date,CHTR,isPartial
2011-01-01,39,False
2011-01-02,34,False
2011-01-03,28,False
2011-01-04,26,False
2011-01-05,26,False
2011-01-06,0,False
2011-01-07,0,False
2011-01-08,0,False
2011-01-09,0,False
2011-01-10,51,False
2011-01-11,50,False
2011-01-12,0,False
2011-01-13,51,False
2011-01-14,26,False
2011-01-15,32,False
2011-01-16,0,False
2011-01-17,0,False
2011-01-18,37,False
2011-01-19,25,False
2011-01-20,25,False
2011-01-21,26,False
2011-01-22,0,False
2011-01-23,46,False
2011-01-24,25,False
2011-01-25,25,False
2011-01-26,25,False
2011-01-27,25,False
2011-01-28,26,False
2011-01-29,30,False
2011-01-30,58,False
2011-01-31,24,False
2011-02-01,0,False
2011-02-02,24,False
2011-02-03,49,False
2011-02-04,25,False
2011-02-05,0,False
2011-02-06,0,False
2011-02-07,24,False
2011-02-08,25,False
2011-02-09,0,False
2011-02-10,25,False
2011-02-11,26,False
2011-02-12,0,False
2011-02-13,0,False
2011-02-14,0,False
2011-02-15,24,False
2011-02-16,73,False
2011-02-17,25,False
2011-02-18,39,False
2011-02-19,0,False
2011-02-20,0,False
2011-02-21,49,False
2011-02-22,0,False
2011-02-23,25,False
2011-02-24,25,False
2011-02-25,0,False
2011-02-26,30,False
2011-02-27,44,False
2011-02-28,0,False
2011-03-01,24,False
2011-03-02,24,False
2011-03-03,24,False
2011-03-04,77,False
2011-03-05,0,False
2011-03-06,31,False
2011-03-07,100,False
2011-03-08,0,False
2011-03-09,24,False
2011-03-10,0,False
2011-03-11,25,False
2011-03-12,0,False
2011-03-13,0,False
2011-03-14,25,False
2011-03-15,24,False
2011-03-16,24,False
2011-03-17,24,False
2011-03-18,26,False
2011-03-19,0,False
2011-03-20,89,False
2011-03-21,0,False
2011-03-22,24,False
2011-03-23,24,False
2011-03-24,49,False
2011-03-25,0,False
2011-03-26,30,False
2011-03-27,30,False
2011-03-28,24,False
2011-03-29,0,False
2011-03-30,0,False
2011-03-31,24,False
2011-04-01,0,False
2011-04-02,0,False
2011-04-03,60,False
2011-04-04,0,False
2011-04-05,24,False
2011-04-06,0,False
2011-04-07,49,False
2011-04-08,0,False
2011-04-09,0,False
2011-04-10,0,False
2011-04-11,0,False
2011-04-12,24,False
2011-04-13,48,False
2011-04-14,25,False
2011-04-15,52,False
2011-04-16,31,False
2011-04-17,0,False
2011-04-18,0,False
2011-04-19,25,False
2011-04-20,38,False
2011-04-21,27,False
2011-04-22,44,False
2011-04-23,0,False
2011-04-24,67,False
2011-04-25,27,False
2011-04-26,24,False
2011-04-27,72,False
2011-04-28,49,False
2011-04-29,26,False
2011-04-30,31,False
2011-05-01,0,False
2011-05-02,48,False
2011-05-03,24,False
2011-05-04,24,False
2011-05-05,25,False
2011-05-06,51,False
2011-05-07,31,False
2011-05-08,0,False
2011-05-09,24,False
2011-05-10,48,False
2011-05-11,36,False
2011-05-12,24,False
2011-05-13,25,False
2011-05-14,0,False
2011-05-15,59,False
2011-05-16,35,False
2011-05-17,0,False
2011-05-18,0,False
2011-05-19,24,False
2011-05-20,0,False
2011-05-21,0,False
2011-05-22,30,False
2011-05-23,94,False
2011-05-24,24,False
2011-05-25,60,False
2011-05-26,24,False
2011-05-27,51,False
2011-05-28,31,False
2011-05-29,31,False
2011-05-30,25,False
2011-05-31,24,False
2011-06-01,48,False
2011-06-02,0,False
2011-06-03,26,False
2011-06-04,63,False
2011-06-05,0,False
2011-06-06,24,False
2011-06-07,23,False
2011-06-08,24,False
2011-06-09,48,False
2011-06-10,25,False
2011-06-11,31,False
2011-06-12,31,False
2011-06-13,36,False
2011-06-14,0,False
2011-06-15,0,False
2011-06-16,24,False
2011-06-17,25,False
2011-06-18,46,False
2011-06-19,30,False
2011-06-20,0,False
2011-06-21,23,False
2011-06-22,0,False
2011-06-23,25,False
2011-06-24,0,False
2011-06-25,31,False
2011-06-26,94,False
2011-06-27,0,False
2011-06-28,0,False
2011-06-29,48,False
