date,CHTR,isPartial
2013-06-29,0,False
2013-06-30,0,False
2013-07-01,25,False
2013-07-02,25,False
2013-07-03,25,False
2013-07-04,0,False
2013-07-05,0,False
2013-07-06,32,False
2013-07-07,31,False
2013-07-08,0,False
2013-07-09,25,False
2013-07-10,0,False
2013-07-11,25,False
2013-07-12,0,False
2013-07-13,62,False
2013-07-14,0,False
2013-07-15,0,False
2013-07-16,0,False
2013-07-17,0,False
2013-07-18,26,False
2013-07-19,0,False
2013-07-20,0,False
2013-07-21,0,False
2013-07-22,0,False
2013-07-23,49,False
2013-07-24,25,False
2013-07-25,0,False
2013-07-26,80,False
2013-07-27,0,False
2013-07-28,60,False
2013-07-29,0,False
2013-07-30,0,False
2013-07-31,0,False
2013-08-01,25,False
2013-08-02,53,False
2013-08-03,31,False
2013-08-04,31,False
2013-08-05,50,False
2013-08-06,50,False
2013-08-07,26,False
2013-08-08,0,False
2013-08-09,0,False
2013-08-10,93,False
2013-08-11,0,False
2013-08-12,100,False
2013-08-13,0,False
2013-08-14,25,False
2013-08-15,0,False
2013-08-16,27,False
2013-08-17,30,False
2013-08-18,0,False
2013-08-19,50,False
2013-08-20,0,False
2013-08-21,25,False
2013-08-22,25,False
2013-08-23,0,False
2013-08-24,0,False
2013-08-25,29,False
2013-08-26,0,False
2013-08-27,48,False
2013-08-28,48,False
2013-08-29,0,False
2013-08-30,0,False
2013-08-31,0,False
2013-09-01,29,False
2013-09-02,25,False
2013-09-03,24,False
2013-09-04,0,False
2013-09-05,48,False
2013-09-06,0,False
2013-09-07,0,False
2013-09-08,0,False
2013-09-09,0,False
2013-09-10,23,False
2013-09-11,0,False
2013-09-12,0,False
2013-09-13,49,False
2013-09-14,57,False
2013-09-15,0,False
2013-09-16,0,False
2013-09-17,0,False
2013-09-18,24,False
2013-09-19,0,False
2013-09-20,25,False
2013-09-21,28,False
2013-09-22,0,False
2013-09-23,23,False
2013-09-24,0,False
2013-09-25,0,False
2013-09-26,72,False
2013-09-27,0,False
2013-09-28,0,False
2013-09-29,0,False
2013-09-30,0,False
2013-10-01,47,False
2013-10-02,23,False
2013-10-03,24,False
2013-10-04,24,False
2013-10-05,0,False
2013-10-06,27,False
2013-10-07,0,False
2013-10-08,0,False
2013-10-09,0,False
2013-10-10,95,False
2013-10-11,0,False
2013-10-12,58,False
2013-10-13,84,False
2013-10-14,24,False
2013-10-15,24,False
2013-10-16,94,False
2013-10-17,24,False
2013-10-18,100,False
2013-10-19,0,False
2013-10-20,0,False
2013-10-21,0,False
2013-10-22,0,False
2013-10-23,0,False
2013-10-24,24,False
2013-10-25,73,False
2013-10-26,0,False
2013-10-27,27,False
2013-10-28,23,False
2013-10-29,0,False
2013-10-30,0,False
2013-10-31,0,False
2013-11-01,50,False
2013-11-02,0,False
2013-11-03,0,False
2013-11-04,0,False
2013-11-05,23,False
2013-11-06,0,False
2013-11-07,0,False
2013-11-08,24,False
2013-11-09,54,False
2013-11-10,0,False
2013-11-11,68,False
2013-11-12,0,False
2013-11-13,0,False
2013-11-14,0,False
2013-11-15,0,False
2013-11-16,0,False
2013-11-17,0,False
2013-11-18,0,False
2013-11-19,23,False
2013-11-20,0,False
2013-11-21,0,False
2013-11-22,47,False
2013-11-23,27,False
2013-11-24,53,False
2013-11-25,0,False
2013-11-26,23,False
2013-11-27,23,False
2013-11-28,24,False
2013-11-29,0,False
2013-11-30,0,False
2013-12-01,0,False
2013-12-02,22,False
2013-12-03,22,False
2013-12-04,0,False
2013-12-05,45,False
2013-12-06,0,False
2013-12-07,27,False
2013-12-08,27,False
2013-12-09,45,False
2013-12-10,0,False
2013-12-11,0,False
2013-12-12,23,False
2013-12-13,24,False
2013-12-14,0,False
2013-12-15,54,False
2013-12-16,69,False
2013-12-17,47,False
2013-12-18,0,False
2013-12-19,48,False
2013-12-20,0,False
2013-12-21,57,False
2013-12-22,57,False
2013-12-23,0,False
2013-12-24,28,False
2013-12-25,31,False
2013-12-26,26,False
2013-12-27,25,False
2013-12-28,0,False
2013-12-29,0,False
2013-12-30,25,False
2013-12-31,0,False
2014-01-01,58,False
2014-01-02,24,False
2014-01-03,24,False
2014-01-04,26,False
2014-01-05,26,False
2014-01-06,23,False
2014-01-07,45,False
2014-01-08,0,False
2014-01-09,23,False
2014-01-10,23,False
2014-01-11,0,False
2014-01-12,51,False
2014-01-13,44,False
2014-01-14,87,False
2014-01-15,0,False
2014-01-16,45,False
2014-01-17,23,False
2014-01-18,78,False
2014-01-19,25,False
2014-01-20,0,False
2014-01-21,0,False
2014-01-22,0,False
2014-01-23,22,False
2014-01-24,45,False
2014-01-25,0,False
2014-01-26,0,False
2014-01-27,64,False
2014-01-28,21,False
2014-01-29,22,False
2014-01-30,66,False
2014-01-31,46,False
2014-02-01,26,False
2014-02-02,25,False
2014-02-03,66,False
2014-02-04,87,False
2014-02-05,22,False
2014-02-06,30,False
2014-02-07,25,False
2014-02-08,0,False
2014-02-09,0,False
2014-02-10,0,False
2014-02-11,63,False
2014-02-12,21,False
2014-02-13,65,False
2014-02-14,91,False
2014-02-15,0,False
2014-02-16,50,False
2014-02-17,0,False
2014-02-18,0,False
2014-02-19,22,False
2014-02-20,66,False
2014-02-21,90,False
2014-02-22,25,False
2014-02-23,25,False
2014-02-24,21,False
2014-02-25,21,False
2014-02-26,21,False
2014-02-27,22,False
2014-02-28,45,False
2014-03-01,0,False
2014-03-02,0,False
2014-03-03,0,False
2014-03-04,44,False
2014-03-05,0,False
2014-03-06,22,False
2014-03-07,46,False
2014-03-08,0,False
2014-03-09,0,False
2014-03-10,0,False
2014-03-11,0,False
2014-03-12,42,False
2014-03-13,22,False
2014-03-14,23,False
2014-03-15,25,False
2014-03-16,25,False
