date,CMCSA,isPartial
2011-09-18,0,False
2011-09-19,0,False
2011-09-20,16,False
2011-09-21,33,False
2011-09-22,17,False
2011-09-23,0,False
2011-09-24,20,False
2011-09-25,0,False
2011-09-26,16,False
2011-09-27,16,False
2011-09-28,33,False
2011-09-29,33,False
2011-09-30,0,False
2011-10-01,0,False
2011-10-02,0,False
2011-10-03,50,False
2011-10-04,16,False
2011-10-05,33,False
2011-10-06,66,False
2011-10-07,17,False
2011-10-08,20,False
2011-10-09,0,False
2011-10-10,49,False
2011-10-11,30,False
2011-10-12,31,False
2011-10-13,16,False
2011-10-14,0,False
2011-10-15,0,False
2011-10-16,0,False
2011-10-17,16,False
2011-10-18,16,False
2011-10-19,16,False
2011-10-20,16,False
2011-10-21,0,False
2011-10-22,20,False
2011-10-23,19,False
2011-10-24,47,False
2011-10-25,16,False
2011-10-26,65,False
2011-10-27,48,False
2011-10-28,34,False
2011-10-29,20,False
2011-10-30,39,False
2011-10-31,16,False
2011-11-01,0,False
2011-11-02,0,False
2011-11-03,16,False
2011-11-04,66,False
2011-11-05,0,False
2011-11-06,19,False
2011-11-07,16,False
2011-11-08,32,False
2011-11-09,0,False
2011-11-10,16,False
2011-11-11,17,False
2011-11-12,0,False
2011-11-13,0,False
2011-11-14,31,False
2011-11-15,31,False
2011-11-16,0,False
2011-11-17,16,False
2011-11-18,17,False
2011-11-19,19,False
2011-11-20,0,False
2011-11-21,16,False
2011-11-22,46,False
2011-11-23,16,False
2011-11-24,17,False
2011-11-25,34,False
2011-11-26,0,False
2011-11-27,19,False
2011-11-28,0,False
2011-11-29,15,False
2011-11-30,46,False
2011-12-01,16,False
2011-12-02,49,False
2011-12-03,0,False
2011-12-04,0,False
2011-12-05,62,False
2011-12-06,31,False
2011-12-07,15,False
2011-12-08,16,False
2011-12-09,17,False
2011-12-10,0,False
2011-12-11,0,False
2011-12-12,0,False
2011-12-13,0,False
2011-12-14,15,False
2011-12-15,32,False
2011-12-16,0,False
2011-12-17,0,False
2011-12-18,0,False
2011-12-19,47,False
2011-12-20,32,False
2011-12-21,49,False
2011-12-22,67,False
2011-12-23,0,False
2011-12-24,0,False
2011-12-25,45,False
2011-12-26,0,False
2011-12-27,17,False
2011-12-28,17,False
2011-12-29,17,False
2011-12-30,18,False
2011-12-31,42,False
2012-01-01,0,False
2012-01-02,0,False
2012-01-03,31,False
2012-01-04,46,False
2012-01-05,16,False
2012-01-06,16,False
2012-01-07,18,False
2012-01-08,0,False
2012-01-09,45,False
2012-01-10,0,False
2012-01-11,59,False
2012-01-12,75,False
2012-01-13,46,False
2012-01-14,0,False
2012-01-15,0,False
2012-01-16,29,False
2012-01-17,15,False
2012-01-18,44,False
2012-01-19,30,False
2012-01-20,0,False
2012-01-21,0,False
2012-01-22,0,False
2012-01-23,15,False
2012-01-24,0,False
2012-01-25,15,False
2012-01-26,15,False
2012-01-27,46,False
2012-01-28,0,False
2012-01-29,0,False
2012-01-30,0,False
2012-01-31,14,False
2012-02-01,43,False
2012-02-02,29,False
2012-02-03,91,False
2012-02-04,17,False
2012-02-05,0,False
2012-02-06,43,False
2012-02-07,44,False
2012-02-08,0,False
2012-02-09,14,False
2012-02-10,30,False
2012-02-11,0,False
2012-02-12,0,False
2012-02-13,100,False
2012-02-14,15,False
2012-02-15,87,False
2012-02-16,29,False
2012-02-17,15,False
2012-02-18,0,False
2012-02-19,0,False
2012-02-20,30,False
2012-02-21,45,False
2012-02-22,0,False
2012-02-23,58,False
2012-02-24,76,False
2012-02-25,34,False
2012-02-26,17,False
2012-02-27,57,False
2012-02-28,42,False
2012-02-29,14,False
2012-03-01,30,False
2012-03-02,31,False
2012-03-03,18,False
2012-03-04,35,False
2012-03-05,15,False
2012-03-06,14,False
2012-03-07,29,False
2012-03-08,73,False
2012-03-09,30,False
2012-03-10,17,False
2012-03-11,51,False
2012-03-12,14,False
2012-03-13,57,False
2012-03-14,14,False
2012-03-15,57,False
2012-03-16,15,False
2012-03-17,18,False
2012-03-18,0,False
2012-03-19,14,False
2012-03-20,43,False
2012-03-21,72,False
2012-03-22,15,False
2012-03-23,62,False
2012-03-24,18,False
2012-03-25,18,False
2012-03-26,86,False
2012-03-27,57,False
2012-03-28,43,False
2012-03-29,15,False
2012-03-30,62,False
2012-03-31,35,False
2012-04-01,0,False
2012-04-02,44,False
2012-04-03,44,False
2012-04-04,15,False
2012-04-05,15,False
2012-04-06,0,False
2012-04-07,37,False
2012-04-08,19,False
2012-04-09,0,False
2012-04-10,30,False
2012-04-11,58,False
2012-04-12,14,False
2012-04-13,46,False
2012-04-14,0,False
2012-04-15,17,False
2012-04-16,71,False
2012-04-17,57,False
2012-04-18,28,False
2012-04-19,14,False
2012-04-20,30,False
2012-04-21,0,False
2012-04-22,0,False
2012-04-23,0,False
2012-04-24,28,False
2012-04-25,29,False
2012-04-26,29,False
2012-04-27,30,False
2012-04-28,0,False
2012-04-29,0,False
2012-04-30,30,False
2012-05-01,63,False
2012-05-02,28,False
2012-05-03,29,False
2012-05-04,15,False
2012-05-05,17,False
2012-05-06,17,False
2012-05-07,28,False
2012-05-08,28,False
2012-05-09,56,False
2012-05-10,15,False
2012-05-11,30,False
2012-05-12,0,False
2012-05-13,35,False
2012-05-14,41,False
2012-05-15,14,False
2012-05-16,0,False
2012-05-17,15,False
2012-05-18,45,False
2012-05-19,0,False
2012-05-20,0,False
2012-05-21,28,False
2012-05-22,14,False
2012-05-23,28,False
2012-05-24,14,False
2012-05-25,30,False
2012-05-26,0,False
2012-05-27,0,False
2012-05-28,30,False
2012-05-29,41,False
2012-05-30,14,False
2012-05-31,0,False
2012-06-01,15,False
2012-06-02,0,False
2012-06-03,0,False
2012-06-04,0,False
