date,CMCSA,isPartial
2018-02-13,23,False
2018-02-14,23,False
2018-02-15,51,False
2018-02-16,8,False
2018-02-17,0,False
2018-02-18,0,False
2018-02-19,19,False
2018-02-20,23,False
2018-02-21,31,False
2018-02-22,27,False
2018-02-23,24,False
2018-02-24,13,False
2018-02-25,0,False
2018-02-26,30,False
2018-02-27,68,False
2018-02-28,64,False
2018-03-01,30,False
2018-03-02,36,False
2018-03-03,13,False
2018-03-04,13,False
2018-03-05,44,False
2018-03-06,30,False
2018-03-07,42,False
2018-03-08,43,False
2018-03-09,48,False
2018-03-10,18,False
2018-03-11,9,False
2018-03-12,61,False
2018-03-13,42,False
2018-03-14,30,False
2018-03-15,23,False
2018-03-16,12,False
2018-03-17,4,False
2018-03-18,13,False
2018-03-19,30,False
2018-03-20,38,False
2018-03-21,27,False
2018-03-22,50,False
2018-03-23,52,False
2018-03-24,9,False
2018-03-25,13,False
2018-03-26,46,False
2018-03-27,47,False
2018-03-28,44,False
2018-03-29,65,False
2018-03-30,31,False
2018-03-31,14,False
2018-04-01,9,False
2018-04-02,53,False
2018-04-03,35,False
2018-04-04,46,False
2018-04-05,40,False
2018-04-06,49,False
2018-04-07,18,False
2018-04-08,0,False
2018-04-09,19,False
2018-04-10,34,False
2018-04-11,27,False
2018-04-12,31,False
2018-04-13,57,False
2018-04-14,4,False
2018-04-15,13,False
2018-04-16,38,False
2018-04-17,54,False
2018-04-18,43,False
2018-04-19,63,False
2018-04-20,20,False
2018-04-21,9,False
2018-04-22,0,False
2018-04-23,61,False
2018-04-24,80,False
2018-04-25,100,False
2018-04-26,75,False
2018-04-27,54,False
2018-04-28,14,False
2018-04-29,9,False
2018-04-30,43,False
2018-05-01,57,False
2018-05-02,31,False
2018-05-03,46,False
2018-05-04,44,False
2018-05-05,5,False
2018-05-06,9,False
2018-05-07,46,False
2018-05-08,70,False
2018-05-09,50,False
2018-05-10,71,False
2018-05-11,36,False
2018-05-12,9,False
2018-05-13,9,False
2018-05-14,35,False
2018-05-15,27,False
2018-05-16,39,False
2018-05-17,43,False
2018-05-18,33,False
2018-05-19,18,False
2018-05-20,0,False
2018-05-21,35,False
2018-05-22,46,False
2018-05-23,70,False
2018-05-24,47,False
2018-05-25,29,False
2018-05-26,14,False
2018-05-27,9,False
2018-05-28,4,False
2018-05-29,38,False
2018-05-30,43,False
2018-05-31,56,False
2018-06-01,28,False
