date,CMCSA,isPartial
2014-03-16,0,False
2014-03-17,47,False
2014-03-18,31,False
2014-03-19,39,False
2014-03-20,47,False
2014-03-21,41,False
2014-03-22,9,False
2014-03-23,9,False
2014-03-24,53,False
2014-03-25,53,False
2014-03-26,23,False
2014-03-27,78,False
2014-03-28,48,False
2014-03-29,0,False
2014-03-30,9,False
2014-03-31,38,False
2014-04-01,54,False
2014-04-02,62,False
2014-04-03,23,False
2014-04-04,65,False
2014-04-05,18,False
2014-04-06,18,False
2014-04-07,69,False
2014-04-08,45,False
2014-04-09,54,False
2014-04-10,32,False
2014-04-11,33,False
2014-04-12,9,False
2014-04-13,19,False
2014-04-14,31,False
2014-04-15,47,False
2014-04-16,79,False
2014-04-17,50,False
2014-04-18,27,False
2014-04-19,0,False
2014-04-20,10,False
2014-04-21,76,False
2014-04-22,100,False
2014-04-23,54,False
2014-04-24,79,False
2014-04-25,49,False
2014-04-26,28,False
2014-04-27,44,False
2014-04-28,61,False
2014-04-29,61,False
2014-04-30,55,False
2014-05-01,60,False
2014-05-02,41,False
2014-05-03,18,False
2014-05-04,0,False
2014-05-05,62,False
2014-05-06,23,False
2014-05-07,38,False
2014-05-08,47,False
2014-05-09,33,False
2014-05-10,9,False
2014-05-11,0,False
2014-05-12,76,False
2014-05-13,15,False
2014-05-14,47,False
2014-05-15,31,False
2014-05-16,56,False
2014-05-17,9,False
2014-05-18,0,False
2014-05-19,31,False
2014-05-20,15,False
2014-05-21,34,False
2014-05-22,9,False
2014-05-23,36,False
2014-05-24,0,False
2014-05-25,10,False
2014-05-26,0,False
2014-05-27,51,False
2014-05-28,58,False
2014-05-29,35,False
2014-05-30,0,False
2014-05-31,10,False
2014-06-01,0,False
2014-06-02,51,False
2014-06-03,34,False
2014-06-04,17,False
2014-06-05,69,False
2014-06-06,18,False
2014-06-07,0,False
2014-06-08,32,False
2014-06-09,17,False
2014-06-10,18,False
2014-06-11,42,False
2014-06-12,9,False
2014-06-13,63,False
2014-06-14,21,False
2014-06-15,0,False
2014-06-16,34,False
2014-06-17,25,False
2014-06-18,35,False
2014-06-19,35,False
2014-06-20,46,False
2014-06-21,11,False
2014-06-22,0,False
2014-06-23,26,False
2014-06-24,34,False
2014-06-25,43,False
2014-06-26,61,False
2014-06-27,46,False
2014-06-28,11,False
2014-06-29,11,False
2014-06-30,26,False
2014-07-01,17,False
2014-07-02,35,False
