date,KHC,isPartial
2011-05-11,0,False
2011-05-12,0,False
2011-05-13,36,False
2011-05-14,14,False
2011-05-15,41,False
2011-05-16,33,False
2011-05-17,22,False
2011-05-18,11,False
2011-05-19,23,False
2011-05-20,72,False
2011-05-21,15,False
2011-05-22,28,False
2011-05-23,22,False
2011-05-24,33,False
2011-05-25,56,False
2011-05-26,22,False
2011-05-27,0,False
2011-05-28,58,False
2011-05-29,15,False
2011-05-30,12,False
2011-05-31,34,False
2011-06-01,69,False
2011-06-02,12,False
2011-06-03,12,False
2011-06-04,0,False
2011-06-05,29,False
2011-06-06,11,False
2011-06-07,11,False
2011-06-08,11,False
2011-06-09,34,False
2011-06-10,12,False
2011-06-11,58,False
2011-06-12,58,False
2011-06-13,57,False
2011-06-14,33,False
2011-06-15,11,False
2011-06-16,57,False
2011-06-17,0,False
2011-06-18,29,False
2011-06-19,29,False
2011-06-20,11,False
2011-06-21,55,False
2011-06-22,23,False
2011-06-23,24,False
2011-06-24,36,False
2011-06-25,44,False
2011-06-26,0,False
2011-06-27,34,False
2011-06-28,11,False
2011-06-29,57,False
2011-06-30,57,False
2011-07-01,0,False
2011-07-02,15,False
2011-07-03,44,False
2011-07-04,24,False
2011-07-05,23,False
2011-07-06,80,False
2011-07-07,11,False
2011-07-08,48,False
2011-07-09,15,False
2011-07-10,29,False
2011-07-11,45,False
2011-07-12,0,False
2011-07-13,46,False
2011-07-14,23,False
2011-07-15,12,False
2011-07-16,45,False
2011-07-17,15,False
2011-07-18,34,False
2011-07-19,45,False
2011-07-20,11,False
2011-07-21,46,False
2011-07-22,12,False
2011-07-23,42,False
2011-07-24,29,False
2011-07-25,11,False
2011-07-26,11,False
2011-07-27,57,False
2011-07-28,46,False
2011-07-29,36,False
2011-07-30,43,False
2011-07-31,15,False
2011-08-01,34,False
2011-08-02,23,False
2011-08-03,56,False
2011-08-04,34,False
2011-08-05,36,False
2011-08-06,28,False
2011-08-07,41,False
2011-08-08,11,False
2011-08-09,55,False
2011-08-10,22,False
2011-08-11,34,False
2011-08-12,12,False
2011-08-13,14,False
2011-08-14,42,False
2011-08-15,35,False
2011-08-16,34,False
2011-08-17,45,False
2011-08-18,22,False
2011-08-19,12,False
2011-08-20,14,False
2011-08-21,14,False
2011-08-22,33,False
2011-08-23,22,False
2011-08-24,77,False
2011-08-25,22,False
2011-08-26,57,False
2011-08-27,27,False
2011-08-28,53,False
2011-08-29,32,False
2011-08-30,22,False
2011-08-31,32,False
2011-09-01,44,False
2011-09-02,56,False
2011-09-03,27,False
2011-09-04,39,False
2011-09-05,22,False
2011-09-06,21,False
2011-09-07,32,False
2011-09-08,74,False
2011-09-09,44,False
2011-09-10,13,False
2011-09-11,25,False
2011-09-12,21,False
2011-09-13,30,False
2011-09-14,31,False
2011-09-15,42,False
2011-09-16,33,False
2011-09-17,13,False
2011-09-18,51,False
2011-09-19,21,False
2011-09-20,30,False
2011-09-21,0,False
2011-09-22,42,False
2011-09-23,22,False
2011-09-24,25,False
2011-09-25,51,False
2011-09-26,10,False
2011-09-27,51,False
2011-09-28,31,False
2011-09-29,73,False
2011-09-30,22,False
2011-10-01,39,False
2011-10-02,25,False
2011-10-03,52,False
2011-10-04,10,False
2011-10-05,41,False
2011-10-06,41,False
2011-10-07,21,False
2011-10-08,37,False
2011-10-09,49,False
2011-10-10,30,False
2011-10-11,66,False
2011-10-12,49,False
2011-10-13,20,False
2011-10-14,63,False
2011-10-15,25,False
2011-10-16,49,False
2011-10-17,40,False
2011-10-18,20,False
2011-10-19,70,False
2011-10-20,31,False
2011-10-21,21,False
2011-10-22,25,False
2011-10-23,61,False
2011-10-24,20,False
2011-10-25,50,False
2011-10-26,20,False
2011-10-27,41,False
2011-10-28,54,False
2011-10-29,25,False
2011-10-30,85,False
2011-10-31,31,False
2011-11-01,73,False
2011-11-02,10,False
2011-11-03,30,False
2011-11-04,31,False
2011-11-05,37,False
2011-11-06,24,False
2011-11-07,50,False
2011-11-08,50,False
2011-11-09,40,False
2011-11-10,30,False
2011-11-11,53,False
2011-11-12,62,False
2011-11-13,35,False
2011-11-14,10,False
2011-11-15,39,False
2011-11-16,20,False
2011-11-17,39,False
2011-11-18,31,False
2011-11-19,36,False
2011-11-20,35,False
2011-11-21,58,False
2011-11-22,29,False
2011-11-23,30,False
2011-11-24,31,False
2011-11-25,43,False
2011-11-26,61,False
2011-11-27,12,False
2011-11-28,48,False
2011-11-29,77,False
2011-11-30,0,False
2011-12-01,0,False
2011-12-02,41,False
2011-12-03,0,False
2011-12-04,82,False
2011-12-05,48,False
2011-12-06,29,False
2011-12-07,39,False
2011-12-08,30,False
2011-12-09,41,False
2011-12-10,47,False
2011-12-11,23,False
2011-12-12,48,False
2011-12-13,10,False
2011-12-14,29,False
2011-12-15,39,False
2011-12-16,10,False
2011-12-17,61,False
2011-12-18,12,False
2011-12-19,79,False
2011-12-20,90,False
2011-12-21,31,False
2011-12-22,32,False
2011-12-23,11,False
2011-12-24,53,False
2011-12-25,86,False
2011-12-26,35,False
2011-12-27,31,False
2011-12-28,31,False
2011-12-29,11,False
2011-12-30,56,False
2011-12-31,26,False
2012-01-01,27,False
2012-01-02,21,False
2012-01-03,48,False
2012-01-04,19,False
2012-01-05,68,False
2012-01-06,20,False
2012-01-07,23,False
2012-01-08,11,False
2012-01-09,0,False
2012-01-10,9,False
2012-01-11,9,False
2012-01-12,0,False
2012-01-13,58,False
2012-01-14,56,False
2012-01-15,33,False
2012-01-16,27,False
2012-01-17,37,False
2012-01-18,37,False
2012-01-19,18,False
2012-01-20,38,False
2012-01-21,100,False
2012-01-22,11,False
2012-01-23,55,False
2012-01-24,36,False
2012-01-25,9,False
2012-01-26,56,False
