date,debt
2012-06-04,38
2012-06-05,42
2012-06-06,44
2012-06-07,42
2012-06-08,42
2012-06-09,28
2012-06-10,29
2012-06-11,41
2012-06-12,44
2012-06-13,44
2012-06-14,43
2012-06-15,41
2012-06-16,27
2012-06-17,29
2012-06-18,43
2012-06-19,44
2012-06-20,43
2012-06-21,42
2012-06-22,39
2012-06-23,28
2012-06-24,29
2012-06-25,42
2012-06-26,45
2012-06-27,43
2012-06-28,44
2012-06-29,37
2012-06-30,27
2012-07-01,28
2012-07-02,40
2012-07-03,40
2012-07-04,34
2012-07-05,38
2012-07-06,37
2012-07-07,29
2012-07-08,28
2012-07-09,42
2012-07-10,45
2012-07-11,44
2012-07-12,44
2012-07-13,39
2012-07-14,28
2012-07-15,30
2012-07-16,40
2012-07-17,44
2012-07-18,46
2012-07-19,44
2012-07-20,38
2012-07-21,29
2012-07-22,30
2012-07-23,42
2012-07-24,44
2012-07-25,45
2012-07-26,42
2012-07-27,40
2012-07-28,30
2012-07-29,30
2012-07-30,40
2012-07-31,42
2012-08-01,42
2012-08-02,40
2012-08-03,37
2012-08-04,27
2012-08-05,27
2012-08-06,40
2012-08-07,41
2012-08-08,41
2012-08-09,43
2012-08-10,37
2012-08-11,30
2012-08-12,30
2012-08-13,44
2012-08-14,45
2012-08-15,47
2012-08-16,44
2012-08-17,40
2012-08-18,30
2012-08-19,31
2012-08-20,44
2012-08-21,45
2012-08-22,45
2012-08-23,43
2012-08-24,39
2012-08-25,30
2012-08-26,29
2012-08-27,43
2012-08-28,48
2012-08-29,51
2012-08-30,57
2012-08-31,49
2012-09-01,33
2012-09-02,34
2012-09-03,41
2012-09-04,63
2012-09-05,74
2012-09-06,64
2012-09-07,60
2012-09-08,36
2012-09-09,37
2012-09-10,48
2012-09-11,50
2012-09-12,48
2012-09-13,52
2012-09-14,44
2012-09-15,33
2012-09-16,34
2012-09-17,48
2012-09-18,53
2012-09-19,54
2012-09-20,51
2012-09-21,46
2012-09-22,32
2012-09-23,32
2012-09-24,46
2012-09-25,49
2012-09-26,50
2012-09-27,48
2012-09-28,45
2012-09-29,33
2012-09-30,37
2012-10-01,50
2012-10-02,51
2012-10-03,55
2012-10-04,69
2012-10-05,47
2012-10-06,32
2012-10-07,34
2012-10-08,45
2012-10-09,52
2012-10-10,49
2012-10-11,48
2012-10-12,47
2012-10-13,32
2012-10-14,32
2012-10-15,48
2012-10-16,53
2012-10-17,63
2012-10-18,52
2012-10-19,46
2012-10-20,32
2012-10-21,34
2012-10-22,48
2012-10-23,58
2012-10-24,53
2012-10-25,50
2012-10-26,46
2012-10-27,31
2012-10-28,32
2012-10-29,43
2012-10-30,45
2012-10-31,45
2012-11-01,47
2012-11-02,45
2012-11-03,34
2012-11-04,35
2012-11-05,53
2012-11-06,63
2012-11-07,100
2012-11-08,64
2012-11-09,56
2012-11-10,36
2012-11-11,35
2012-11-12,48
2012-11-13,53
2012-11-14,56
2012-11-15,53
2012-11-16,45
2012-11-17,30
2012-11-18,31
2012-11-19,46
2012-11-20,47
2012-11-21,42
2012-11-22,31
2012-11-23,31
2012-11-24,28
2012-11-25,30
2012-11-26,47
2012-11-27,51
2012-11-28,52
2012-11-29,51
2012-11-30,46
2012-12-01,32
2012-12-02,33
2012-12-03,49
2012-12-04,48
2012-12-05,51
2012-12-06,50
2012-12-07,44
2012-12-08,32
2012-12-09,30
2012-12-10,45
2012-12-11,48
2012-12-12,46
2012-12-13,45
2012-12-14,37
2012-12-15,26
2012-12-16,26
2012-12-17,35
2012-12-18,38
2012-12-19,38
2012-12-20,33
2012-12-21,29
2012-12-22,21
2012-12-23,21
2012-12-24,22
2012-12-25,18
2012-12-26,28
2012-12-27,36
2012-12-28,37
2012-12-29,30
2012-12-30,30
2012-12-31,37
2013-01-01,36
2013-01-02,60
2013-01-03,52
2013-01-04,49
2013-01-05,35
2013-01-06,35
2013-01-07,49
2013-01-08,48
2013-01-09,49
2013-01-10,49
2013-01-11,44
2013-01-12,32
2013-01-13,33
2013-01-14,57
2013-01-15,60
2013-01-16,53
2013-01-17,49
2013-01-18,45
2013-01-19,34
2013-01-20,32
2013-01-21,41
2013-01-22,51
2013-01-23,52
2013-01-24,50
2013-01-25,44
2013-01-26,31
2013-01-27,33
2013-01-28,47
2013-01-29,49
2013-01-30,48
2013-01-31,47
2013-02-01,45
2013-02-02,31
2013-02-03,30
2013-02-04,43
2013-02-05,49
2013-02-06,47
2013-02-07,46
2013-02-08,40
2013-02-09,30
2013-02-10,30
2013-02-11,44
2013-02-12,48
2013-02-13,52
2013-02-14,43
2013-02-15,39
2013-02-16,28
2013-02-17,28
2013-02-18,40
2013-02-19,45
