date,debt
2016-08-02,60
2016-08-03,60
2016-08-04,58
2016-08-05,53
2016-08-06,41
2016-08-07,39
2016-08-08,56
2016-08-09,57
2016-08-10,62
2016-08-11,60
2016-08-12,52
2016-08-13,39
2016-08-14,40
2016-08-15,58
2016-08-16,58
2016-08-17,59
2016-08-18,56
2016-08-19,53
2016-08-20,43
2016-08-21,43
2016-08-22,59
2016-08-23,61
2016-08-24,59
2016-08-25,59
2016-08-26,54
2016-08-27,39
2016-08-28,42
2016-08-29,54
2016-08-30,62
2016-08-31,60
2016-09-01,63
2016-09-02,56
2016-09-03,37
2016-09-04,37
2016-09-05,45
2016-09-06,58
2016-09-07,66
2016-09-08,63
2016-09-09,54
2016-09-10,40
2016-09-11,40
2016-09-12,61
2016-09-13,66
2016-09-14,66
2016-09-15,66
2016-09-16,58
2016-09-17,41
2016-09-18,43
2016-09-19,67
2016-09-20,64
2016-09-21,64
2016-09-22,65
2016-09-23,59
2016-09-24,39
2016-09-25,43
2016-09-26,65
2016-09-27,96
2016-09-28,73
2016-09-29,65
2016-09-30,64
2016-10-01,42
2016-10-02,40
2016-10-03,64
2016-10-04,67
2016-10-05,73
2016-10-06,69
2016-10-07,55
2016-10-08,41
2016-10-09,42
2016-10-10,68
2016-10-11,65
2016-10-12,71
2016-10-13,66
2016-10-14,57
2016-10-15,43
2016-10-16,42
2016-10-17,66
2016-10-18,68
2016-10-19,68
2016-10-20,100
2016-10-21,63
2016-10-22,43
2016-10-23,42
2016-10-24,68
2016-10-25,67
2016-10-26,65
2016-10-27,62
2016-10-28,57
2016-10-29,44
2016-10-30,38
2016-10-31,60
2016-11-01,67
2016-11-02,71
2016-11-03,65
2016-11-04,61
2016-11-05,39
2016-11-06,44
2016-11-07,68
2016-11-08,69
2016-11-09,87
2016-11-10,82
2016-11-11,65
2016-11-12,48
2016-11-13,46
2016-11-14,69
2016-11-15,70
2016-11-16,68
2016-11-17,67
2016-11-18,60
2016-11-19,40
2016-11-20,43
2016-11-21,63
2016-11-22,62
2016-11-23,59
2016-11-24,45
2016-11-25,43
2016-11-26,44
2016-11-27,42
2016-11-28,61
2016-11-29,64
2016-11-30,71
2016-12-01,71
2016-12-02,61
2016-12-03,45
2016-12-04,51
2016-12-05,65
2016-12-06,65
2016-12-07,67
2016-12-08,65
2016-12-09,54
2016-12-10,36
2016-12-11,39
2016-12-12,59
2016-12-13,60
2016-12-14,62
2016-12-15,58
2016-12-16,52
2016-12-17,36
2016-12-18,35
2016-12-19,50
2016-12-20,54
2016-12-21,50
2016-12-22,46
2016-12-23,37
2016-12-24,28
2016-12-25,24
2016-12-26,30
2016-12-27,41
2016-12-28,47
2016-12-29,46
2016-12-30,43
2016-12-31,33
2017-01-01,31
2017-01-02,40
2017-01-03,57
2017-01-04,65
2017-01-05,65
2017-01-06,59
2017-01-07,42
2017-01-08,42
2017-01-09,61
2017-01-10,65
2017-01-11,70
2017-01-12,70
2017-01-13,63
2017-01-14,46
2017-01-15,47
2017-01-16,57
2017-01-17,68
2017-01-18,70
2017-01-19,76
2017-01-20,82
2017-01-21,64
2017-01-22,55
2017-01-23,70
2017-01-24,71
2017-01-25,72
2017-01-26,71
2017-01-27,66
2017-01-28,49
2017-01-29,46
2017-01-30,68
2017-01-31,72
2017-02-01,66
2017-02-02,68
2017-02-03,62
2017-02-04,45
2017-02-05,41
2017-02-06,63
2017-02-07,70
2017-02-08,70
2017-02-09,68
2017-02-10,61
2017-02-11,42
2017-02-12,43
2017-02-13,61
2017-02-14,64
2017-02-15,67
2017-02-16,66
2017-02-17,61
2017-02-18,43
2017-02-19,45
2017-02-20,60
2017-02-21,71
2017-02-22,71
2017-02-23,68
2017-02-24,66
2017-02-25,66
2017-02-26,68
2017-02-27,81
2017-02-28,81
2017-03-01,72
2017-03-02,71
2017-03-03,63
2017-03-04,42
2017-03-05,43
2017-03-06,65
2017-03-07,66
2017-03-08,69
2017-03-09,67
2017-03-10,60
2017-03-11,44
2017-03-12,41
2017-03-13,63
2017-03-14,66
2017-03-15,71
2017-03-16,67
2017-03-17,59
2017-03-18,44
2017-03-19,43
2017-03-20,67
2017-03-21,71
2017-03-22,66
2017-03-23,64
2017-03-24,57
2017-03-25,41
2017-03-26,44
2017-03-27,65
2017-03-28,68
2017-03-29,70
2017-03-30,64
2017-03-31,59
2017-04-01,43
2017-04-02,42
2017-04-03,65
2017-04-04,65
2017-04-05,65
2017-04-06,65
2017-04-07,57
2017-04-08,40
2017-04-09,44
2017-04-10,63
2017-04-11,66
2017-04-12,64
2017-04-13,58
2017-04-14,48
2017-04-15,41
2017-04-16,36
2017-04-17,58
2017-04-18,68
