date,debt
2011-05-11,18
2011-05-12,18
2011-05-13,17
2011-05-14,12
2011-05-15,13
2011-05-16,25
2011-05-17,23
2011-05-18,20
2011-05-19,20
2011-05-20,17
2011-05-21,11
2011-05-22,11
2011-05-23,18
2011-05-24,18
2011-05-25,17
2011-05-26,17
2011-05-27,15
2011-05-28,10
2011-05-29,10
2011-05-30,13
2011-05-31,18
2011-06-01,20
2011-06-02,19
2011-06-03,18
2011-06-04,12
2011-06-05,12
2011-06-06,18
2011-06-07,18
2011-06-08,18
2011-06-09,17
2011-06-10,14
2011-06-11,11
2011-06-12,11
2011-06-13,17
2011-06-14,18
2011-06-15,18
2011-06-16,18
2011-06-17,16
2011-06-18,12
2011-06-19,13
2011-06-20,19
2011-06-21,19
2011-06-22,18
2011-06-23,19
2011-06-24,17
2011-06-25,12
2011-06-26,12
2011-06-27,20
2011-06-28,20
2011-06-29,23
2011-06-30,22
2011-07-01,17
2011-07-02,12
2011-07-03,12
2011-07-04,14
2011-07-05,20
2011-07-06,22
2011-07-07,22
2011-07-08,20
2011-07-09,15
2011-07-10,16
2011-07-11,28
2011-07-12,34
2011-07-13,32
2011-07-14,39
2011-07-15,35
2011-07-16,24
2011-07-17,22
2011-07-18,31
2011-07-19,33
2011-07-20,31
2011-07-21,32
2011-07-22,32
2011-07-23,30
2011-07-24,33
2011-07-25,46
2011-07-26,68
2011-07-27,61
2011-07-28,62
2011-07-29,76
2011-07-30,67
2011-07-31,70
2011-08-01,100
2011-08-02,91
2011-08-03,50
2011-08-04,38
2011-08-05,31
2011-08-06,43
2011-08-07,29
2011-08-08,41
2011-08-09,32
2011-08-10,27
2011-08-11,26
2011-08-12,22
2011-08-13,15
2011-08-14,17
2011-08-15,22
2011-08-16,23
2011-08-17,22
2011-08-18,22
2011-08-19,19
2011-08-20,14
2011-08-21,16
2011-08-22,19
2011-08-23,20
2011-08-24,20
2011-08-25,20
2011-08-26,18
2011-08-27,13
2011-08-28,14
2011-08-29,18
2011-08-30,22
2011-08-31,24
2011-09-01,23
2011-09-02,24
2011-09-03,23
2011-09-04,24
2011-09-05,24
2011-09-06,25
2011-09-07,23
2011-09-08,24
2011-09-09,23
2011-09-10,19
2011-09-11,19
2011-09-12,23
2011-09-13,26
2011-09-14,25
2011-09-15,24
2011-09-16,22
2011-09-17,18
2011-09-18,17
2011-09-19,24
2011-09-20,24
2011-09-21,24
2011-09-22,23
2011-09-23,22
2011-09-24,18
2011-09-25,19
2011-09-26,24
2011-09-27,24
2011-09-28,24
2011-09-29,24
2011-09-30,21
2011-10-01,18
2011-10-02,17
2011-10-03,23
2011-10-04,23
2011-10-05,23
2011-10-06,22
2011-10-07,20
2011-10-08,16
2011-10-09,16
2011-10-10,21
2011-10-11,23
2011-10-12,23
2011-10-13,22
2011-10-14,19
2011-10-15,14
2011-10-16,15
2011-10-17,20
2011-10-18,22
2011-10-19,24
2011-10-20,22
2011-10-21,20
2011-10-22,15
2011-10-23,17
2011-10-24,21
2011-10-25,23
2011-10-26,26
2011-10-27,25
2011-10-28,20
2011-10-29,13
2011-10-30,15
2011-10-31,20
2011-11-01,22
2011-11-02,23
2011-11-03,23
2011-11-04,20
2011-11-05,15
2011-11-06,15
2011-11-07,23
2011-11-08,23
2011-11-09,25
2011-11-10,24
2011-11-11,19
2011-11-12,14
2011-11-13,16
2011-11-14,20
2011-11-15,22
2011-11-16,23
2011-11-17,24
2011-11-18,21
2011-11-19,14
2011-11-20,16
2011-11-21,23
2011-11-22,23
2011-11-23,24
2011-11-24,23
2011-11-25,21
2011-11-26,19
2011-11-27,20
2011-11-28,23
2011-11-29,24
2011-11-30,24
2011-12-01,22
2011-12-02,21
2011-12-03,16
2011-12-04,18
2011-12-05,21
2011-12-06,22
2011-12-07,22
2011-12-08,21
2011-12-09,21
2011-12-10,17
2011-12-11,17
2011-12-12,20
2011-12-13,20
2011-12-14,21
2011-12-15,20
2011-12-16,17
2011-12-17,15
2011-12-18,15
2011-12-19,16
2011-12-20,16
2011-12-21,15
2011-12-22,15
2011-12-23,12
2011-12-24,10
2011-12-25,10
2011-12-26,11
2011-12-27,15
2011-12-28,17
2011-12-29,18
2011-12-30,15
2011-12-31,13
2012-01-01,13
2012-01-02,15
2012-01-03,19
2012-01-04,20
2012-01-05,19
2012-01-06,20
2012-01-07,15
2012-01-08,16
2012-01-09,20
2012-01-10,21
2012-01-11,21
2012-01-12,20
2012-01-13,20
2012-01-14,15
2012-01-15,15
2012-01-16,18
2012-01-17,21
2012-01-18,19
2012-01-19,23
2012-01-20,20
2012-01-21,17
2012-01-22,18
2012-01-23,23
2012-01-24,25
2012-01-25,25
2012-01-26,22
