date,debt
2016-07-30,45
2016-07-31,42
2016-08-01,57
2016-08-02,60
2016-08-03,60
2016-08-04,59
2016-08-05,54
2016-08-06,39
2016-08-07,38
2016-08-08,56
2016-08-09,56
2016-08-10,60
2016-08-11,58
2016-08-12,52
2016-08-13,40
2016-08-14,40
2016-08-15,60
2016-08-16,58
2016-08-17,60
2016-08-18,58
2016-08-19,52
2016-08-20,41
2016-08-21,43
2016-08-22,58
2016-08-23,65
2016-08-24,58
2016-08-25,61
2016-08-26,55
2016-08-27,40
2016-08-28,42
2016-08-29,56
2016-08-30,62
2016-08-31,61
2016-09-01,62
2016-09-02,55
2016-09-03,37
2016-09-04,38
2016-09-05,47
2016-09-06,59
2016-09-07,66
2016-09-08,63
2016-09-09,56
2016-09-10,40
2016-09-11,40
2016-09-12,62
2016-09-13,68
2016-09-14,67
2016-09-15,65
2016-09-16,60
2016-09-17,41
2016-09-18,44
2016-09-19,68
2016-09-20,66
2016-09-21,67
2016-09-22,66
2016-09-23,60
2016-09-24,40
2016-09-25,44
2016-09-26,67
2016-09-27,96
2016-09-28,73
2016-09-29,66
2016-09-30,65
2016-10-01,42
2016-10-02,40
2016-10-03,62
2016-10-04,66
2016-10-05,72
2016-10-06,67
2016-10-07,55
2016-10-08,40
2016-10-09,43
2016-10-10,67
2016-10-11,65
2016-10-12,69
2016-10-13,67
2016-10-14,58
2016-10-15,44
2016-10-16,44
2016-10-17,65
2016-10-18,69
2016-10-19,67
2016-10-20,100
2016-10-21,61
2016-10-22,43
2016-10-23,43
2016-10-24,67
2016-10-25,67
2016-10-26,65
2016-10-27,64
2016-10-28,58
2016-10-29,44
2016-10-30,39
2016-10-31,61
2016-11-01,66
2016-11-02,70
2016-11-03,66
2016-11-04,59
2016-11-05,40
2016-11-06,44
2016-11-07,69
2016-11-08,71
2016-11-09,89
2016-11-10,83
2016-11-11,67
2016-11-12,49
2016-11-13,50
2016-11-14,67
2016-11-15,70
2016-11-16,69
2016-11-17,69
2016-11-18,62
2016-11-19,40
2016-11-20,43
2016-11-21,63
2016-11-22,65
2016-11-23,60
2016-11-24,45
2016-11-25,44
2016-11-26,45
2016-11-27,43
2016-11-28,62
2016-11-29,66
2016-11-30,73
2016-12-01,72
2016-12-02,59
2016-12-03,44
2016-12-04,51
2016-12-05,68
2016-12-06,68
2016-12-07,65
2016-12-08,66
2016-12-09,55
2016-12-10,35
2016-12-11,38
2016-12-12,59
2016-12-13,62
2016-12-14,63
2016-12-15,58
2016-12-16,52
2016-12-17,37
2016-12-18,34
2016-12-19,51
2016-12-20,54
2016-12-21,51
2016-12-22,47
2016-12-23,39
2016-12-24,29
2016-12-25,24
2016-12-26,31
2016-12-27,41
2016-12-28,47
2016-12-29,46
2016-12-30,43
2016-12-31,34
2017-01-01,33
2017-01-02,39
2017-01-03,60
2017-01-04,65
2017-01-05,65
2017-01-06,59
2017-01-07,42
2017-01-08,42
2017-01-09,60
2017-01-10,65
2017-01-11,72
2017-01-12,71
2017-01-13,64
2017-01-14,48
2017-01-15,47
2017-01-16,60
2017-01-17,70
2017-01-18,71
2017-01-19,74
2017-01-20,80
2017-01-21,64
2017-01-22,55
2017-01-23,69
2017-01-24,72
2017-01-25,72
2017-01-26,72
2017-01-27,68
2017-01-28,49
2017-01-29,49
2017-01-30,69
2017-01-31,72
2017-02-01,67
2017-02-02,68
2017-02-03,65
2017-02-04,45
2017-02-05,42
2017-02-06,61
2017-02-07,70
2017-02-08,69
2017-02-09,68
2017-02-10,63
2017-02-11,42
2017-02-12,44
2017-02-13,63
2017-02-14,65
2017-02-15,70
2017-02-16,68
2017-02-17,62
2017-02-18,44
2017-02-19,45
2017-02-20,59
2017-02-21,70
2017-02-22,70
2017-02-23,70
2017-02-24,66
2017-02-25,66
2017-02-26,68
2017-02-27,81
2017-02-28,83
2017-03-01,72
2017-03-02,72
2017-03-03,65
2017-03-04,43
2017-03-05,46
2017-03-06,64
2017-03-07,68
2017-03-08,68
2017-03-09,67
2017-03-10,61
2017-03-11,44
2017-03-12,44
2017-03-13,65
2017-03-14,66
2017-03-15,71
2017-03-16,67
2017-03-17,62
2017-03-18,44
2017-03-19,45
2017-03-20,67
2017-03-21,70
2017-03-22,66
2017-03-23,64
2017-03-24,59
2017-03-25,42
2017-03-26,43
2017-03-27,65
2017-03-28,66
2017-03-29,67
2017-03-30,65
2017-03-31,60
2017-04-01,41
2017-04-02,42
2017-04-03,63
2017-04-04,67
2017-04-05,65
2017-04-06,66
2017-04-07,58
2017-04-08,39
2017-04-09,42
2017-04-10,64
2017-04-11,65
2017-04-12,65
2017-04-13,57
2017-04-14,49
