date,debt
2012-10-12,47
2012-10-13,31
2012-10-14,31
2012-10-15,50
2012-10-16,51
2012-10-17,62
2012-10-18,52
2012-10-19,46
2012-10-20,32
2012-10-21,35
2012-10-22,48
2012-10-23,59
2012-10-24,51
2012-10-25,50
2012-10-26,46
2012-10-27,32
2012-10-28,32
2012-10-29,42
2012-10-30,46
2012-10-31,45
2012-11-01,46
2012-11-02,47
2012-11-03,34
2012-11-04,37
2012-11-05,53
2012-11-06,65
2012-11-07,100
2012-11-08,66
2012-11-09,55
2012-11-10,36
2012-11-11,35
2012-11-12,47
2012-11-13,50
2012-11-14,56
2012-11-15,54
2012-11-16,44
2012-11-17,33
2012-11-18,31
2012-11-19,45
2012-11-20,48
2012-11-21,43
2012-11-22,31
2012-11-23,33
2012-11-24,26
2012-11-25,30
2012-11-26,44
2012-11-27,52
2012-11-28,51
2012-11-29,51
2012-11-30,46
2012-12-01,33
2012-12-02,33
2012-12-03,49
2012-12-04,50
2012-12-05,50
2012-12-06,51
2012-12-07,44
2012-12-08,33
2012-12-09,30
2012-12-10,44
2012-12-11,48
2012-12-12,45
2012-12-13,45
2012-12-14,36
2012-12-15,25
2012-12-16,24
2012-12-17,36
2012-12-18,39
2012-12-19,38
2012-12-20,33
2012-12-21,30
2012-12-22,21
2012-12-23,19
2012-12-24,21
2012-12-25,17
2012-12-26,27
2012-12-27,36
2012-12-28,38
2012-12-29,31
2012-12-30,29
2012-12-31,37
2013-01-01,36
2013-01-02,60
2013-01-03,52
2013-01-04,49
2013-01-05,35
2013-01-06,35
2013-01-07,49
2013-01-08,48
2013-01-09,49
2013-01-10,48
2013-01-11,45
2013-01-12,31
2013-01-13,33
2013-01-14,57
2013-01-15,60
2013-01-16,53
2013-01-17,51
2013-01-18,44
2013-01-19,33
2013-01-20,32
2013-01-21,41
2013-01-22,50
2013-01-23,53
2013-01-24,50
2013-01-25,43
2013-01-26,32
2013-01-27,33
2013-01-28,48
2013-01-29,49
2013-01-30,47
2013-01-31,47
2013-02-01,42
2013-02-02,31
2013-02-03,29
2013-02-04,43
2013-02-05,49
2013-02-06,47
2013-02-07,46
2013-02-08,39
2013-02-09,29
2013-02-10,30
2013-02-11,44
2013-02-12,45
2013-02-13,52
2013-02-14,44
2013-02-15,37
2013-02-16,29
2013-02-17,28
2013-02-18,40
2013-02-19,44
2013-02-20,43
2013-02-21,45
2013-02-22,39
2013-02-23,31
2013-02-24,31
2013-02-25,45
2013-02-26,48
2013-02-27,48
2013-02-28,49
2013-03-01,45
2013-03-02,32
2013-03-03,32
2013-03-04,46
2013-03-05,47
2013-03-06,48
2013-03-07,45
2013-03-08,39
2013-03-09,28
2013-03-10,28
2013-03-11,43
2013-03-12,45
2013-03-13,45
2013-03-14,42
2013-03-15,39
2013-03-16,28
2013-03-17,28
2013-03-18,44
2013-03-19,46
2013-03-20,48
2013-03-21,44
2013-03-22,40
2013-03-23,29
2013-03-24,29
2013-03-25,46
2013-03-26,46
2013-03-27,44
2013-03-28,42
2013-03-29,32
2013-03-30,27
2013-03-31,26
2013-04-01,37
2013-04-02,42
2013-04-03,42
2013-04-04,42
2013-04-05,39
2013-04-06,27
2013-04-07,29
2013-04-08,42
2013-04-09,45
2013-04-10,45
2013-04-11,44
2013-04-12,39
2013-04-13,29
2013-04-14,31
2013-04-15,44
2013-04-16,45
2013-04-17,44
2013-04-18,44
2013-04-19,36
2013-04-20,25
2013-04-21,26
2013-04-22,43
2013-04-23,45
2013-04-24,48
2013-04-25,43
2013-04-26,36
2013-04-27,26
2013-04-28,28
2013-04-29,45
2013-04-30,44
2013-05-01,46
2013-05-02,43
2013-05-03,36
2013-05-04,24
2013-05-05,26
2013-05-06,39
2013-05-07,43
2013-05-08,43
2013-05-09,41
2013-05-10,39
2013-05-11,26
2013-05-12,24
2013-05-13,40
2013-05-14,44
2013-05-15,44
2013-05-16,39
2013-05-17,37
2013-05-18,24
2013-05-19,26
2013-05-20,38
2013-05-21,39
2013-05-22,39
2013-05-23,38
2013-05-24,34
2013-05-25,22
2013-05-26,22
2013-05-27,27
2013-05-28,39
2013-05-29,38
2013-05-30,38
2013-05-31,33
2013-06-01,23
2013-06-02,24
2013-06-03,37
2013-06-04,36
2013-06-05,37
2013-06-06,38
2013-06-07,33
2013-06-08,23
2013-06-09,23
2013-06-10,36
2013-06-11,37
2013-06-12,36
2013-06-13,35
2013-06-14,33
2013-06-15,24
2013-06-16,22
2013-06-17,35
2013-06-18,39
2013-06-19,37
2013-06-20,35
2013-06-21,31
2013-06-22,23
2013-06-23,23
2013-06-24,35
2013-06-25,37
2013-06-26,36
2013-06-27,35
2013-06-28,32
2013-06-29,23
