date,VOD
2013-02-19,69
2013-02-20,75
2013-02-21,74
2013-02-22,67
2013-02-23,84
2013-02-24,90
2013-02-25,67
2013-02-26,70
2013-02-27,69
2013-02-28,70
2013-03-01,75
2013-03-02,91
2013-03-03,100
2013-03-04,71
2013-03-05,69
2013-03-06,66
2013-03-07,70
2013-03-08,74
2013-03-09,87
2013-03-10,98
2013-03-11,68
2013-03-12,72
2013-03-13,71
2013-03-14,68
2013-03-15,68
2013-03-16,82
2013-03-17,88
2013-03-18,69
2013-03-19,70
2013-03-20,67
2013-03-21,72
2013-03-22,79
2013-03-23,92
2013-03-24,94
2013-03-25,65
2013-03-26,70
2013-03-27,74
2013-03-28,71
2013-03-29,78
2013-03-30,82
2013-03-31,98
2013-04-01,82
2013-04-02,79
2013-04-03,75
2013-04-04,78
2013-04-05,81
2013-04-06,94
2013-04-07,92
2013-04-08,63
2013-04-09,73
2013-04-10,68
2013-04-11,67
2013-04-12,71
2013-04-13,84
2013-04-14,88
2013-04-15,58
2013-04-16,57
2013-04-17,63
2013-04-18,64
2013-04-19,70
2013-04-20,84
2013-04-21,84
2013-04-22,66
2013-04-23,63
2013-04-24,61
2013-04-25,68
2013-04-26,70
2013-04-27,85
2013-04-28,97
2013-04-29,69
2013-04-30,71
2013-05-01,81
2013-05-02,73
2013-05-03,79
2013-05-04,79
2013-05-05,87
2013-05-06,64
2013-05-07,63
2013-05-08,66
2013-05-09,67
2013-05-10,73
2013-05-11,74
2013-05-12,82
2013-05-13,67
2013-05-14,63
2013-05-15,65
2013-05-16,60
2013-05-17,67
2013-05-18,73
2013-05-19,83
2013-05-20,68
2013-05-21,62
2013-05-22,67
2013-05-23,60
2013-05-24,75
2013-05-25,85
2013-05-26,84
2013-05-27,64
2013-05-28,68
2013-05-29,63
2013-05-30,70
2013-05-31,64
2013-06-01,78
2013-06-02,73
2013-06-03,61
2013-06-04,55
2013-06-05,60
2013-06-06,55
2013-06-07,56
2013-06-08,65
2013-06-09,74
2013-06-10,54
2013-06-11,55
2013-06-12,47
2013-06-13,57
2013-06-14,51
2013-06-15,63
2013-06-16,65
2013-06-17,49
2013-06-18,53
2013-06-19,54
2013-06-20,48
2013-06-21,52
2013-06-22,65
2013-06-23,64
2013-06-24,51
2013-06-25,56
2013-06-26,48
2013-06-27,48
2013-06-28,50
2013-06-29,63
2013-06-30,70
2013-07-01,52
2013-07-02,48
2013-07-03,53
2013-07-04,56
2013-07-05,52
2013-07-06,61
2013-07-07,60
2013-07-08,53
2013-07-09,48
2013-07-10,53
2013-07-11,48
2013-07-12,55
2013-07-13,57
2013-07-14,66
2013-07-15,55
2013-07-16,52
2013-07-17,51
2013-07-18,49
2013-07-19,54
2013-07-20,60
2013-07-21,63
2013-07-22,49
2013-07-23,49
2013-07-24,50
2013-07-25,48
2013-07-26,53
2013-07-27,57
2013-07-28,64
2013-07-29,53
2013-07-30,56
2013-07-31,51
2013-08-01,51
2013-08-02,56
2013-08-03,57
2013-08-04,66
2013-08-05,52
2013-08-06,51
2013-08-07,58
2013-08-08,60
2013-08-09,57
2013-08-10,66
2013-08-11,64
2013-08-12,56
2013-08-13,56
2013-08-14,52
2013-08-15,56
2013-08-16,59
2013-08-17,53
2013-08-18,64
2013-08-19,57
2013-08-20,53
2013-08-21,58
2013-08-22,53
2013-08-23,59
2013-08-24,66
2013-08-25,74
2013-08-26,59
2013-08-27,52
2013-08-28,54
2013-08-29,54
2013-08-30,58
2013-08-31,66
2013-09-01,82
2013-09-02,74
2013-09-03,75
2013-09-04,69
2013-09-05,65
2013-09-06,69
2013-09-07,78
2013-09-08,78
2013-09-09,72
2013-09-10,72
2013-09-11,75
2013-09-12,68
2013-09-13,70
2013-09-14,86
2013-09-15,96
2013-09-16,83
2013-09-17,73
2013-09-18,66
2013-09-19,66
2013-09-20,69
2013-09-21,75
2013-09-22,88
2013-09-23,70
2013-09-24,69
2013-09-25,72
2013-09-26,67
2013-09-27,66
2013-09-28,82
2013-09-29,82
2013-09-30,63
2013-10-01,64
2013-10-02,62
2013-10-03,60
2013-10-04,66
2013-10-05,79
2013-10-06,77
2013-10-07,62
2013-10-08,62
2013-10-09,63
2013-10-10,59
2013-10-11,60
2013-10-12,75
2013-10-13,80
2013-10-14,68
2013-10-15,63
2013-10-16,64
2013-10-17,65
2013-10-18,66
2013-10-19,77
2013-10-20,77
2013-10-21,62
2013-10-22,65
2013-10-23,66
2013-10-24,62
2013-10-25,65
2013-10-26,75
2013-10-27,84
2013-10-28,73
2013-10-29,65
2013-10-30,63
2013-10-31,61
2013-11-01,76
2013-11-02,78
2013-11-03,87
2013-11-04,67
2013-11-05,59
2013-11-06,64
