date,VOD
2011-01-01,53
2011-01-02,47
2011-01-03,39
2011-01-04,43
2011-01-05,39
2011-01-06,48
2011-01-07,45
2011-01-08,49
2011-01-09,44
2011-01-10,41
2011-01-11,46
2011-01-12,46
2011-01-13,50
2011-01-14,50
2011-01-15,52
2011-01-16,45
2011-01-17,47
2011-01-18,45
2011-01-19,48
2011-01-20,46
2011-01-21,46
2011-01-22,48
2011-01-23,43
2011-01-24,44
2011-01-25,50
2011-01-26,50
2011-01-27,47
2011-01-28,48
2011-01-29,50
2011-01-30,47
2011-01-31,46
2011-02-01,49
2011-02-02,47
2011-02-03,49
2011-02-04,49
2011-02-05,54
2011-02-06,43
2011-02-07,45
2011-02-08,41
2011-02-09,50
2011-02-10,53
2011-02-11,55
2011-02-12,49
2011-02-13,48
2011-02-14,49
2011-02-15,49
2011-02-16,49
2011-02-17,51
2011-02-18,51
2011-02-19,46
2011-02-20,50
2011-02-21,53
2011-02-22,57
2011-02-23,58
2011-02-24,55
2011-02-25,61
2011-02-26,62
2011-02-27,58
2011-02-28,53
2011-03-01,62
2011-03-02,64
2011-03-03,71
2011-03-04,65
2011-03-05,62
2011-03-06,72
2011-03-07,75
2011-03-08,72
2011-03-09,76
2011-03-10,75
2011-03-11,70
2011-03-12,67
2011-03-13,76
2011-03-14,74
2011-03-15,74
2011-03-16,84
2011-03-17,82
2011-03-18,70
2011-03-19,71
2011-03-20,80
2011-03-21,77
2011-03-22,72
2011-03-23,75
2011-03-24,76
2011-03-25,73
2011-03-26,59
2011-03-27,81
2011-03-28,71
2011-03-29,78
2011-03-30,73
2011-03-31,73
2011-04-01,67
2011-04-02,66
2011-04-03,69
2011-04-04,81
2011-04-05,70
2011-04-06,77
2011-04-07,72
2011-04-08,73
2011-04-09,66
2011-04-10,83
2011-04-11,84
2011-04-12,81
2011-04-13,82
2011-04-14,89
2011-04-15,73
2011-04-16,64
2011-04-17,88
2011-04-18,81
2011-04-19,79
2011-04-20,79
2011-04-21,79
2011-04-22,76
2011-04-23,65
2011-04-24,79
2011-04-25,83
2011-04-26,100
2011-04-27,95
2011-04-28,83
2011-04-29,76
2011-04-30,69
2011-05-01,84
2011-05-02,90
2011-05-03,86
2011-05-04,77
2011-05-05,83
2011-05-06,86
2011-05-07,79
2011-05-08,98
2011-05-09,87
2011-05-10,79
2011-05-11,74
2011-05-12,77
2011-05-13,77
2011-05-14,67
2011-05-15,99
2011-05-16,87
2011-05-17,76
2011-05-18,70
2011-05-19,69
2011-05-20,70
2011-05-21,62
2011-05-22,76
2011-05-23,78
2011-05-24,75
2011-05-25,76
2011-05-26,68
2011-05-27,77
2011-05-28,70
2011-05-29,69
2011-05-30,81
2011-05-31,76
2011-06-01,71
2011-06-02,82
2011-06-03,64
2011-06-04,60
2011-06-05,60
2011-06-06,75
2011-06-07,75
2011-06-08,67
2011-06-09,73
2011-06-10,74
2011-06-11,53
2011-06-12,66
2011-06-13,65
2011-06-14,69
2011-06-15,69
2011-06-16,65
2011-06-17,50
2011-06-18,47
2011-06-19,54
2011-06-20,40
2011-06-21,37
2011-06-22,32
2011-06-23,31
2011-06-24,34
2011-06-25,41
2011-06-26,43
2011-06-27,29
2011-06-28,29
2011-06-29,32
2011-06-30,30
2011-07-01,33
2011-07-02,39
2011-07-03,44
2011-07-04,28
2011-07-05,32
2011-07-06,31
2011-07-07,26
2011-07-08,29
2011-07-09,32
2011-07-10,36
2011-07-11,32
2011-07-12,31
2011-07-13,30
2011-07-14,30
2011-07-15,30
2011-07-16,36
2011-07-17,34
2011-07-18,29
2011-07-19,29
2011-07-20,33
2011-07-21,30
2011-07-22,35
2011-07-23,34
2011-07-24,37
2011-07-25,32
2011-07-26,30
2011-07-27,29
2011-07-28,30
2011-07-29,32
2011-07-30,38
2011-07-31,43
2011-08-01,34
2011-08-02,30
2011-08-03,29
2011-08-04,30
2011-08-05,31
2011-08-06,29
2011-08-07,37
2011-08-08,28
2011-08-09,30
2011-08-10,28
2011-08-11,27
2011-08-12,28
2011-08-13,35
2011-08-14,39
2011-08-15,35
2011-08-16,33
2011-08-17,32
2011-08-18,31
2011-08-19,34
2011-08-20,36
2011-08-21,42
2011-08-22,33
2011-08-23,29
2011-08-24,34
2011-08-25,36
2011-08-26,35
2011-08-27,37
2011-08-28,41
2011-08-29,35
2011-08-30,35
2011-08-31,32
2011-09-01,34
2011-09-02,35
2011-09-03,43
2011-09-04,54
2011-09-05,66
2011-09-06,64
2011-09-07,67
2011-09-08,63
2011-09-09,54
2011-09-10,52
2011-09-11,54
2011-09-12,47
2011-09-13,49
2011-09-14,47
2011-09-15,40
2011-09-16,40
2011-09-17,42
2011-09-18,44
