date,VOD
2016-08-02,44
2016-08-03,48
2016-08-04,47
2016-08-05,45
2016-08-06,45
2016-08-07,49
2016-08-08,39
2016-08-09,42
2016-08-10,40
2016-08-11,41
2016-08-12,39
2016-08-13,42
2016-08-14,44
2016-08-15,42
2016-08-16,42
2016-08-17,41
2016-08-18,43
2016-08-19,36
2016-08-20,45
2016-08-21,48
2016-08-22,57
2016-08-23,57
2016-08-24,55
2016-08-25,52
2016-08-26,56
2016-08-27,51
2016-08-28,56
2016-08-29,66
2016-08-30,73
2016-08-31,68
2016-09-01,63
2016-09-02,67
2016-09-03,70
2016-09-04,82
2016-09-05,82
2016-09-06,77
2016-09-07,75
2016-09-08,74
2016-09-09,71
2016-09-10,72
2016-09-11,82
2016-09-12,76
2016-09-13,74
2016-09-14,73
2016-09-15,73
2016-09-16,78
2016-09-17,76
2016-09-18,89
2016-09-19,74
2016-09-20,71
2016-09-21,74
2016-09-22,70
2016-09-23,73
2016-09-24,71
2016-09-25,80
2016-09-26,75
2016-09-27,73
2016-09-28,69
2016-09-29,70
2016-09-30,77
2016-10-01,75
2016-10-02,80
2016-10-03,86
2016-10-04,80
2016-10-05,84
2016-10-06,81
2016-10-07,78
2016-10-08,94
2016-10-09,100
2016-10-10,88
2016-10-11,87
2016-10-12,92
2016-10-13,83
2016-10-14,81
2016-10-15,83
2016-10-16,93
2016-10-17,83
2016-10-18,86
2016-10-19,78
2016-10-20,75
2016-10-21,79
2016-10-22,86
2016-10-23,93
2016-10-24,85
2016-10-25,81
2016-10-26,82
2016-10-27,76
2016-10-28,77
2016-10-29,79
2016-10-30,91
2016-10-31,91
2016-11-01,92
2016-11-02,76
2016-11-03,77
2016-11-04,83
2016-11-05,88
2016-11-06,93
2016-11-07,83
2016-11-08,76
2016-11-09,73
2016-11-10,79
2016-11-11,88
2016-11-12,77
2016-11-13,91
2016-11-14,84
2016-11-15,85
2016-11-16,81
2016-11-17,78
2016-11-18,80
2016-11-19,85
2016-11-20,89
2016-11-21,85
2016-11-22,79
2016-11-23,80
2016-11-24,75
2016-11-25,78
2016-11-26,79
2016-11-27,86
2016-11-28,78
2016-11-29,77
2016-11-30,77
2016-12-01,79
2016-12-02,86
2016-12-03,83
2016-12-04,76
2016-12-05,71
2016-12-06,84
2016-12-07,83
2016-12-08,78
2016-12-09,76
2016-12-10,68
2016-12-11,71
2016-12-12,73
2016-12-13,79
2016-12-14,73
2016-12-15,73
2016-12-16,72
2016-12-17,73
2016-12-18,68
2016-12-19,71
2016-12-20,82
2016-12-21,82
2016-12-22,74
2016-12-23,66
2016-12-24,49
2016-12-25,71
2016-12-26,75
2016-12-27,100
2016-12-28,100
2016-12-29,94
2016-12-30,88
2016-12-31,62
2017-01-01,81
2017-01-02,79
2017-01-03,85
2017-01-04,87
2017-01-05,81
2017-01-06,76
2017-01-07,73
2017-01-08,72
2017-01-09,74
2017-01-10,82
2017-01-11,81
2017-01-12,74
2017-01-13,79
2017-01-14,78
2017-01-15,72
2017-01-16,75
2017-01-17,92
2017-01-18,88
2017-01-19,85
2017-01-20,77
2017-01-21,74
2017-01-22,74
2017-01-23,72
2017-01-24,86
2017-01-25,78
2017-01-26,82
2017-01-27,78
2017-01-28,82
2017-01-29,71
2017-01-30,75
2017-01-31,86
2017-02-01,86
2017-02-02,76
2017-02-03,85
2017-02-04,77
2017-02-05,74
2017-02-06,77
2017-02-07,85
2017-02-08,81
2017-02-09,78
2017-02-10,78
2017-02-11,77
2017-02-12,72
2017-02-13,78
2017-02-14,83
2017-02-15,90
2017-02-16,85
2017-02-17,85
2017-02-18,76
2017-02-19,75
2017-02-20,76
2017-02-21,84
2017-02-22,85
2017-02-23,85
2017-02-24,88
2017-02-25,82
2017-02-26,79
2017-02-27,76
2017-02-28,95
2017-03-01,88
2017-03-02,85
2017-03-03,88
2017-03-04,85
2017-03-05,83
2017-03-06,82
2017-03-07,87
2017-03-08,84
2017-03-09,86
2017-03-10,86
2017-03-11,89
2017-03-12,82
2017-03-13,77
2017-03-14,98
2017-03-15,86
2017-03-16,78
2017-03-17,80
2017-03-18,88
2017-03-19,79
2017-03-20,73
2017-03-21,84
2017-03-22,82
2017-03-23,76
2017-03-24,76
2017-03-25,79
2017-03-26,79
2017-03-27,74
2017-03-28,83
2017-03-29,86
2017-03-30,81
2017-03-31,72
2017-04-01,68
2017-04-02,74
2017-04-03,73
2017-04-04,78
2017-04-05,82
2017-04-06,80
2017-04-07,77
2017-04-08,76
2017-04-09,71
2017-04-10,73
2017-04-11,82
2017-04-12,84
2017-04-13,78
2017-04-14,74
2017-04-15,67
2017-04-16,69
2017-04-17,79
2017-04-18,100
