date,VOD
2017-01-19,83
2017-01-20,80
2017-01-21,76
2017-01-22,75
2017-01-23,71
2017-01-24,85
2017-01-25,81
2017-01-26,81
2017-01-27,84
2017-01-28,83
2017-01-29,74
2017-01-30,76
2017-01-31,82
2017-02-01,83
2017-02-02,83
2017-02-03,91
2017-02-04,82
2017-02-05,78
2017-02-06,83
2017-02-07,86
2017-02-08,82
2017-02-09,85
2017-02-10,81
2017-02-11,79
2017-02-12,78
2017-02-13,78
2017-02-14,91
2017-02-15,93
2017-02-16,87
2017-02-17,86
2017-02-18,83
2017-02-19,77
2017-02-20,80
2017-02-21,89
2017-02-22,87
2017-02-23,90
2017-02-24,90
2017-02-25,87
2017-02-26,80
2017-02-27,80
2017-02-28,96
2017-03-01,93
2017-03-02,87
2017-03-03,90
2017-03-04,90
2017-03-05,88
2017-03-06,90
2017-03-07,93
2017-03-08,83
2017-03-09,91
2017-03-10,91
2017-03-11,93
2017-03-12,91
2017-03-13,84
2017-03-14,100
2017-03-15,94
2017-03-16,85
2017-03-17,83
2017-03-18,86
2017-03-19,84
2017-03-20,75
2017-03-21,85
2017-03-22,88
2017-03-23,79
2017-03-24,80
2017-03-25,84
2017-03-26,84
2017-03-27,78
2017-03-28,89
2017-03-29,88
2017-03-30,87
2017-03-31,82
2017-04-01,65
