date,VOD
2016-05-04,75
2016-05-05,72
2016-05-06,71
2016-05-07,70
2016-05-08,67
2016-05-09,65
2016-05-10,69
2016-05-11,70
2016-05-12,60
2016-05-13,68
2016-05-14,73
2016-05-15,81
2016-05-16,67
2016-05-17,74
2016-05-18,72
2016-05-19,63
2016-05-20,64
2016-05-21,61
2016-05-22,62
2016-05-23,63
2016-05-24,67
2016-05-25,63
2016-05-26,64
2016-05-27,62
2016-05-28,60
2016-05-29,64
2016-05-30,64
2016-05-31,68
2016-06-01,71
2016-06-02,68
2016-06-03,71
2016-06-04,62
2016-06-05,59
2016-06-06,63
2016-06-07,69
2016-06-08,66
2016-06-09,67
2016-06-10,64
2016-06-11,59
2016-06-12,59
2016-06-13,58
2016-06-14,57
2016-06-15,49
2016-06-16,45
2016-06-17,48
2016-06-18,47
2016-06-19,49
2016-06-20,48
2016-06-21,47
2016-06-22,43
2016-06-23,41
2016-06-24,46
2016-06-25,48
2016-06-26,51
2016-06-27,43
2016-06-28,46
2016-06-29,45
2016-06-30,45
2016-07-01,46
2016-07-02,45
2016-07-03,49
2016-07-04,47
2016-07-05,44
2016-07-06,47
2016-07-07,45
2016-07-08,44
2016-07-09,49
2016-07-10,47
2016-07-11,46
2016-07-12,48
2016-07-13,45
2016-07-14,49
2016-07-15,45
2016-07-16,44
2016-07-17,49
2016-07-18,43
2016-07-19,46
2016-07-20,41
2016-07-21,44
2016-07-22,44
2016-07-23,44
2016-07-24,50
2016-07-25,41
2016-07-26,44
2016-07-27,41
2016-07-28,43
2016-07-29,43
2016-07-30,46
2016-07-31,47
2016-08-01,46
2016-08-02,43
2016-08-03,49
2016-08-04,45
2016-08-05,45
2016-08-06,49
2016-08-07,48
2016-08-08,41
2016-08-09,42
2016-08-10,43
2016-08-11,38
2016-08-12,39
2016-08-13,40
2016-08-14,44
2016-08-15,40
2016-08-16,39
2016-08-17,40
2016-08-18,41
2016-08-19,38
2016-08-20,41
2016-08-21,50
2016-08-22,55
2016-08-23,58
2016-08-24,53
2016-08-25,52
2016-08-26,55
2016-08-27,53
2016-08-28,55
2016-08-29,69
2016-08-30,70
2016-08-31,68
2016-09-01,65
2016-09-02,68
2016-09-03,71
2016-09-04,80
2016-09-05,84
2016-09-06,75
2016-09-07,73
2016-09-08,77
2016-09-09,67
2016-09-10,73
2016-09-11,80
2016-09-12,73
2016-09-13,75
2016-09-14,75
2016-09-15,73
2016-09-16,79
2016-09-17,75
2016-09-18,89
2016-09-19,72
2016-09-20,70
2016-09-21,75
2016-09-22,68
2016-09-23,73
2016-09-24,70
2016-09-25,79
2016-09-26,74
2016-09-27,70
2016-09-28,72
2016-09-29,70
2016-09-30,73
2016-10-01,77
2016-10-02,79
2016-10-03,83
2016-10-04,80
2016-10-05,79
2016-10-06,78
2016-10-07,80
2016-10-08,96
2016-10-09,100
2016-10-10,84
2016-10-11,88
2016-10-12,86
2016-10-13,79
2016-10-14,77
2016-10-15,83
2016-10-16,92
2016-10-17,78
2016-10-18,82
2016-10-19,81
2016-10-20,76
2016-10-21,78
2016-10-22,87
2016-10-23,91
2016-10-24,82
2016-10-25,78
2016-10-26,84
2016-10-27,77
2016-10-28,78
2016-10-29,76
2016-10-30,90
2016-10-31,86
2016-11-01,86
2016-11-02,79
2016-11-03,75
2016-11-04,79
2016-11-05,88
2016-11-06,94
2016-11-07,81
2016-11-08,76
2016-11-09,72
2016-11-10,79
2016-11-11,87
2016-11-12,80
2016-11-13,94
2016-11-14,82
2016-11-15,84
2016-11-16,82
2016-11-17,80
2016-11-18,82
2016-11-19,81
2016-11-20,89
2016-11-21,84
2016-11-22,80
2016-11-23,77
2016-11-24,79
2016-11-25,77
2016-11-26,81
2016-11-27,84
2016-11-28,81
2016-11-29,81
2016-11-30,77
2016-12-01,75
2016-12-02,83
2016-12-03,83
2016-12-04,80
2016-12-05,74
2016-12-06,84
2016-12-07,86
2016-12-08,77
2016-12-09,75
2016-12-10,66
2016-12-11,69
2016-12-12,70
2016-12-13,77
2016-12-14,75
2016-12-15,71
2016-12-16,74
2016-12-17,72
2016-12-18,70
2016-12-19,72
2016-12-20,83
2016-12-21,76
2016-12-22,73
2016-12-23,68
2016-12-24,50
2016-12-25,70
2016-12-26,71
2016-12-27,95
2016-12-28,95
2016-12-29,90
2016-12-30,84
2016-12-31,63
2017-01-01,81
2017-01-02,79
2017-01-03,87
2017-01-04,88
2017-01-05,78
2017-01-06,74
2017-01-07,74
2017-01-08,74
2017-01-09,72
2017-01-10,82
2017-01-11,81
2017-01-12,74
2017-01-13,79
2017-01-14,77
2017-01-15,70
2017-01-16,74
2017-01-17,88
2017-01-18,87
2017-01-19,82
