date,FISV
2011-01-01,0
2011-01-02,28
2011-01-03,22
2011-01-04,21
2011-01-05,21
2011-01-06,43
2011-01-07,22
2011-01-08,0
2011-01-09,25
2011-01-10,21
2011-01-11,20
2011-01-12,0
2011-01-13,21
2011-01-14,84
2011-01-15,25
2011-01-16,0
2011-01-17,30
2011-01-18,20
2011-01-19,40
2011-01-20,20
2011-01-21,21
2011-01-22,38
2011-01-23,0
2011-01-24,20
2011-01-25,40
2011-01-26,27
2011-01-27,20
2011-01-28,21
2011-01-29,25
2011-01-30,47
2011-01-31,38
2011-02-01,38
2011-02-02,57
2011-02-03,59
2011-02-04,48
2011-02-05,0
2011-02-06,0
2011-02-07,38
2011-02-08,29
2011-02-09,30
2011-02-10,30
2011-02-11,21
2011-02-12,0
2011-02-13,24
2011-02-14,0
2011-02-15,32
2011-02-16,19
2011-02-17,20
2011-02-18,21
2011-02-19,24
2011-02-20,24
2011-02-21,0
2011-02-22,19
2011-02-23,0
2011-02-24,20
2011-02-25,21
2011-02-26,0
2011-02-27,24
2011-02-28,32
2011-03-01,19
2011-03-02,20
2011-03-03,40
2011-03-04,21
2011-03-05,37
2011-03-06,0
2011-03-07,20
2011-03-08,0
2011-03-09,20
2011-03-10,39
2011-03-11,20
2011-03-12,0
2011-03-13,0
2011-03-14,31
2011-03-15,20
2011-03-16,19
2011-03-17,20
2011-03-18,20
2011-03-19,24
2011-03-20,48
2011-03-21,0
2011-03-22,0
2011-03-23,49
2011-03-24,20
2011-03-25,0
2011-03-26,49
2011-03-27,24
2011-03-28,0
2011-03-29,19
2011-03-30,19
2011-03-31,19
2011-04-01,21
2011-04-02,25
2011-04-03,37
2011-04-04,19
2011-04-05,39
2011-04-06,0
2011-04-07,20
2011-04-08,42
2011-04-09,0
2011-04-10,0
2011-04-11,19
2011-04-12,48
2011-04-13,40
2011-04-14,30
2011-04-15,21
2011-04-16,25
2011-04-17,33
2011-04-18,30
2011-04-19,20
2011-04-20,41
2011-04-21,21
2011-04-22,24
2011-04-23,0
2011-04-24,27
2011-04-25,21
2011-04-26,19
2011-04-27,32
2011-04-28,49
2011-04-29,21
2011-04-30,0
2011-05-01,25
2011-05-02,38
2011-05-03,29
2011-05-04,29
2011-05-05,30
2011-05-06,21
2011-05-07,25
2011-05-08,0
2011-05-09,19
2011-05-10,19
2011-05-11,29
2011-05-12,20
2011-05-13,20
2011-05-14,0
2011-05-15,24
2011-05-16,19
2011-05-17,19
2011-05-18,19
2011-05-19,59
2011-05-20,31
2011-05-21,0
2011-05-22,0
2011-05-23,32
2011-05-24,32
2011-05-25,48
2011-05-26,19
2011-05-27,41
2011-05-28,25
2011-05-29,0
2011-05-30,20
2011-05-31,19
2011-06-01,39
2011-06-02,20
2011-06-03,31
2011-06-04,0
2011-06-05,25
2011-06-06,0
2011-06-07,28
2011-06-08,29
2011-06-09,29
2011-06-10,41
2011-06-11,0
2011-06-12,25
2011-06-13,19
2011-06-14,38
2011-06-15,0
2011-06-16,19
2011-06-17,30
2011-06-18,0
2011-06-19,0
2011-06-20,19
2011-06-21,29
2011-06-22,19
2011-06-23,60
2011-06-24,21
2011-06-25,25
2011-06-26,0
2011-06-27,19
2011-06-28,25
2011-06-29,19
2011-06-30,20
2011-07-01,42
2011-07-02,0
2011-07-03,25
2011-07-04,20
2011-07-05,20
2011-07-06,29
2011-07-07,0
2011-07-08,21
2011-07-09,0
2011-07-10,0
2011-07-11,19
2011-07-12,19
2011-07-13,19
2011-07-14,20
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,19
2011-07-19,38
2011-07-20,0
2011-07-21,20
2011-07-22,21
2011-07-23,0
2011-07-24,0
2011-07-25,26
2011-07-26,51
2011-07-27,19
2011-07-28,20
2011-07-29,41
2011-07-30,0
2011-07-31,0
2011-08-01,20
2011-08-02,0
2011-08-03,29
2011-08-04,39
2011-08-05,100
2011-08-06,24
2011-08-07,24
2011-08-08,47
2011-08-09,38
2011-08-10,38
2011-08-11,0
2011-08-12,30
2011-08-13,49
2011-08-14,0
2011-08-15,20
2011-08-16,19
2011-08-17,19
2011-08-18,19
2011-08-19,20
2011-08-20,24
2011-08-21,0
2011-08-22,18
2011-08-23,28
2011-08-24,18
2011-08-25,19
2011-08-26,19
2011-08-27,0
2011-08-28,0
2011-08-29,55
2011-08-30,18
2011-08-31,18
2011-09-01,19
2011-09-02,39
2011-09-03,23
2011-09-04,0
2011-09-05,18
2011-09-06,18
2011-09-07,18
2011-09-08,18
2011-09-09,37
2011-09-10,22
2011-09-11,22
2011-09-12,18
2011-09-13,26
2011-09-14,18
2011-09-15,18
2011-09-16,28
2011-09-17,0
2011-09-18,0
