date,FISV,isPartial
2014-03-16,19,False
2014-03-17,32,False
2014-03-18,24,False
2014-03-19,16,False
2014-03-20,32,False
2014-03-21,17,False
2014-03-22,38,False
2014-03-23,18,False
2014-03-24,16,False
2014-03-25,23,False
2014-03-26,0,False
2014-03-27,32,False
2014-03-28,17,False
2014-03-29,0,False
2014-03-30,0,False
2014-03-31,16,False
2014-04-01,16,False
2014-04-02,32,False
2014-04-03,16,False
2014-04-04,17,False
2014-04-05,19,False
2014-04-06,19,False
2014-04-07,16,False
2014-04-08,16,False
2014-04-09,32,False
2014-04-10,25,False
2014-04-11,17,False
2014-04-12,19,False
2014-04-13,19,False
2014-04-14,32,False
2014-04-15,32,False
2014-04-16,25,False
2014-04-17,0,False
2014-04-18,19,False
2014-04-19,0,False
2014-04-20,0,False
2014-04-21,17,False
2014-04-22,48,False
2014-04-23,16,False
2014-04-24,16,False
2014-04-25,0,False
2014-04-26,19,False
2014-04-27,0,False
2014-04-28,16,False
2014-04-29,24,False
2014-04-30,41,False
2014-05-01,70,False
2014-05-02,0,False
2014-05-03,19,False
2014-05-04,19,False
2014-05-05,24,False
2014-05-06,48,False
2014-05-07,63,False
2014-05-08,49,False
2014-05-09,17,False
2014-05-10,0,False
2014-05-11,19,False
2014-05-12,31,False
2014-05-13,16,False
2014-05-14,24,False
2014-05-15,16,False
2014-05-16,17,False
2014-05-17,0,False
2014-05-18,38,False
2014-05-19,32,False
2014-05-20,16,False
2014-05-21,17,False
2014-05-22,18,False
2014-05-23,18,False
2014-05-24,22,False
2014-05-25,0,False
2014-05-26,0,False
2014-05-27,51,False
2014-05-28,35,False
2014-05-29,18,False
2014-05-30,28,False
2014-05-31,22,False
2014-06-01,0,False
2014-06-02,18,False
2014-06-03,26,False
2014-06-04,35,False
2014-06-05,18,False
2014-06-06,0,False
2014-06-07,0,False
2014-06-08,22,False
2014-06-09,36,False
2014-06-10,27,False
2014-06-11,18,False
2014-06-12,36,False
2014-06-13,37,False
2014-06-14,0,False
2014-06-15,0,False
2014-06-16,26,False
2014-06-17,0,False
2014-06-18,36,False
2014-06-19,36,False
2014-06-20,47,False
2014-06-21,22,False
2014-06-22,22,False
2014-06-23,27,False
2014-06-24,35,False
2014-06-25,35,False
2014-06-26,27,False
2014-06-27,19,False
2014-06-28,22,False
2014-06-29,22,False
2014-06-30,18,False
2014-07-01,18,False
2014-07-02,18,False
2014-07-03,19,False
2014-07-04,0,False
2014-07-05,0,False
2014-07-06,44,False
2014-07-07,36,False
2014-07-08,35,False
2014-07-09,18,False
2014-07-10,36,False
2014-07-11,38,False
2014-07-12,32,False
2014-07-13,21,False
2014-07-14,53,False
2014-07-15,18,False
2014-07-16,19,False
2014-07-17,0,False
2014-07-18,19,False
2014-07-19,0,False
2014-07-20,0,False
2014-07-21,27,False
2014-07-22,18,False
2014-07-23,46,False
2014-07-24,73,False
2014-07-25,38,False
2014-07-26,22,False
2014-07-27,0,False
2014-07-28,18,False
2014-07-29,27,False
2014-07-30,36,False
2014-07-31,37,False
2014-08-01,28,False
2014-08-02,22,False
2014-08-03,0,False
2014-08-04,27,False
2014-08-05,27,False
2014-08-06,18,False
2014-08-07,26,False
2014-08-08,19,False
2014-08-09,0,False
2014-08-10,0,False
2014-08-11,18,False
2014-08-12,18,False
2014-08-13,35,False
2014-08-14,0,False
2014-08-15,29,False
2014-08-16,0,False
2014-08-17,0,False
2014-08-18,35,False
2014-08-19,0,False
2014-08-20,0,False
2014-08-21,18,False
2014-08-22,55,False
2014-08-23,21,False
2014-08-24,0,False
2014-08-25,35,False
2014-08-26,52,False
2014-08-27,17,False
2014-08-28,18,False
2014-08-29,18,False
2014-08-30,21,False
2014-08-31,21,False
2014-09-01,17,False
2014-09-02,34,False
2014-09-03,59,False
2014-09-04,34,False
2014-09-05,18,False
2014-09-06,0,False
2014-09-07,30,False
2014-09-08,0,False
2014-09-09,33,False
2014-09-10,17,False
2014-09-11,25,False
2014-09-12,35,False
2014-09-13,0,False
2014-09-14,0,False
2014-09-15,42,False
2014-09-16,33,False
2014-09-17,17,False
2014-09-18,34,False
2014-09-19,18,False
2014-09-20,0,False
2014-09-21,0,False
2014-09-22,33,False
2014-09-23,17,False
2014-09-24,17,False
2014-09-25,51,False
2014-09-26,36,False
2014-09-27,0,False
2014-09-28,20,False
2014-09-29,17,False
2014-09-30,33,False
2014-10-01,100,False
2014-10-02,17,False
2014-10-03,27,False
2014-10-04,0,False
2014-10-05,20,False
2014-10-06,0,False
2014-10-07,0,False
2014-10-08,50,False
2014-10-09,25,False
2014-10-10,0,False
2014-10-11,20,False
2014-10-12,0,False
2014-10-13,33,False
2014-10-14,25,False
2014-10-15,0,False
2014-10-16,33,False
2014-10-17,17,False
2014-10-18,0,False
2014-10-19,20,False
2014-10-20,33,False
2014-10-21,25,False
2014-10-22,16,False
2014-10-23,34,False
2014-10-24,17,False
2014-10-25,20,False
2014-10-26,19,False
2014-10-27,16,False
2014-10-28,16,False
2014-10-29,33,False
2014-10-30,0,False
2014-10-31,35,False
2014-11-01,20,False
2014-11-02,19,False
2014-11-03,0,False
2014-11-04,16,False
2014-11-05,16,False
2014-11-06,16,False
2014-11-07,17,False
2014-11-08,0,False
2014-11-09,38,False
2014-11-10,24,False
2014-11-11,24,False
2014-11-12,16,False
2014-11-13,16,False
2014-11-14,34,False
2014-11-15,19,False
2014-11-16,56,False
2014-11-17,24,False
2014-11-18,26,False
2014-11-19,0,False
2014-11-20,25,False
2014-11-21,17,False
2014-11-22,19,False
2014-11-23,0,False
