date,FISV,isPartial
2012-01-26,0,False
2012-01-27,11,False
2012-01-28,0,False
2012-01-29,0,False
2012-01-30,11,False
2012-01-31,0,False
2012-02-01,0,False
2012-02-02,11,False
2012-02-03,23,False
2012-02-04,0,False
2012-02-05,0,False
2012-02-06,0,False
2012-02-07,0,False
2012-02-08,0,False
2012-02-09,22,False
2012-02-10,11,False
2012-02-11,0,False
2012-02-12,13,False
2012-02-13,11,False
2012-02-14,0,False
2012-02-15,0,False
2012-02-16,0,False
2012-02-17,0,False
2012-02-18,0,False
2012-02-19,0,False
2012-02-20,22,False
2012-02-21,22,False
2012-02-22,0,False
2012-02-23,0,False
2012-02-24,11,False
2012-02-25,13,False
2012-02-26,13,False
2012-02-27,11,False
2012-02-28,11,False
2012-02-29,0,False
2012-03-01,0,False
2012-03-02,23,False
2012-03-03,0,False
2012-03-04,0,False
2012-03-05,11,False
2012-03-06,11,False
2012-03-07,0,False
2012-03-08,0,False
2012-03-09,0,False
2012-03-10,0,False
2012-03-11,0,False
2012-03-12,0,False
2012-03-13,11,False
2012-03-14,21,False
2012-03-15,11,False
2012-03-16,0,False
2012-03-17,0,False
2012-03-18,0,False
2012-03-19,0,False
2012-03-20,0,False
2012-03-21,0,False
2012-03-22,11,False
2012-03-23,0,False
2012-03-24,0,False
2012-03-25,0,False
2012-03-26,22,False
2012-03-27,0,False
2012-03-28,0,False
2012-03-29,0,False
2012-03-30,0,False
2012-03-31,13,False
2012-04-01,0,False
2012-04-02,0,False
2012-04-03,11,False
2012-04-04,11,False
2012-04-05,0,False
2012-04-06,13,False
2012-04-07,0,False
2012-04-08,14,False
2012-04-09,0,False
2012-04-10,22,False
2012-04-11,0,False
2012-04-12,11,False
2012-04-13,0,False
2012-04-14,0,False
2012-04-15,0,False
2012-04-16,0,False
2012-04-17,21,False
2012-04-18,11,False
2012-04-19,0,False
2012-04-20,11,False
2012-04-21,0,False
2012-04-22,13,False
2012-04-23,0,False
2012-04-24,0,False
2012-04-25,11,False
2012-04-26,22,False
2012-04-27,0,False
2012-04-28,13,False
2012-04-29,0,False
2012-04-30,11,False
2012-05-01,24,False
2012-05-02,0,False
2012-05-03,11,False
2012-05-04,0,False
2012-05-05,0,False
2012-05-06,13,False
2012-05-07,0,False
2012-05-08,10,False
2012-05-09,10,False
2012-05-10,0,False
2012-05-11,11,False
2012-05-12,0,False
2012-05-13,0,False
2012-05-14,0,False
2012-05-15,0,False
2012-05-16,0,False
2012-05-17,0,False
2012-05-18,11,False
2012-05-19,0,False
2012-05-20,0,False
2012-05-21,11,False
2012-05-22,11,False
2012-05-23,21,False
2012-05-24,0,False
2012-05-25,23,False
2012-05-26,0,False
2012-05-27,0,False
2012-05-28,11,False
2012-05-29,31,False
2012-05-30,10,False
2012-05-31,0,False
2012-06-01,0,False
2012-06-02,0,False
2012-06-03,0,False
2012-06-04,10,False
2012-06-05,10,False
2012-06-06,0,False
2012-06-07,11,False
2012-06-08,11,False
2012-06-09,0,False
2012-06-10,0,False
2012-06-11,21,False
2012-06-12,41,False
2012-06-13,0,False
2012-06-14,11,False
2012-06-15,0,False
2012-06-16,0,False
2012-06-17,26,False
2012-06-18,10,False
2012-06-19,21,False
2012-06-20,11,False
2012-06-21,0,False
2012-06-22,0,False
2012-06-23,0,False
2012-06-24,13,False
2012-06-25,31,False
2012-06-26,21,False
2012-06-27,11,False
2012-06-28,0,False
2012-06-29,23,False
2012-06-30,13,False
2012-07-01,26,False
2012-07-02,0,False
2012-07-03,21,False
2012-07-04,11,False
2012-07-05,11,False
2012-07-06,23,False
2012-07-07,13,False
2012-07-08,0,False
2012-07-09,10,False
2012-07-10,31,False
2012-07-11,11,False
2012-07-12,0,False
2012-07-13,11,False
2012-07-14,0,False
2012-07-15,13,False
2012-07-16,0,False
2012-07-17,0,False
2012-07-18,0,False
2012-07-19,0,False
2012-07-20,11,False
2012-07-21,0,False
2012-07-22,14,False
2012-07-23,0,False
2012-07-24,43,False
2012-07-25,54,False
2012-07-26,11,False
2012-07-27,11,False
2012-07-28,0,False
2012-07-29,0,False
2012-07-30,11,False
2012-07-31,0,False
2012-08-01,0,False
2012-08-02,11,False
2012-08-03,11,False
2012-08-04,40,False
2012-08-05,13,False
2012-08-06,11,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,11,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,11,False
2012-08-16,22,False
2012-08-17,23,False
2012-08-18,13,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,0,False
2012-08-24,11,False
2012-08-25,0,False
2012-08-26,13,False
2012-08-27,10,False
2012-08-28,21,False
2012-08-29,0,False
