date,FISV,isPartial
2013-06-29,26,False
2013-06-30,25,False
2013-07-01,21,False
2013-07-02,0,False
2013-07-03,0,False
2013-07-04,22,False
2013-07-05,69,False
2013-07-06,0,False
2013-07-07,52,False
2013-07-08,43,False
2013-07-09,43,False
2013-07-10,0,False
2013-07-11,21,False
2013-07-12,34,False
2013-07-13,0,False
2013-07-14,26,False
2013-07-15,0,False
2013-07-16,42,False
2013-07-17,22,False
2013-07-18,43,False
2013-07-19,0,False
2013-07-20,26,False
2013-07-21,26,False
2013-07-22,21,False
2013-07-23,31,False
2013-07-24,32,False
2013-07-25,43,False
2013-07-26,0,False
2013-07-27,0,False
2013-07-28,0,False
2013-07-29,0,False
2013-07-30,31,False
2013-07-31,53,False
2013-08-01,43,False
2013-08-02,22,False
2013-08-03,0,False
2013-08-04,26,False
2013-08-05,43,False
2013-08-06,64,False
2013-08-07,22,False
2013-08-08,33,False
2013-08-09,23,False
2013-08-10,79,False
2013-08-11,0,False
2013-08-12,42,False
2013-08-13,32,False
2013-08-14,21,False
2013-08-15,34,False
2013-08-16,34,False
2013-08-17,26,False
2013-08-18,0,False
2013-08-19,21,False
2013-08-20,41,False
2013-08-21,31,False
2013-08-22,42,False
2013-08-23,0,False
2013-08-24,0,False
2013-08-25,0,False
2013-08-26,20,False
2013-08-27,0,False
2013-08-28,0,False
2013-08-29,20,False
2013-08-30,43,False
2013-08-31,25,False
2013-09-01,24,False
2013-09-02,0,False
2013-09-03,20,False
2013-09-04,51,False
2013-09-05,21,False
2013-09-06,64,False
2013-09-07,0,False
2013-09-08,36,False
2013-09-09,20,False
2013-09-10,19,False
2013-09-11,40,False
2013-09-12,30,False
2013-09-13,21,False
2013-09-14,24,False
2013-09-15,0,False
2013-09-16,20,False
2013-09-17,30,False
2013-09-18,20,False
2013-09-19,40,False
2013-09-20,21,False
2013-09-21,24,False
2013-09-22,0,False
2013-09-23,20,False
2013-09-24,30,False
2013-09-25,20,False
2013-09-26,0,False
