date,ILMN,isPartial
2018-02-13,54,False
2018-02-14,85,False
2018-02-15,47,False
2018-02-16,57,False
2018-02-17,36,False
2018-02-18,9,False
2018-02-19,8,False
2018-02-20,15,False
2018-02-21,84,False
2018-02-22,23,False
2018-02-23,32,False
2018-02-24,17,False
2018-02-25,9,False
2018-02-26,45,False
2018-02-27,38,False
2018-02-28,15,False
2018-03-01,15,False
2018-03-02,63,False
2018-03-03,0,False
2018-03-04,0,False
2018-03-05,15,False
2018-03-06,23,False
2018-03-07,54,False
2018-03-08,62,False
2018-03-09,48,False
2018-03-10,26,False
2018-03-11,9,False
2018-03-12,30,False
2018-03-13,15,False
2018-03-14,45,False
2018-03-15,15,False
2018-03-16,31,False
2018-03-17,44,False
2018-03-18,9,False
2018-03-19,38,False
2018-03-20,92,False
2018-03-21,8,False
2018-03-22,15,False
2018-03-23,16,False
2018-03-24,0,False
2018-03-25,9,False
2018-03-26,61,False
2018-03-27,47,False
2018-03-28,39,False
2018-03-29,16,False
2018-03-30,17,False
2018-03-31,18,False
2018-04-01,0,False
2018-04-02,32,False
2018-04-03,0,False
2018-04-04,46,False
2018-04-05,24,False
2018-04-06,24,False
2018-04-07,0,False
2018-04-08,18,False
2018-04-09,15,False
2018-04-10,23,False
2018-04-11,23,False
2018-04-12,39,False
2018-04-13,40,False
2018-04-14,36,False
2018-04-15,0,False
2018-04-16,30,False
2018-04-17,23,False
2018-04-18,46,False
2018-04-19,39,False
2018-04-20,40,False
2018-04-21,9,False
2018-04-22,0,False
2018-04-23,23,False
2018-04-24,76,False
2018-04-25,100,False
2018-04-26,39,False
2018-04-27,66,False
2018-04-28,0,False
2018-04-29,9,False
2018-04-30,24,False
2018-05-01,24,False
2018-05-02,31,False
2018-05-03,15,False
2018-05-04,16,False
2018-05-05,0,False
2018-05-06,0,False
2018-05-07,100,False
2018-05-08,77,False
2018-05-09,46,False
2018-05-10,16,False
2018-05-11,40,False
2018-05-12,9,False
2018-05-13,9,False
2018-05-14,8,False
2018-05-15,68,False
2018-05-16,8,False
2018-05-17,16,False
2018-05-18,41,False
2018-05-19,0,False
2018-05-20,9,False
2018-05-21,31,False
2018-05-22,23,False
2018-05-23,15,False
2018-05-24,39,False
2018-05-25,16,False
2018-05-26,0,False
2018-05-27,0,False
2018-05-28,16,False
2018-05-29,23,False
2018-05-30,62,False
2018-05-31,48,False
2018-06-01,24,False
