date,ILMN,isPartial
2013-06-29,0,False
2013-06-30,0,False
2013-07-01,29,False
2013-07-02,21,False
2013-07-03,7,False
2013-07-04,15,False
2013-07-05,24,False
2013-07-06,0,False
2013-07-07,0,False
2013-07-08,0,False
2013-07-09,15,False
2013-07-10,15,False
2013-07-11,0,False
2013-07-12,15,False
2013-07-13,9,False
2013-07-14,0,False
2013-07-15,29,False
2013-07-16,22,False
2013-07-17,7,False
2013-07-18,15,False
2013-07-19,8,False
2013-07-20,0,False
2013-07-21,0,False
2013-07-22,22,False
2013-07-23,22,False
2013-07-24,37,False
2013-07-25,37,False
2013-07-26,15,False
2013-07-27,0,False
2013-07-28,9,False
2013-07-29,0,False
2013-07-30,28,False
2013-07-31,43,False
2013-08-01,7,False
2013-08-02,38,False
2013-08-03,18,False
2013-08-04,0,False
2013-08-05,22,False
2013-08-06,7,False
2013-08-07,7,False
2013-08-08,0,False
2013-08-09,8,False
2013-08-10,9,False
2013-08-11,18,False
2013-08-12,14,False
2013-08-13,7,False
2013-08-14,7,False
2013-08-15,15,False
2013-08-16,15,False
2013-08-17,9,False
2013-08-18,0,False
2013-08-19,0,False
2013-08-20,29,False
2013-08-21,7,False
2013-08-22,36,False
2013-08-23,7,False
2013-08-24,9,False
2013-08-25,0,False
2013-08-26,0,False
2013-08-27,21,False
2013-08-28,21,False
2013-08-29,14,False
2013-08-30,7,False
2013-08-31,0,False
2013-09-01,17,False
2013-09-02,0,False
2013-09-03,7,False
2013-09-04,14,False
2013-09-05,21,False
2013-09-06,15,False
2013-09-07,0,False
2013-09-08,0,False
2013-09-09,28,False
2013-09-10,7,False
2013-09-11,13,False
2013-09-12,35,False
2013-09-13,0,False
2013-09-14,0,False
2013-09-15,0,False
2013-09-16,14,False
2013-09-17,13,False
2013-09-18,14,False
2013-09-19,14,False
2013-09-20,0,False
2013-09-21,0,False
2013-09-22,0,False
2013-09-23,28,False
2013-09-24,20,False
2013-09-25,7,False
2013-09-26,0,False
2013-09-27,22,False
2013-09-28,0,False
2013-09-29,0,False
2013-09-30,7,False
2013-10-01,0,False
2013-10-02,14,False
2013-10-03,14,False
2013-10-04,21,False
2013-10-05,0,False
2013-10-06,0,False
2013-10-07,27,False
2013-10-08,7,False
2013-10-09,7,False
2013-10-10,14,False
2013-10-11,14,False
2013-10-12,8,False
2013-10-13,0,False
2013-10-14,0,False
2013-10-15,7,False
2013-10-16,34,False
2013-10-17,21,False
2013-10-18,35,False
2013-10-19,0,False
2013-10-20,8,False
2013-10-21,33,False
2013-10-22,33,False
2013-10-23,7,False
2013-10-24,34,False
2013-10-25,21,False
2013-10-26,8,False
2013-10-27,0,False
2013-10-28,26,False
2013-10-29,26,False
2013-10-30,20,False
2013-10-31,14,False
2013-11-01,37,False
2013-11-02,0,False
2013-11-03,8,False
2013-11-04,27,False
2013-11-05,26,False
2013-11-06,7,False
2013-11-07,13,False
2013-11-08,7,False
2013-11-09,8,False
2013-11-10,16,False
2013-11-11,33,False
2013-11-12,13,False
2013-11-13,7,False
2013-11-14,20,False
2013-11-15,28,False
2013-11-16,8,False
2013-11-17,8,False
2013-11-18,13,False
2013-11-19,7,False
2013-11-20,26,False
2013-11-21,13,False
2013-11-22,14,False
2013-11-23,16,False
2013-11-24,8,False
2013-11-25,19,False
2013-11-26,13,False
2013-11-27,33,False
2013-11-28,0,False
2013-11-29,14,False
2013-11-30,16,False
2013-12-01,22,False
2013-12-02,13,False
2013-12-03,13,False
2013-12-04,13,False
2013-12-05,7,False
2013-12-06,27,False
2013-12-07,0,False
2013-12-08,0,False
2013-12-09,13,False
2013-12-10,0,False
2013-12-11,13,False
2013-12-12,7,False
2013-12-13,21,False
2013-12-14,8,False
2013-12-15,0,False
2013-12-16,20,False
2013-12-17,41,False
2013-12-18,14,False
2013-12-19,7,False
2013-12-20,15,False
2013-12-21,0,False
2013-12-22,0,False
2013-12-23,15,False
2013-12-24,0,False
2013-12-25,0,False
2013-12-26,8,False
2013-12-27,7,False
2013-12-28,24,False
2013-12-29,8,False
2013-12-30,7,False
2013-12-31,24,False
2014-01-01,0,False
2014-01-02,14,False
2014-01-03,14,False
2014-01-04,23,False
2014-01-05,15,False
2014-01-06,7,False
2014-01-07,32,False
2014-01-08,6,False
2014-01-09,33,False
2014-01-10,27,False
2014-01-11,0,False
2014-01-12,7,False
2014-01-13,32,False
2014-01-14,44,False
2014-01-15,64,False
2014-01-16,26,False
2014-01-17,100,False
2014-01-18,23,False
2014-01-19,45,False
2014-01-20,19,False
2014-01-21,19,False
2014-01-22,82,False
2014-01-23,25,False
2014-01-24,79,False
2014-01-25,15,False
2014-01-26,7,False
2014-01-27,25,False
2014-01-28,69,False
2014-01-29,82,False
2014-01-30,52,False
2014-01-31,60,False
2014-02-01,15,False
2014-02-02,7,False
2014-02-03,44,False
2014-02-04,31,False
2014-02-05,44,False
2014-02-06,9,False
2014-02-07,43,False
2014-02-08,15,False
2014-02-09,7,False
2014-02-10,37,False
2014-02-11,68,False
2014-02-12,37,False
2014-02-13,63,False
2014-02-14,33,False
2014-02-15,37,False
2014-02-16,7,False
2014-02-17,13,False
2014-02-18,68,False
2014-02-19,56,False
2014-02-20,45,False
2014-02-21,26,False
2014-02-22,7,False
2014-02-23,37,False
2014-02-24,50,False
2014-02-25,50,False
2014-02-26,56,False
2014-02-27,44,False
2014-02-28,46,False
2014-03-01,22,False
2014-03-02,0,False
2014-03-03,44,False
2014-03-04,77,False
2014-03-05,38,False
2014-03-06,25,False
2014-03-07,46,False
2014-03-08,22,False
2014-03-09,0,False
2014-03-10,57,False
2014-03-11,43,False
2014-03-12,38,False
2014-03-13,70,False
2014-03-14,73,False
2014-03-15,7,False
2014-03-16,0,False
