date,ILMN
2011-01-01,19
2011-01-02,33
2011-01-03,26
2011-01-04,13
2011-01-05,38
2011-01-06,13
2011-01-07,39
2011-01-08,31
2011-01-09,15
2011-01-10,12
2011-01-11,36
2011-01-12,24
2011-01-13,21
2011-01-14,25
2011-01-15,0
2011-01-16,0
2011-01-17,24
2011-01-18,24
2011-01-19,18
2011-01-20,37
2011-01-21,12
2011-01-22,15
2011-01-23,15
2011-01-24,28
2011-01-25,12
2011-01-26,12
2011-01-27,16
2011-01-28,13
2011-01-29,0
2011-01-30,14
2011-01-31,19
2011-02-01,23
2011-02-02,19
2011-02-03,16
2011-02-04,18
2011-02-05,14
2011-02-06,28
2011-02-07,34
2011-02-08,35
2011-02-09,36
2011-02-10,24
2011-02-11,13
2011-02-12,15
2011-02-13,14
2011-02-14,24
2011-02-15,46
2011-02-16,27
2011-02-17,32
2011-02-18,31
2011-02-19,15
2011-02-20,28
2011-02-21,17
2011-02-22,27
2011-02-23,19
2011-02-24,16
2011-02-25,16
2011-02-26,29
2011-02-27,14
2011-02-28,11
2011-03-01,11
2011-03-02,35
2011-03-03,12
2011-03-04,25
2011-03-05,20
2011-03-06,0
2011-03-07,24
2011-03-08,0
2011-03-09,31
2011-03-10,23
2011-03-11,16
2011-03-12,0
2011-03-13,0
2011-03-14,20
2011-03-15,12
2011-03-16,11
2011-03-17,18
2011-03-18,29
2011-03-19,0
2011-03-20,14
2011-03-21,23
2011-03-22,12
2011-03-23,23
2011-03-24,20
2011-03-25,12
2011-03-26,15
2011-03-27,14
2011-03-28,11
2011-03-29,23
2011-03-30,23
2011-03-31,23
2011-04-01,25
2011-04-02,30
2011-04-03,0
2011-04-04,23
2011-04-05,11
2011-04-06,12
2011-04-07,18
2011-04-08,19
2011-04-09,0
2011-04-10,0
2011-04-11,11
2011-04-12,12
2011-04-13,16
2011-04-14,12
2011-04-15,21
2011-04-16,22
2011-04-17,23
2011-04-18,18
2011-04-19,18
2011-04-20,24
2011-04-21,13
2011-04-22,14
2011-04-23,16
2011-04-24,0
2011-04-25,13
2011-04-26,31
2011-04-27,50
2011-04-28,35
2011-04-29,12
2011-04-30,30
2011-05-01,15
2011-05-02,29
2011-05-03,19
2011-05-04,17
2011-05-05,24
2011-05-06,19
2011-05-07,15
2011-05-08,22
2011-05-09,11
2011-05-10,38
2011-05-11,27
2011-05-12,23
2011-05-13,24
2011-05-14,34
2011-05-15,28
2011-05-16,17
2011-05-17,11
2011-05-18,17
2011-05-19,23
2011-05-20,37
2011-05-21,15
2011-05-22,14
2011-05-23,23
2011-05-24,15
2011-05-25,46
2011-05-26,19
2011-05-27,12
2011-05-28,15
2011-05-29,0
2011-05-30,12
2011-05-31,19
2011-06-01,35
2011-06-02,24
2011-06-03,12
2011-06-04,0
2011-06-05,0
2011-06-06,23
2011-06-07,34
2011-06-08,23
2011-06-09,12
2011-06-10,16
2011-06-11,15
2011-06-12,15
2011-06-13,17
2011-06-14,22
2011-06-15,30
2011-06-16,27
2011-06-17,12
2011-06-18,0
2011-06-19,36
2011-06-20,11
2011-06-21,17
2011-06-22,23
2011-06-23,12
2011-06-24,25
2011-06-25,15
2011-06-26,15
2011-06-27,27
2011-06-28,15
2011-06-29,40
2011-06-30,16
2011-07-01,12
2011-07-02,22
2011-07-03,0
2011-07-04,16
2011-07-05,35
2011-07-06,29
2011-07-07,47
2011-07-08,18
2011-07-09,15
2011-07-10,0
2011-07-11,11
2011-07-12,17
2011-07-13,19
2011-07-14,24
2011-07-15,12
2011-07-16,0
2011-07-17,0
2011-07-18,12
2011-07-19,19
2011-07-20,16
2011-07-21,0
2011-07-22,12
2011-07-23,15
2011-07-24,0
2011-07-25,29
2011-07-26,12
2011-07-27,100
2011-07-28,51
2011-07-29,33
2011-07-30,0
2011-07-31,15
2011-08-01,35
2011-08-02,31
2011-08-03,50
2011-08-04,35
2011-08-05,20
2011-08-06,29
2011-08-07,14
2011-08-08,39
2011-08-09,34
2011-08-10,38
2011-08-11,23
2011-08-12,45
2011-08-13,0
2011-08-14,15
2011-08-15,24
2011-08-16,19
2011-08-17,19
2011-08-18,23
2011-08-19,39
2011-08-20,14
2011-08-21,0
2011-08-22,11
2011-08-23,33
2011-08-24,11
2011-08-25,19
2011-08-26,17
2011-08-27,0
2011-08-28,0
2011-08-29,17
2011-08-30,22
2011-08-31,15
2011-09-01,17
2011-09-02,12
2011-09-03,20
2011-09-04,13
2011-09-05,22
2011-09-06,21
2011-09-07,0
2011-09-08,22
2011-09-09,28
2011-09-10,0
2011-09-11,0
2011-09-12,11
2011-09-13,35
2011-09-14,11
2011-09-15,14
2011-09-16,19
2011-09-17,0
2011-09-18,13
