date,TSLA
2016-08-02,36
2016-08-03,61
2016-08-04,61
2016-08-05,30
2016-08-06,11
2016-08-07,7
2016-08-08,23
2016-08-09,22
2016-08-10,25
2016-08-11,18
2016-08-12,21
2016-08-13,7
2016-08-14,7
2016-08-15,23
2016-08-16,21
2016-08-17,21
2016-08-18,19
2016-08-19,19
2016-08-20,6
2016-08-21,6
2016-08-22,17
2016-08-23,37
2016-08-24,32
2016-08-25,23
2016-08-26,19
2016-08-27,9
2016-08-28,5
2016-08-29,18
2016-08-30,23
2016-08-31,23
2016-09-01,49
2016-09-02,49
2016-09-03,14
2016-09-04,9
2016-09-05,10
2016-09-06,31
2016-09-07,32
2016-09-08,29
2016-09-09,30
2016-09-10,11
2016-09-11,6
2016-09-12,34
2016-09-13,30
2016-09-14,26
2016-09-15,29
2016-09-16,29
2016-09-17,10
2016-09-18,9
2016-09-19,24
2016-09-20,26
2016-09-21,23
2016-09-22,25
2016-09-23,23
2016-09-24,7
2016-09-25,5
2016-09-26,19
2016-09-27,21
2016-09-28,20
2016-09-29,20
2016-09-30,19
2016-10-01,7
2016-10-02,8
2016-10-03,42
2016-10-04,29
2016-10-05,23
2016-10-06,27
2016-10-07,26
2016-10-08,9
2016-10-09,8
2016-10-10,28
2016-10-11,26
2016-10-12,20
2016-10-13,24
2016-10-14,21
2016-10-15,8
2016-10-16,7
2016-10-17,30
2016-10-18,30
2016-10-19,39
2016-10-20,50
2016-10-21,28
2016-10-22,8
2016-10-23,5
2016-10-24,25
2016-10-25,24
2016-10-26,68
2016-10-27,83
2016-10-28,37
2016-10-29,23
2016-10-30,11
2016-10-31,32
2016-11-01,37
2016-11-02,35
2016-11-03,28
2016-11-04,29
2016-11-05,12
2016-11-06,8
2016-11-07,27
2016-11-08,27
2016-11-09,51
2016-11-10,37
2016-11-11,30
2016-11-12,11
2016-11-13,8
2016-11-14,31
2016-11-15,29
2016-11-16,27
2016-11-17,40
2016-11-18,39
2016-11-19,13
2016-11-20,12
2016-11-21,33
2016-11-22,33
2016-11-23,28
2016-11-24,13
2016-11-25,17
2016-11-26,8
2016-11-27,6
2016-11-28,24
2016-11-29,25
2016-11-30,26
2016-12-01,25
2016-12-02,27
2016-12-03,8
2016-12-04,6
2016-12-05,25
2016-12-06,23
2016-12-07,27
2016-12-08,26
2016-12-09,26
2016-12-10,7
2016-12-11,6
2016-12-12,21
2016-12-13,29
2016-12-14,33
2016-12-15,27
2016-12-16,22
2016-12-17,9
2016-12-18,6
2016-12-19,21
2016-12-20,24
2016-12-21,24
2016-12-22,20
2016-12-23,21
2016-12-24,10
2016-12-25,7
2016-12-26,8
2016-12-27,26
2016-12-28,28
2016-12-29,23
2016-12-30,23
2016-12-31,9
2017-01-01,6
2017-01-02,11
2017-01-03,33
2017-01-04,53
2017-01-05,38
2017-01-06,31
2017-01-07,10
2017-01-08,6
2017-01-09,26
2017-01-10,27
2017-01-11,29
2017-01-12,26
2017-01-13,30
2017-01-14,12
2017-01-15,7
2017-01-16,15
2017-01-17,28
2017-01-18,27
2017-01-19,42
2017-01-20,34
2017-01-21,11
2017-01-22,7
2017-01-23,30
2017-01-24,33
2017-01-25,38
2017-01-26,35
2017-01-27,33
2017-01-28,11
2017-01-29,7
2017-01-30,29
2017-01-31,31
2017-02-01,29
2017-02-02,28
2017-02-03,26
2017-02-04,9
2017-02-05,7
2017-02-06,26
2017-02-07,29
2017-02-08,29
2017-02-09,47
2017-02-10,37
2017-02-11,12
2017-02-12,10
2017-02-13,44
2017-02-14,50
2017-02-15,44
2017-02-16,40
2017-02-17,42
2017-02-18,13
2017-02-19,9
2017-02-20,20
2017-02-21,40
2017-02-22,83
2017-02-23,100
2017-02-24,58
2017-02-25,15
2017-02-26,11
2017-02-27,59
2017-02-28,51
2017-03-01,43
2017-03-02,35
2017-03-03,35
2017-03-04,11
2017-03-05,8
2017-03-06,25
2017-03-07,27
2017-03-08,29
2017-03-09,27
2017-03-10,25
2017-03-11,8
2017-03-12,5
2017-03-13,25
2017-03-14,32
2017-03-15,38
2017-03-16,43
2017-03-17,34
2017-03-18,9
2017-03-19,7
2017-03-20,28
2017-03-21,30
2017-03-22,27
2017-03-23,24
2017-03-24,25
2017-03-25,9
2017-03-26,6
2017-03-27,28
2017-03-28,49
2017-03-29,36
2017-03-30,33
2017-03-31,29
2017-04-01,10
2017-04-02,10
2017-04-03,80
2017-04-04,83
2017-04-05,60
2017-04-06,48
2017-04-07,40
2017-04-08,12
2017-04-09,9
2017-04-10,67
2017-04-11,62
2017-04-12,49
2017-04-13,54
2017-04-14,36
2017-04-15,13
2017-04-16,8
2017-04-17,38
2017-04-18,35
