date,TSLA
2012-10-12,4
2012-10-13,1
2012-10-14,1
2012-10-15,5
2012-10-16,4
2012-10-17,4
2012-10-18,5
2012-10-19,4
2012-10-20,0
2012-10-21,1
2012-10-22,3
2012-10-23,5
2012-10-24,5
2012-10-25,4
2012-10-26,3
2012-10-27,1
2012-10-28,1
2012-10-29,2
2012-10-30,2
2012-10-31,4
2012-11-01,7
2012-11-02,6
2012-11-03,2
2012-11-04,2
2012-11-05,7
2012-11-06,8
2012-11-07,7
2012-11-08,6
2012-11-09,5
2012-11-10,2
2012-11-11,2
2012-11-12,4
2012-11-13,9
2012-11-14,6
2012-11-15,7
2012-11-16,7
2012-11-17,2
2012-11-18,2
2012-11-19,5
2012-11-20,6
2012-11-21,4
2012-11-22,3
2012-11-23,4
2012-11-24,4
2012-11-25,1
2012-11-26,4
2012-11-27,5
2012-11-28,6
2012-11-29,5
2012-11-30,5
2012-12-01,3
2012-12-02,1
2012-12-03,5
2012-12-04,6
2012-12-05,5
2012-12-06,6
2012-12-07,4
2012-12-08,3
2012-12-09,1
2012-12-10,5
2012-12-11,5
2012-12-12,6
2012-12-13,5
2012-12-14,5
2012-12-15,2
2012-12-16,1
2012-12-17,5
2012-12-18,6
2012-12-19,4
2012-12-20,5
2012-12-21,6
2012-12-22,1
2012-12-23,2
2012-12-24,4
2012-12-25,1
2012-12-26,3
2012-12-27,4
2012-12-28,5
2012-12-29,3
2012-12-30,1
2012-12-31,5
2013-01-01,3
2013-01-02,5
2013-01-03,5
2013-01-04,4
2013-01-05,1
2013-01-06,1
2013-01-07,3
2013-01-08,3
2013-01-09,3
2013-01-10,4
2013-01-11,5
2013-01-12,1
2013-01-13,1
2013-01-14,4
2013-01-15,4
2013-01-16,4
2013-01-17,4
2013-01-18,3
2013-01-19,1
2013-01-20,1
2013-01-21,3
2013-01-22,5
2013-01-23,4
2013-01-24,8
2013-01-25,5
2013-01-26,2
2013-01-27,2
2013-01-28,6
2013-01-29,5
2013-01-30,7
2013-01-31,4
2013-02-01,6
2013-02-02,4
2013-02-03,1
2013-02-04,4
2013-02-05,4
2013-02-06,6
2013-02-07,7
2013-02-08,7
2013-02-09,3
2013-02-10,2
2013-02-11,8
2013-02-12,9
2013-02-13,6
2013-02-14,9
2013-02-15,10
2013-02-16,4
2013-02-17,2
2013-02-18,4
2013-02-19,9
2013-02-20,15
2013-02-21,17
2013-02-22,10
2013-02-23,4
2013-02-24,1
2013-02-25,8
2013-02-26,8
2013-02-27,8
2013-02-28,7
2013-03-01,6
2013-03-02,2
2013-03-03,2
2013-03-04,5
2013-03-05,8
2013-03-06,8
2013-03-07,6
2013-03-08,6
2013-03-09,4
2013-03-10,2
2013-03-11,5
2013-03-12,6
2013-03-13,6
2013-03-14,7
2013-03-15,8
2013-03-16,3
2013-03-17,2
2013-03-18,4
2013-03-19,7
2013-03-20,4
2013-03-21,6
2013-03-22,5
2013-03-23,2
2013-03-24,2
2013-03-25,8
2013-03-26,8
2013-03-27,7
2013-03-28,8
2013-03-29,6
2013-03-30,2
2013-03-31,1
2013-04-01,33
2013-04-02,30
2013-04-03,20
2013-04-04,13
2013-04-05,10
2013-04-06,3
2013-04-07,3
2013-04-08,8
2013-04-09,7
2013-04-10,9
2013-04-11,8
2013-04-12,11
2013-04-13,4
2013-04-14,2
2013-04-15,9
2013-04-16,11
2013-04-17,9
2013-04-18,13
2013-04-19,13
2013-04-20,5
2013-04-21,3
2013-04-22,16
2013-04-23,18
2013-04-24,16
2013-04-25,15
2013-04-26,21
2013-04-27,8
2013-04-28,4
2013-04-29,19
2013-04-30,24
2013-05-01,20
2013-05-02,18
2013-05-03,21
2013-05-04,7
2013-05-05,6
2013-05-06,24
2013-05-07,30
2013-05-08,55
2013-05-09,100
2013-05-10,77
2013-05-11,20
2013-05-12,13
2013-05-13,67
2013-05-14,90
2013-05-15,70
2013-05-16,77
2013-05-17,66
2013-05-18,24
2013-05-19,13
2013-05-20,45
2013-05-21,48
2013-05-22,48
2013-05-23,50
2013-05-24,49
2013-05-25,16
2013-05-26,10
2013-05-27,11
2013-05-28,57
2013-05-29,72
2013-05-30,66
2013-05-31,65
2013-06-01,18
2013-06-02,11
2013-06-03,49
2013-06-04,46
2013-06-05,42
2013-06-06,43
2013-06-07,38
2013-06-08,12
2013-06-09,10
2013-06-10,37
2013-06-11,37
2013-06-12,35
2013-06-13,34
2013-06-14,33
2013-06-15,11
2013-06-16,8
2013-06-17,30
2013-06-18,31
2013-06-19,37
2013-06-20,33
2013-06-21,43
2013-06-22,14
2013-06-23,7
2013-06-24,25
2013-06-25,28
2013-06-26,26
2013-06-27,32
2013-06-28,31
2013-06-29,9
