date,TSLA
2015-08-18,16
2015-08-19,14
2015-08-20,15
2015-08-21,21
2015-08-22,7
2015-08-23,5
2015-08-24,29
2015-08-25,26
2015-08-26,18
2015-08-27,21
2015-08-28,18
2015-08-29,5
2015-08-30,4
2015-08-31,15
2015-09-01,16
2015-09-02,15
2015-09-03,18
2015-09-04,12
2015-09-05,5
2015-09-06,3
2015-09-07,4
2015-09-08,12
2015-09-09,14
2015-09-10,11
2015-09-11,9
2015-09-12,4
2015-09-13,2
2015-09-14,11
2015-09-15,11
2015-09-16,12
2015-09-17,14
2015-09-18,10
2015-09-19,3
2015-09-20,2
2015-09-21,13
2015-09-22,13
2015-09-23,12
2015-09-24,10
2015-09-25,11
2015-09-26,4
2015-09-27,3
2015-09-28,11
2015-09-29,14
2015-09-30,25
2015-10-01,14
2015-10-02,14
2015-10-03,5
2015-10-04,4
2015-10-05,13
2015-10-06,14
2015-10-07,14
2015-10-08,14
2015-10-09,16
2015-10-10,6
2015-10-11,4
2015-10-12,13
2015-10-13,15
2015-10-14,13
2015-10-15,14
2015-10-16,15
2015-10-17,4
2015-10-18,3
2015-10-19,11
2015-10-20,27
2015-10-21,24
2015-10-22,16
2015-10-23,15
2015-10-24,5
2015-10-25,4
2015-10-26,13
2015-10-27,12
2015-10-28,13
2015-10-29,12
2015-10-30,14
2015-10-31,4
2015-11-01,3
2015-11-02,14
2015-11-03,32
2015-11-04,35
2015-11-05,20
2015-11-06,13
2015-11-07,5
2015-11-08,3
2015-11-09,11
2015-11-10,12
2015-11-11,11
2015-11-12,10
2015-11-13,10
2015-11-14,5
2015-11-15,2
2015-11-16,10
2015-11-17,10
2015-11-18,10
2015-11-19,11
2015-11-20,17
2015-11-21,6
2015-11-22,3
2015-11-23,8
2015-11-24,10
2015-11-25,9
2015-11-26,5
2015-11-27,7
2015-11-28,4
2015-11-29,3
2015-11-30,8
2015-12-01,10
2015-12-02,10
2015-12-03,10
2015-12-04,10
2015-12-05,4
2015-12-06,2
2015-12-07,8
2015-12-08,7
2015-12-09,10
2015-12-10,10
2015-12-11,9
2015-12-12,3
2015-12-13,2
2015-12-14,10
2015-12-15,8
2015-12-16,11
2015-12-17,10
2015-12-18,9
2015-12-19,4
2015-12-20,3
2015-12-21,8
2015-12-22,12
2015-12-23,9
2015-12-24,6
2015-12-25,3
2015-12-26,3
2015-12-27,2
2015-12-28,7
2015-12-29,8
2015-12-30,10
2015-12-31,9
2016-01-01,5
2016-01-02,3
2016-01-03,4
2016-01-04,18
2016-01-05,15
2016-01-06,12
2016-01-07,14
2016-01-08,11
2016-01-09,4
2016-01-10,3
2016-01-11,12
2016-01-12,12
2016-01-13,13
2016-01-14,13
2016-01-15,13
2016-01-16,5
2016-01-17,3
2016-01-18,6
2016-01-19,10
2016-01-20,13
2016-01-21,11
2016-01-22,9
2016-01-23,4
2016-01-24,2
2016-01-25,8
2016-01-26,13
2016-01-27,12
2016-01-28,14
2016-01-29,14
2016-01-30,6
2016-01-31,4
2016-02-01,13
2016-02-02,15
2016-02-03,20
2016-02-04,18
2016-02-05,22
2016-02-06,8
2016-02-07,5
2016-02-08,22
2016-02-09,27
2016-02-10,45
2016-02-11,44
2016-02-12,23
2016-02-13,7
2016-02-14,4
2016-02-15,9
2016-02-16,17
2016-02-17,19
2016-02-18,18
2016-02-19,13
2016-02-20,5
2016-02-21,3
2016-02-22,15
2016-02-23,15
2016-02-24,13
2016-02-25,15
2016-02-26,14
2016-02-27,4
2016-02-28,3
2016-02-29,15
2016-03-01,17
2016-03-02,16
2016-03-03,16
2016-03-04,16
2016-03-05,5
2016-03-06,4
2016-03-07,15
2016-03-08,14
2016-03-09,14
2016-03-10,14
2016-03-11,13
2016-03-12,4
2016-03-13,3
2016-03-14,14
2016-03-15,15
2016-03-16,16
2016-03-17,16
2016-03-18,17
2016-03-19,5
2016-03-20,4
2016-03-21,17
2016-03-22,18
2016-03-23,18
2016-03-24,17
2016-03-25,9
2016-03-26,3
2016-03-27,3
2016-03-28,16
2016-03-29,15
2016-03-30,19
2016-03-31,36
2016-04-01,100
2016-04-02,24
2016-04-03,14
2016-04-04,52
2016-04-05,42
2016-04-06,35
2016-04-07,35
2016-04-08,29
2016-04-09,10
2016-04-10,7
2016-04-11,27
2016-04-12,24
2016-04-13,19
2016-04-14,18
2016-04-15,16
2016-04-16,5
2016-04-17,4
2016-04-18,16
2016-04-19,18
2016-04-20,18
2016-04-21,15
2016-04-22,15
2016-04-23,5
2016-04-24,4
2016-04-25,15
2016-04-26,14
2016-04-27,13
2016-04-28,14
2016-04-29,14
2016-04-30,5
2016-05-01,4
2016-05-02,15
2016-05-03,18
2016-05-04,37
