date,TSLA
2016-05-04,76
2016-05-05,74
2016-05-06,45
2016-05-07,14
2016-05-08,10
2016-05-09,30
2016-05-10,35
2016-05-11,33
2016-05-12,32
2016-05-13,29
2016-05-14,10
2016-05-15,9
2016-05-16,29
2016-05-17,25
2016-05-18,40
2016-05-19,41
2016-05-20,31
2016-05-21,10
2016-05-22,8
2016-05-23,26
2016-05-24,26
2016-05-25,25
2016-05-26,26
2016-05-27,24
2016-05-28,9
2016-05-29,6
2016-05-30,9
2016-05-31,21
2016-06-01,24
2016-06-02,23
2016-06-03,20
2016-06-04,6
2016-06-05,5
2016-06-06,19
2016-06-07,29
2016-06-08,31
2016-06-09,35
2016-06-10,34
2016-06-11,11
2016-06-12,7
2016-06-13,24
2016-06-14,21
2016-06-15,22
2016-06-16,22
2016-06-17,18
2016-06-18,7
2016-06-19,4
2016-06-20,21
2016-06-21,41
2016-06-22,100
2016-06-23,67
2016-06-24,72
2016-06-25,17
2016-06-26,10
2016-06-27,41
2016-06-28,41
2016-06-29,38
2016-06-30,46
2016-07-01,63
2016-07-02,18
2016-07-03,10
2016-07-04,18
2016-07-05,42
2016-07-06,37
2016-07-07,33
2016-07-08,28
2016-07-09,8
2016-07-10,9
2016-07-11,42
2016-07-12,38
2016-07-13,34
2016-07-14,30
2016-07-15,25
2016-07-16,8
2016-07-17,8
2016-07-18,25
2016-07-19,28
2016-07-20,27
2016-07-21,61
2016-07-22,30
2016-07-23,12
2016-07-24,6
2016-07-25,24
2016-07-26,25
2016-07-27,28
2016-07-28,24
2016-07-29,27
2016-07-30,12
2016-07-31,6
2016-08-01,47
2016-08-02,40
2016-08-03,60
2016-08-04,64
2016-08-05,28
2016-08-06,11
2016-08-07,7
2016-08-08,24
2016-08-09,23
2016-08-10,25
2016-08-11,21
2016-08-12,21
2016-08-13,5
2016-08-14,6
2016-08-15,20
2016-08-16,23
2016-08-17,16
2016-08-18,22
2016-08-19,18
2016-08-20,6
2016-08-21,6
2016-08-22,17
2016-08-23,42
2016-08-24,32
2016-08-25,20
2016-08-26,19
2016-08-27,6
2016-08-28,4
2016-08-29,20
2016-08-30,23
2016-08-31,20
2016-09-01,45
2016-09-02,44
2016-09-03,13
2016-09-04,8
2016-09-05,12
2016-09-06,32
2016-09-07,31
2016-09-08,31
2016-09-09,33
2016-09-10,14
2016-09-11,7
2016-09-12,30
2016-09-13,29
2016-09-14,27
2016-09-15,29
2016-09-16,29
2016-09-17,8
2016-09-18,7
2016-09-19,23
2016-09-20,27
2016-09-21,24
2016-09-22,23
2016-09-23,24
2016-09-24,8
2016-09-25,6
2016-09-26,18
2016-09-27,20
2016-09-28,17
2016-09-29,20
2016-09-30,19
2016-10-01,8
2016-10-02,10
2016-10-03,45
2016-10-04,27
2016-10-05,23
2016-10-06,27
2016-10-07,28
2016-10-08,11
2016-10-09,9
2016-10-10,29
2016-10-11,24
2016-10-12,24
2016-10-13,23
2016-10-14,21
2016-10-15,9
2016-10-16,6
2016-10-17,26
2016-10-18,31
2016-10-19,37
2016-10-20,56
2016-10-21,27
2016-10-22,7
2016-10-23,6
2016-10-24,26
2016-10-25,24
2016-10-26,74
2016-10-27,84
2016-10-28,40
2016-10-29,25
2016-10-30,11
2016-10-31,33
2016-11-01,42
2016-11-02,34
2016-11-03,30
2016-11-04,28
2016-11-05,12
2016-11-06,8
2016-11-07,26
2016-11-08,28
2016-11-09,50
2016-11-10,40
2016-11-11,31
2016-11-12,9
2016-11-13,7
2016-11-14,29
2016-11-15,27
2016-11-16,26
2016-11-17,36
2016-11-18,39
2016-11-19,11
2016-11-20,12
2016-11-21,27
2016-11-22,32
2016-11-23,31
2016-11-24,15
2016-11-25,18
2016-11-26,8
2016-11-27,5
2016-11-28,25
2016-11-29,27
2016-11-30,25
2016-12-01,27
2016-12-02,27
2016-12-03,10
2016-12-04,7
2016-12-05,27
2016-12-06,24
2016-12-07,27
2016-12-08,25
2016-12-09,28
2016-12-10,7
2016-12-11,5
2016-12-12,19
2016-12-13,29
2016-12-14,31
2016-12-15,27
2016-12-16,24
2016-12-17,8
2016-12-18,5
2016-12-19,19
2016-12-20,23
2016-12-21,22
2016-12-22,19
2016-12-23,20
2016-12-24,9
2016-12-25,6
2016-12-26,9
2016-12-27,27
2016-12-28,27
2016-12-29,25
2016-12-30,23
2016-12-31,10
2017-01-01,7
2017-01-02,11
2017-01-03,29
2017-01-04,47
2017-01-05,37
2017-01-06,30
2017-01-07,12
2017-01-08,6
2017-01-09,22
2017-01-10,25
2017-01-11,26
2017-01-12,26
2017-01-13,30
2017-01-14,11
2017-01-15,8
2017-01-16,16
2017-01-17,26
2017-01-18,25
2017-01-19,39
