date,TSLA
2011-09-18,20
2011-09-19,18
2011-09-20,29
2011-09-21,13
2011-09-22,27
2011-09-23,34
2011-09-24,17
2011-09-25,22
2011-09-26,38
2011-09-27,31
2011-09-28,20
2011-09-29,34
2011-09-30,22
2011-10-01,11
2011-10-02,25
2011-10-03,31
2011-10-04,38
2011-10-05,29
2011-10-06,25
2011-10-07,33
2011-10-08,16
2011-10-09,24
2011-10-10,27
2011-10-11,25
2011-10-12,33
2011-10-13,24
2011-10-14,30
2011-10-15,19
2011-10-16,13
2011-10-17,15
2011-10-18,24
2011-10-19,24
2011-10-20,24
2011-10-21,21
2011-10-22,30
2011-10-23,20
2011-10-24,28
2011-10-25,32
2011-10-26,50
2011-10-27,24
2011-10-28,49
2011-10-29,16
2011-10-30,13
2011-10-31,34
2011-11-01,32
2011-11-02,38
2011-11-03,48
2011-11-04,38
2011-11-05,13
2011-11-06,21
2011-11-07,35
2011-11-08,19
2011-11-09,28
2011-11-10,39
2011-11-11,34
2011-11-12,21
2011-11-13,23
2011-11-14,26
2011-11-15,33
2011-11-16,28
2011-11-17,33
2011-11-18,25
2011-11-19,31
2011-11-20,8
2011-11-21,30
2011-11-22,15
2011-11-23,35
2011-11-24,10
2011-11-25,23
2011-11-26,11
2011-11-27,15
2011-11-28,23
2011-11-29,25
2011-11-30,56
2011-12-01,34
2011-12-02,27
2011-12-03,26
2011-12-04,10
2011-12-05,27
2011-12-06,40
2011-12-07,27
2011-12-08,44
2011-12-09,25
2011-12-10,18
2011-12-11,15
2011-12-12,35
2011-12-13,27
2011-12-14,30
2011-12-15,32
2011-12-16,40
2011-12-17,16
2011-12-18,8
2011-12-19,19
2011-12-20,28
2011-12-21,42
2011-12-22,21
2011-12-23,30
2011-12-24,23
2011-12-25,19
2011-12-26,8
2011-12-27,34
2011-12-28,20
2011-12-29,30
2011-12-30,10
2011-12-31,34
2012-01-01,9
2012-01-02,14
2012-01-03,21
2012-01-04,27
2012-01-05,32
2012-01-06,49
2012-01-07,11
2012-01-08,12
2012-01-09,26
2012-01-10,24
2012-01-11,32
2012-01-12,25
2012-01-13,65
2012-01-14,39
2012-01-15,19
2012-01-16,48
2012-01-17,100
2012-01-18,40
2012-01-19,38
2012-01-20,34
2012-01-21,11
2012-01-22,12
2012-01-23,26
2012-01-24,34
2012-01-25,36
2012-01-26,51
2012-01-27,48
2012-01-28,15
2012-01-29,17
2012-01-30,39
2012-01-31,24
2012-02-01,29
2012-02-02,34
2012-02-03,44
2012-02-04,17
2012-02-05,21
2012-02-06,41
2012-02-07,23
2012-02-08,32
2012-02-09,38
2012-02-10,97
2012-02-11,38
2012-02-12,18
2012-02-13,48
2012-02-14,51
2012-02-15,85
2012-02-16,64
2012-02-17,46
2012-02-18,12
2012-02-19,17
2012-02-20,28
2012-02-21,51
2012-02-22,59
2012-02-23,40
2012-02-24,68
2012-02-25,16
2012-02-26,14
2012-02-27,49
2012-02-28,43
2012-02-29,43
2012-03-01,43
2012-03-02,34
2012-03-03,20
2012-03-04,15
2012-03-05,42
2012-03-06,45
2012-03-07,31
2012-03-08,30
2012-03-09,43
2012-03-10,35
2012-03-11,12
2012-03-12,39
2012-03-13,42
2012-03-14,49
2012-03-15,44
2012-03-16,43
2012-03-17,14
2012-03-18,23
2012-03-19,49
2012-03-20,45
2012-03-21,35
2012-03-22,34
2012-03-23,13
2012-03-24,15
2012-03-25,29
2012-03-26,49
2012-03-27,77
2012-03-28,67
2012-03-29,40
2012-03-30,59
2012-03-31,26
2012-04-01,24
2012-04-02,38
2012-04-03,56
2012-04-04,57
2012-04-05,52
2012-04-06,11
2012-04-07,15
2012-04-08,18
2012-04-09,40
2012-04-10,35
2012-04-11,43
2012-04-12,54
2012-04-13,38
2012-04-14,9
2012-04-15,21
2012-04-16,46
2012-04-17,35
2012-04-18,44
2012-04-19,33
2012-04-20,45
2012-04-21,14
2012-04-22,25
2012-04-23,42
2012-04-24,37
2012-04-25,35
2012-04-26,31
2012-04-27,25
2012-04-28,10
2012-04-29,18
2012-04-30,35
2012-05-01,47
2012-05-02,33
2012-05-03,41
2012-05-04,37
2012-05-05,12
2012-05-06,12
2012-05-07,39
2012-05-08,33
2012-05-09,79
2012-05-10,57
2012-05-11,47
2012-05-12,19
2012-05-13,21
2012-05-14,48
2012-05-15,49
2012-05-16,37
2012-05-17,28
2012-05-18,50
2012-05-19,24
2012-05-20,11
2012-05-21,34
2012-05-22,44
2012-05-23,48
2012-05-24,51
2012-05-25,49
2012-05-26,15
2012-05-27,30
2012-05-28,25
2012-05-29,38
2012-05-30,40
2012-05-31,27
2012-06-01,46
2012-06-02,19
2012-06-03,18
2012-06-04,36
