date,TSLA
2010-08-24,32
2010-08-25,23
2010-08-26,33
2010-08-27,35
2010-08-28,23
2010-08-29,13
2010-08-30,26
2010-08-31,41
2010-09-01,22
2010-09-02,33
2010-09-03,39
2010-09-04,19
2010-09-05,10
2010-09-06,15
2010-09-07,26
2010-09-08,32
2010-09-09,30
2010-09-10,24
2010-09-11,13
2010-09-12,14
2010-09-13,19
2010-09-14,24
2010-09-15,56
2010-09-16,37
2010-09-17,18
2010-09-18,22
2010-09-19,23
2010-09-20,24
2010-09-21,31
2010-09-22,24
2010-09-23,45
2010-09-24,25
2010-09-25,18
2010-09-26,18
2010-09-27,23
2010-09-28,28
2010-09-29,16
2010-09-30,38
2010-10-01,40
2010-10-02,24
2010-10-03,18
2010-10-04,33
2010-10-05,38
2010-10-06,22
2010-10-07,33
2010-10-08,25
2010-10-09,18
2010-10-10,9
2010-10-11,22
2010-10-12,17
2010-10-13,35
2010-10-14,21
2010-10-15,34
2010-10-16,21
2010-10-17,22
2010-10-18,31
2010-10-19,10
2010-10-20,32
2010-10-21,35
2010-10-22,47
2010-10-23,22
2010-10-24,9
2010-10-25,20
2010-10-26,22
2010-10-27,23
2010-10-28,21
2010-10-29,27
2010-10-30,9
2010-10-31,24
2010-11-01,21
2010-11-02,29
2010-11-03,18
2010-11-04,77
2010-11-05,78
2010-11-06,32
2010-11-07,22
2010-11-08,36
2010-11-09,54
2010-11-10,100
2010-11-11,100
2010-11-12,72
2010-11-13,35
2010-11-14,17
2010-11-15,69
2010-11-16,90
2010-11-17,55
2010-11-18,57
2010-11-19,51
2010-11-20,13
2010-11-21,17
2010-11-22,42
2010-11-23,69
2010-11-24,66
2010-11-25,22
2010-11-26,30
2010-11-27,23
2010-11-28,17
2010-11-29,52
2010-11-30,68
2010-12-01,67
2010-12-02,69
2010-12-03,73
2010-12-04,25
2010-12-05,19
2010-12-06,47
2010-12-07,72
2010-12-08,64
2010-12-09,41
2010-12-10,50
2010-12-11,20
2010-12-12,14
2010-12-13,37
2010-12-14,56
2010-12-15,25
2010-12-16,34
2010-12-17,34
2010-12-18,9
2010-12-19,9
2010-12-20,39
2010-12-21,16
2010-12-22,24
2010-12-23,28
2010-12-24,24
2010-12-25,16
2010-12-26,13
2010-12-27,86
2010-12-28,80
2010-12-29,67
2010-12-30,46
2010-12-31,57
2011-01-01,23
2011-01-02,35
2011-01-03,46
2011-01-04,40
2011-01-05,40
2011-01-06,41
2011-01-07,62
2011-01-08,22
2011-01-09,12
2011-01-10,30
2011-01-11,51
2011-01-12,36
2011-01-13,32
2011-01-14,53
2011-01-15,21
2011-01-16,20
2011-01-17,28
2011-01-18,34
2011-01-19,57
2011-01-20,38
2011-01-21,45
2011-01-22,16
2011-01-23,16
2011-01-24,27
2011-01-25,23
2011-01-26,46
2011-01-27,32
2011-01-28,33
2011-01-29,15
2011-01-30,15
2011-01-31,16
2011-02-01,30
2011-02-02,32
2011-02-03,22
2011-02-04,30
2011-02-05,28
2011-02-06,15
2011-02-07,44
2011-02-08,64
2011-02-09,44
2011-02-10,27
2011-02-11,35
2011-02-12,26
2011-02-13,8
2011-02-14,35
2011-02-15,58
2011-02-16,80
2011-02-17,44
2011-02-18,46
2011-02-19,15
2011-02-20,15
2011-02-21,15
2011-02-22,26
2011-02-23,37
2011-02-24,19
2011-02-25,41
2011-02-26,13
2011-02-27,7
2011-02-28,14
2011-03-01,20
2011-03-02,23
2011-03-03,15
2011-03-04,31
2011-03-05,16
2011-03-06,26
2011-03-07,19
2011-03-08,31
2011-03-09,29
2011-03-10,18
2011-03-11,23
2011-03-12,26
2011-03-13,8
2011-03-14,19
2011-03-15,18
2011-03-16,12
2011-03-17,17
2011-03-18,17
2011-03-19,10
2011-03-20,31
2011-03-21,22
2011-03-22,24
2011-03-23,18
2011-03-24,21
2011-03-25,24
2011-03-26,15
2011-03-27,15
2011-03-28,15
2011-03-29,18
2011-03-30,41
2011-03-31,96
2011-04-01,65
2011-04-02,39
2011-04-03,18
2011-04-04,44
2011-04-05,48
2011-04-06,39
2011-04-07,54
2011-04-08,48
2011-04-09,11
2011-04-10,10
2011-04-11,30
2011-04-12,40
2011-04-13,45
2011-04-14,38
2011-04-15,48
2011-04-16,12
2011-04-17,18
2011-04-18,23
2011-04-19,48
2011-04-20,40
2011-04-21,32
2011-04-22,20
2011-04-23,25
2011-04-24,29
2011-04-25,20
2011-04-26,24
2011-04-27,26
2011-04-28,20
2011-04-29,35
2011-04-30,23
2011-05-01,8
2011-05-02,30
2011-05-03,24
2011-05-04,39
2011-05-05,45
2011-05-06,30
2011-05-07,10
2011-05-08,20
2011-05-09,32
2011-05-10,26
2011-05-11,32
