date,MAT,isPartial
2015-08-18,54,False
2015-08-19,56,False
2015-08-20,57,False
2015-08-21,56,False
2015-08-22,61,False
2015-08-23,60,False
2015-08-24,56,False
2015-08-25,55,False
2015-08-26,54,False
2015-08-27,55,False
2015-08-28,56,False
2015-08-29,58,False
2015-08-30,61,False
2015-08-31,57,False
2015-09-01,57,False
2015-09-02,56,False
2015-09-03,57,False
2015-09-04,55,False
2015-09-05,58,False
2015-09-06,58,False
2015-09-07,53,False
2015-09-08,52,False
2015-09-09,52,False
2015-09-10,51,False
2015-09-11,53,False
2015-09-12,54,False
2015-09-13,53,False
2015-09-14,51,False
2015-09-15,51,False
2015-09-16,51,False
2015-09-17,50,False
2015-09-18,56,False
2015-09-19,57,False
2015-09-20,53,False
2015-09-21,52,False
2015-09-22,52,False
2015-09-23,52,False
2015-09-24,50,False
2015-09-25,51,False
2015-09-26,51,False
2015-09-27,52,False
2015-09-28,49,False
2015-09-29,50,False
2015-09-30,50,False
2015-10-01,48,False
2015-10-02,52,False
2015-10-03,58,False
2015-10-04,56,False
2015-10-05,51,False
2015-10-06,51,False
2015-10-07,52,False
2015-10-08,53,False
2015-10-09,52,False
2015-10-10,58,False
2015-10-11,57,False
2015-10-12,54,False
2015-10-13,51,False
2015-10-14,50,False
2015-10-15,52,False
2015-10-16,52,False
2015-10-17,58,False
2015-10-18,56,False
2015-10-19,54,False
2015-10-20,50,False
2015-10-21,50,False
2015-10-22,51,False
2015-10-23,52,False
2015-10-24,56,False
2015-10-25,56,False
2015-10-26,58,False
2015-10-27,52,False
2015-10-28,52,False
2015-10-29,52,False
2015-10-30,54,False
2015-10-31,57,False
2015-11-01,57,False
2015-11-02,57,False
2015-11-03,54,False
2015-11-04,53,False
2015-11-05,51,False
2015-11-06,53,False
2015-11-07,60,False
2015-11-08,58,False
2015-11-09,57,False
2015-11-10,54,False
2015-11-11,54,False
2015-11-12,52,False
2015-11-13,55,False
2015-11-14,57,False
2015-11-15,57,False
2015-11-16,56,False
2015-11-17,53,False
2015-11-18,52,False
2015-11-19,52,False
2015-11-20,54,False
2015-11-21,56,False
2015-11-22,57,False
2015-11-23,56,False
2015-11-24,54,False
2015-11-25,51,False
2015-11-26,50,False
2015-11-27,56,False
2015-11-28,60,False
2015-11-29,60,False
2015-11-30,56,False
2015-12-01,55,False
2015-12-02,54,False
2015-12-03,53,False
2015-12-04,54,False
2015-12-05,60,False
2015-12-06,59,False
2015-12-07,58,False
2015-12-08,55,False
2015-12-09,53,False
2015-12-10,56,False
2015-12-11,57,False
2015-12-12,60,False
2015-12-13,61,False
2015-12-14,59,False
2015-12-15,56,False
2015-12-16,55,False
2015-12-17,51,False
2015-12-18,53,False
2015-12-19,61,False
2015-12-20,60,False
2015-12-21,59,False
2015-12-22,57,False
2015-12-23,56,False
2015-12-24,53,False
2015-12-25,61,False
2015-12-26,69,False
2015-12-27,66,False
2015-12-28,60,False
2015-12-29,56,False
2015-12-30,55,False
2015-12-31,55,False
2016-01-01,58,False
2016-01-02,57,False
2016-01-03,60,False
2016-01-04,57,False
2016-01-05,55,False
2016-01-06,55,False
2016-01-07,53,False
2016-01-08,52,False
2016-01-09,57,False
2016-01-10,56,False
2016-01-11,56,False
2016-01-12,52,False
2016-01-13,52,False
2016-01-14,52,False
2016-01-15,52,False
2016-01-16,54,False
2016-01-17,55,False
2016-01-18,53,False
2016-01-19,52,False
2016-01-20,52,False
2016-01-21,53,False
2016-01-22,50,False
2016-01-23,51,False
2016-01-24,52,False
2016-01-25,53,False
2016-01-26,51,False
2016-01-27,50,False
2016-01-28,48,False
2016-01-29,48,False
2016-01-30,51,False
2016-01-31,54,False
2016-02-01,52,False
2016-02-02,50,False
2016-02-03,47,False
2016-02-04,47,False
2016-02-05,47,False
2016-02-06,45,False
2016-02-07,44,False
2016-02-08,43,False
2016-02-09,44,False
2016-02-10,44,False
2016-02-11,45,False
2016-02-12,47,False
2016-02-13,50,False
2016-02-14,49,False
2016-02-15,52,False
2016-02-16,50,False
2016-02-17,51,False
2016-02-18,51,False
2016-02-19,52,False
2016-02-20,53,False
2016-02-21,53,False
2016-02-22,52,False
2016-02-23,49,False
2016-02-24,49,False
2016-02-25,50,False
2016-02-26,52,False
2016-02-27,51,False
2016-02-28,54,False
2016-02-29,50,False
2016-03-01,50,False
2016-03-02,50,False
2016-03-03,59,False
2016-03-04,60,False
2016-03-05,60,False
2016-03-06,59,False
2016-03-07,55,False
2016-03-08,52,False
2016-03-09,62,False
2016-03-10,67,False
2016-03-11,63,False
2016-03-12,63,False
2016-03-13,64,False
2016-03-14,57,False
2016-03-15,57,False
2016-03-16,64,False
2016-03-17,72,False
2016-03-18,73,False
2016-03-19,69,False
2016-03-20,68,False
2016-03-21,62,False
2016-03-22,62,False
2016-03-23,77,False
2016-03-24,96,False
2016-03-25,90,False
2016-03-26,85,False
2016-03-27,81,False
2016-03-28,72,False
2016-03-29,66,False
2016-03-30,81,False
2016-03-31,96,False
2016-04-01,87,False
2016-04-02,80,False
2016-04-03,76,False
2016-04-04,66,False
2016-04-05,65,False
2016-04-06,80,False
2016-04-07,100,False
2016-04-08,88,False
2016-04-09,77,False
2016-04-10,72,False
2016-04-11,61,False
2016-04-12,61,False
2016-04-13,76,False
2016-04-14,99,False
2016-04-15,90,False
2016-04-16,76,False
2016-04-17,69,False
2016-04-18,61,False
2016-04-19,57,False
2016-04-20,59,False
2016-04-21,60,False
2016-04-22,62,False
2016-04-23,67,False
2016-04-24,65,False
2016-04-25,58,False
2016-04-26,55,False
2016-04-27,57,False
2016-04-28,56,False
2016-04-29,56,False
2016-04-30,57,False
2016-05-01,60,False
2016-05-02,55,False
2016-05-03,55,False
2016-05-04,51,False
