date,CHKP
2011-09-18,0
2011-09-19,22
2011-09-20,45
2011-09-21,0
2011-09-22,46
2011-09-23,72
2011-09-24,0
2011-09-25,28
2011-09-26,45
2011-09-27,44
2011-09-28,0
2011-09-29,23
2011-09-30,24
2011-10-01,0
2011-10-02,0
2011-10-03,45
2011-10-04,55
2011-10-05,22
2011-10-06,45
2011-10-07,23
2011-10-08,27
2011-10-09,0
2011-10-10,0
2011-10-11,21
2011-10-12,22
2011-10-13,0
2011-10-14,23
2011-10-15,0
2011-10-16,0
2011-10-17,22
2011-10-18,88
2011-10-19,66
2011-10-20,22
2011-10-21,23
2011-10-22,0
2011-10-23,26
2011-10-24,22
2011-10-25,22
2011-10-26,55
2011-10-27,0
2011-10-28,23
2011-10-29,0
2011-10-30,0
2011-10-31,45
2011-11-01,23
2011-11-02,22
2011-11-03,44
2011-11-04,22
2011-11-05,0
2011-11-06,26
2011-11-07,22
2011-11-08,32
2011-11-09,22
2011-11-10,33
2011-11-11,0
2011-11-12,0
2011-11-13,0
2011-11-14,0
2011-11-15,0
2011-11-16,22
2011-11-17,22
2011-11-18,23
2011-11-19,0
2011-11-20,0
2011-11-21,0
2011-11-22,22
2011-11-23,43
2011-11-24,0
2011-11-25,0
2011-11-26,0
2011-11-27,0
2011-11-28,21
2011-11-29,41
2011-11-30,43
2011-12-01,21
2011-12-02,22
2011-12-03,26
2011-12-04,51
2011-12-05,21
2011-12-06,21
2011-12-07,42
2011-12-08,22
2011-12-09,23
2011-12-10,0
2011-12-11,25
2011-12-12,42
2011-12-13,21
2011-12-14,0
2011-12-15,22
2011-12-16,0
2011-12-17,0
2011-12-18,0
2011-12-19,0
2011-12-20,0
2011-12-21,0
2011-12-22,23
2011-12-23,25
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,23
2011-12-29,23
2011-12-30,24
2011-12-31,0
2012-01-01,0
2012-01-02,23
2012-01-03,0
2012-01-04,42
2012-01-05,21
2012-01-06,0
2012-01-07,25
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,20
2012-01-12,41
2012-01-13,0
2012-01-14,25
2012-01-15,0
2012-01-16,20
2012-01-17,100
2012-01-18,20
2012-01-19,20
2012-01-20,21
2012-01-21,0
2012-01-22,0
2012-01-23,20
2012-01-24,20
2012-01-25,20
2012-01-26,31
2012-01-27,42
2012-01-28,0
2012-01-29,0
2012-01-30,39
2012-01-31,0
2012-02-01,49
2012-02-02,20
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,20
2012-02-08,20
2012-02-09,20
2012-02-10,0
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,59
2012-02-16,20
2012-02-17,31
2012-02-18,24
2012-02-19,24
2012-02-20,21
2012-02-21,0
2012-02-22,0
2012-02-23,20
2012-02-24,21
2012-02-25,0
2012-02-26,23
2012-02-27,19
2012-02-28,39
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,24
2012-03-04,0
2012-03-05,40
2012-03-06,20
2012-03-07,19
2012-03-08,20
2012-03-09,21
2012-03-10,0
2012-03-11,23
2012-03-12,19
2012-03-13,58
2012-03-14,0
2012-03-15,20
2012-03-16,20
2012-03-17,0
2012-03-18,0
2012-03-19,20
2012-03-20,19
2012-03-21,0
2012-03-22,0
2012-03-23,21
2012-03-24,24
2012-03-25,0
2012-03-26,20
2012-03-27,20
2012-03-28,20
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,24
2012-04-02,0
2012-04-03,40
2012-04-04,21
2012-04-05,21
2012-04-06,46
2012-04-07,0
2012-04-08,0
2012-04-09,23
2012-04-10,20
2012-04-11,20
2012-04-12,20
2012-04-13,21
2012-04-14,0
2012-04-15,24
2012-04-16,19
2012-04-17,39
2012-04-18,39
2012-04-19,20
2012-04-20,0
2012-04-21,23
2012-04-22,0
2012-04-23,58
2012-04-24,58
2012-04-25,29
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,41
2012-05-01,21
2012-05-02,29
2012-05-03,39
2012-05-04,20
2012-05-05,23
2012-05-06,35
2012-05-07,0
2012-05-08,58
2012-05-09,19
2012-05-10,30
2012-05-11,41
2012-05-12,24
2012-05-13,24
2012-05-14,48
2012-05-15,19
2012-05-16,39
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,24
2012-05-21,19
2012-05-22,19
2012-05-23,0
2012-05-24,20
2012-05-25,0
2012-05-26,50
2012-05-27,50
2012-05-28,21
2012-05-29,19
2012-05-30,19
2012-05-31,19
2012-06-01,20
2012-06-02,0
2012-06-03,0
2012-06-04,38
