date,CHKP,isPartial
2013-06-29,28,False
2013-06-30,0,False
2013-07-01,69,False
2013-07-02,23,False
2013-07-03,70,False
2013-07-04,0,False
2013-07-05,50,False
2013-07-06,0,False
2013-07-07,29,False
2013-07-08,23,False
2013-07-09,23,False
2013-07-10,47,False
2013-07-11,70,False
2013-07-12,49,False
2013-07-13,0,False
2013-07-14,0,False
2013-07-15,0,False
2013-07-16,0,False
2013-07-17,0,False
2013-07-18,71,False
2013-07-19,48,False
2013-07-20,29,False
2013-07-21,0,False
2013-07-22,46,False
2013-07-23,0,False
2013-07-24,23,False
2013-07-25,23,False
2013-07-26,49,False
2013-07-27,0,False
2013-07-28,0,False
2013-07-29,23,False
2013-07-30,45,False
2013-07-31,69,False
2013-08-01,0,False
2013-08-02,0,False
2013-08-03,29,False
2013-08-04,0,False
2013-08-05,23,False
2013-08-06,47,False
2013-08-07,0,False
2013-08-08,24,False
2013-08-09,25,False
2013-08-10,0,False
2013-08-11,0,False
2013-08-12,69,False
2013-08-13,23,False
2013-08-14,23,False
2013-08-15,0,False
2013-08-16,0,False
2013-08-17,0,False
2013-08-18,28,False
2013-08-19,46,False
2013-08-20,0,False
2013-08-21,23,False
2013-08-22,23,False
2013-08-23,24,False
2013-08-24,28,False
2013-08-25,27,False
2013-08-26,22,False
2013-08-27,0,False
2013-08-28,67,False
2013-08-29,23,False
2013-08-30,24,False
2013-08-31,0,False
2013-09-01,0,False
2013-09-02,23,False
2013-09-03,0,False
2013-09-04,22,False
2013-09-05,22,False
2013-09-06,0,False
2013-09-07,0,False
2013-09-08,0,False
2013-09-09,0,False
2013-09-10,21,False
2013-09-11,21,False
2013-09-12,22,False
2013-09-13,23,False
2013-09-14,0,False
2013-09-15,0,False
2013-09-16,22,False
2013-09-17,0,False
2013-09-18,22,False
2013-09-19,22,False
2013-09-20,23,False
2013-09-21,0,False
2013-09-22,26,False
2013-09-23,44,False
2013-09-24,22,False
2013-09-25,22,False
2013-09-26,0,False
2013-09-27,46,False
2013-09-28,0,False
2013-09-29,0,False
2013-09-30,0,False
2013-10-01,21,False
2013-10-02,44,False
2013-10-03,0,False
2013-10-04,23,False
2013-10-05,0,False
2013-10-06,0,False
2013-10-07,22,False
2013-10-08,0,False
2013-10-09,0,False
2013-10-10,0,False
2013-10-11,46,False
2013-10-12,0,False
2013-10-13,0,False
2013-10-14,0,False
2013-10-15,0,False
2013-10-16,22,False
2013-10-17,22,False
2013-10-18,23,False
2013-10-19,0,False
2013-10-20,0,False
2013-10-21,42,False
2013-10-22,0,False
2013-10-23,0,False
2013-10-24,21,False
2013-10-25,0,False
2013-10-26,52,False
2013-10-27,25,False
2013-10-28,0,False
2013-10-29,0,False
2013-10-30,0,False
2013-10-31,22,False
2013-11-01,0,False
2013-11-02,0,False
2013-11-03,0,False
2013-11-04,0,False
2013-11-05,0,False
2013-11-06,0,False
2013-11-07,43,False
2013-11-08,22,False
2013-11-09,0,False
2013-11-10,0,False
2013-11-11,42,False
2013-11-12,21,False
2013-11-13,43,False
2013-11-14,0,False
2013-11-15,45,False
2013-11-16,0,False
2013-11-17,49,False
2013-11-18,0,False
2013-11-19,42,False
2013-11-20,0,False
2013-11-21,0,False
2013-11-22,0,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,21,False
2013-11-26,82,False
2013-11-27,21,False
2013-11-28,22,False
2013-11-29,0,False
2013-11-30,0,False
2013-12-01,0,False
2013-12-02,20,False
2013-12-03,0,False
2013-12-04,21,False
2013-12-05,42,False
2013-12-06,22,False
