date,CHKP
2011-01-01,32
2011-01-02,28
2011-01-03,34
2011-01-04,22
2011-01-05,44
2011-01-06,56
2011-01-07,0
2011-01-08,0
2011-01-09,51
2011-01-10,21
2011-01-11,42
2011-01-12,21
2011-01-13,21
2011-01-14,22
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,31
2011-01-20,42
2011-01-21,22
2011-01-22,51
2011-01-23,38
2011-01-24,30
2011-01-25,0
2011-01-26,21
2011-01-27,21
2011-01-28,33
2011-01-29,25
2011-01-30,32
2011-01-31,39
2011-02-01,39
2011-02-02,46
2011-02-03,30
2011-02-04,32
2011-02-05,25
2011-02-06,24
2011-02-07,20
2011-02-08,0
2011-02-09,30
2011-02-10,61
2011-02-11,21
2011-02-12,25
2011-02-13,0
2011-02-14,30
2011-02-15,58
2011-02-16,20
2011-02-17,41
2011-02-18,28
2011-02-19,25
2011-02-20,25
2011-02-21,0
2011-02-22,0
2011-02-23,20
2011-02-24,20
2011-02-25,28
2011-02-26,25
2011-02-27,49
2011-02-28,20
2011-03-01,29
2011-03-02,20
2011-03-03,30
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,34
2011-03-08,31
2011-03-09,20
2011-03-10,30
2011-03-11,0
2011-03-12,0
2011-03-13,25
2011-03-14,0
2011-03-15,0
2011-03-16,39
2011-03-17,30
2011-03-18,21
2011-03-19,0
2011-03-20,0
2011-03-21,20
2011-03-22,30
2011-03-23,0
2011-03-24,60
2011-03-25,0
2011-03-26,0
2011-03-27,24
2011-03-28,0
2011-03-29,20
2011-03-30,40
2011-03-31,20
2011-04-01,21
2011-04-02,26
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,27
2011-04-07,20
2011-04-08,21
2011-04-09,26
2011-04-10,0
2011-04-11,20
2011-04-12,39
2011-04-13,33
2011-04-14,92
2011-04-15,42
2011-04-16,0
2011-04-17,0
2011-04-18,20
2011-04-19,20
2011-04-20,21
2011-04-21,0
2011-04-22,24
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,20
2011-04-27,40
2011-04-28,33
2011-04-29,21
2011-04-30,0
2011-05-01,25
2011-05-02,20
2011-05-03,20
2011-05-04,27
2011-05-05,20
2011-05-06,21
2011-05-07,0
2011-05-08,0
2011-05-09,20
2011-05-10,30
2011-05-11,26
2011-05-12,40
2011-05-13,21
2011-05-14,25
2011-05-15,24
2011-05-16,39
2011-05-17,39
2011-05-18,20
2011-05-19,40
2011-05-20,21
2011-05-21,25
2011-05-22,0
2011-05-23,19
2011-05-24,39
2011-05-25,0
2011-05-26,20
2011-05-27,21
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,20
2011-06-01,40
2011-06-02,31
2011-06-03,21
2011-06-04,0
2011-06-05,0
2011-06-06,19
2011-06-07,0
2011-06-08,20
2011-06-09,39
2011-06-10,42
2011-06-11,0
2011-06-12,0
2011-06-13,40
2011-06-14,0
2011-06-15,19
2011-06-16,20
2011-06-17,0
2011-06-18,0
2011-06-19,25
2011-06-20,19
2011-06-21,19
2011-06-22,0
2011-06-23,21
2011-06-24,43
2011-06-25,26
2011-06-26,0
2011-06-27,0
2011-06-28,20
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,26
2011-07-03,26
2011-07-04,0
2011-07-05,20
2011-07-06,0
2011-07-07,41
2011-07-08,64
2011-07-09,26
2011-07-10,0
2011-07-11,0
2011-07-12,20
2011-07-13,0
2011-07-14,0
2011-07-15,21
2011-07-16,26
2011-07-17,26
2011-07-18,46
2011-07-19,59
2011-07-20,30
2011-07-21,20
2011-07-22,28
2011-07-23,25
2011-07-24,0
2011-07-25,20
2011-07-26,20
2011-07-27,0
2011-07-28,0
2011-07-29,21
2011-07-30,26
2011-07-31,25
2011-08-01,30
2011-08-02,80
2011-08-03,33
2011-08-04,100
2011-08-05,31
2011-08-06,0
2011-08-07,24
2011-08-08,32
2011-08-09,48
2011-08-10,39
2011-08-11,33
2011-08-12,0
2011-08-13,25
2011-08-14,49
2011-08-15,21
2011-08-16,20
2011-08-17,69
2011-08-18,20
2011-08-19,30
2011-08-20,0
2011-08-21,0
2011-08-22,19
2011-08-23,0
2011-08-24,25
2011-08-25,19
2011-08-26,20
2011-08-27,23
2011-08-28,0
2011-08-29,57
2011-08-30,19
2011-08-31,19
2011-09-01,38
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,19
2011-09-06,18
2011-09-07,46
2011-09-08,18
2011-09-09,19
2011-09-10,0
2011-09-11,0
2011-09-12,18
2011-09-13,18
2011-09-14,36
2011-09-15,0
2011-09-16,29
2011-09-17,23
2011-09-18,0
