date,CHKP,isPartial
2017-05-29,7,False
2017-05-30,13,False
2017-05-31,13,False
2017-06-01,20,False
2017-06-02,7,False
2017-06-03,8,False
2017-06-04,11,False
2017-06-05,7,False
2017-06-06,6,False
2017-06-07,0,False
2017-06-08,19,False
2017-06-09,14,False
2017-06-10,8,False
2017-06-11,0,False
2017-06-12,13,False
2017-06-13,13,False
2017-06-14,13,False
2017-06-15,7,False
2017-06-16,7,False
2017-06-17,8,False
2017-06-18,8,False
2017-06-19,10,False
2017-06-20,6,False
2017-06-21,13,False
2017-06-22,0,False
2017-06-23,20,False
2017-06-24,15,False
2017-06-25,0,False
2017-06-26,7,False
2017-06-27,17,False
2017-06-28,14,False
2017-06-29,14,False
2017-06-30,25,False
2017-07-01,24,False
2017-07-02,8,False
2017-07-03,7,False
2017-07-04,0,False
2017-07-05,17,False
2017-07-06,17,False
2017-07-07,14,False
2017-07-08,8,False
2017-07-09,0,False
2017-07-10,13,False
2017-07-11,20,False
2017-07-12,13,False
2017-07-13,10,False
2017-07-14,14,False
2017-07-15,0,False
2017-07-16,12,False
2017-07-17,34,False
2017-07-18,10,False
2017-07-19,10,False
2017-07-20,57,False
2017-07-21,49,False
2017-07-22,8,False
2017-07-23,8,False
2017-07-24,10,False
2017-07-25,23,False
2017-07-26,7,False
2017-07-27,10,False
2017-07-28,17,False
2017-07-29,15,False
2017-07-30,15,False
2017-07-31,23,False
2017-08-01,22,False
2017-08-02,12,False
2017-08-03,16,False
2017-08-04,20,False
2017-08-05,8,False
2017-08-06,15,False
2017-08-07,13,False
2017-08-08,12,False
2017-08-09,29,False
2017-08-10,7,False
2017-08-11,7,False
2017-08-12,8,False
2017-08-13,8,False
2017-08-14,16,False
2017-08-15,7,False
2017-08-16,16,False
2017-08-17,13,False
2017-08-18,7,False
2017-08-19,7,False
2017-08-20,0,False
2017-08-21,6,False
2017-08-22,10,False
2017-08-23,19,False
2017-08-24,20,False
2017-08-25,7,False
2017-08-26,23,False
2017-08-27,15,False
2017-08-28,6,False
2017-08-29,16,False
2017-08-30,13,False
2017-08-31,23,False
2017-09-01,20,False
2017-09-02,11,False
2017-09-03,8,False
2017-09-04,13,False
2017-09-05,19,False
2017-09-06,13,False
2017-09-07,10,False
2017-09-08,7,False
2017-09-09,7,False
2017-09-10,0,False
2017-09-11,16,False
2017-09-12,25,False
2017-09-13,6,False
2017-09-14,19,False
2017-09-15,20,False
2017-09-16,0,False
2017-09-17,0,False
2017-09-18,6,False
2017-09-19,13,False
2017-09-20,6,False
2017-09-21,19,False
2017-09-22,0,False
2017-09-23,0,False
2017-09-24,0,False
2017-09-25,19,False
2017-09-26,0,False
2017-09-27,16,False
2017-09-28,6,False
2017-09-29,10,False
2017-09-30,18,False
2017-10-01,7,False
2017-10-02,13,False
2017-10-03,9,False
2017-10-04,13,False
2017-10-05,13,False
2017-10-06,26,False
2017-10-07,11,False
2017-10-08,15,False
2017-10-09,13,False
2017-10-10,25,False
2017-10-11,19,False
2017-10-12,10,False
2017-10-13,7,False
2017-10-14,7,False
2017-10-15,0,False
2017-10-16,6,False
2017-10-17,19,False
2017-10-18,16,False
2017-10-19,10,False
2017-10-20,7,False
2017-10-21,15,False
2017-10-22,0,False
2017-10-23,22,False
2017-10-24,9,False
2017-10-25,12,False
2017-10-26,25,False
2017-10-27,23,False
2017-10-28,14,False
2017-10-29,7,False
2017-10-30,12,False
2017-10-31,25,False
2017-11-01,100,False
2017-11-02,25,False
2017-11-03,19,False
2017-11-04,7,False
2017-11-05,0,False
2017-11-06,12,False
2017-11-07,12,False
2017-11-08,18,False
2017-11-09,6,False
2017-11-10,22,False
2017-11-11,21,False
2017-11-12,0,False
2017-11-13,18,False
2017-11-14,9,False
2017-11-15,12,False
2017-11-16,24,False
2017-11-17,6,False
2017-11-18,7,False
2017-11-19,7,False
2017-11-20,12,False
2017-11-21,12,False
2017-11-22,15,False
2017-11-23,13,False
2017-11-24,13,False
2017-11-25,0,False
2017-11-26,10,False
2017-11-27,9,False
2017-11-28,12,False
2017-11-29,12,False
2017-11-30,22,False
2017-12-01,13,False
2017-12-02,7,False
2017-12-03,7,False
2017-12-04,18,False
2017-12-05,6,False
2017-12-06,18,False
2017-12-07,12,False
2017-12-08,39,False
2017-12-09,0,False
2017-12-10,7,False
2017-12-11,9,False
2017-12-12,24,False
2017-12-13,15,False
2017-12-14,6,False
2017-12-15,13,False
2017-12-16,0,False
2017-12-17,7,False
2017-12-18,15,False
2017-12-19,6,False
2017-12-20,10,False
2017-12-21,13,False
2017-12-22,21,False
2017-12-23,15,False
2017-12-24,0,False
2017-12-25,0,False
2017-12-26,7,False
2017-12-27,13,False
2017-12-28,7,False
2017-12-29,7,False
2017-12-30,0,False
2017-12-31,0,False
2018-01-01,0,False
2018-01-02,13,False
2018-01-03,15,False
2018-01-04,15,False
2018-01-05,6,False
2018-01-06,7,False
2018-01-07,0,False
2018-01-08,12,False
2018-01-09,12,False
2018-01-10,9,False
2018-01-11,9,False
2018-01-12,9,False
2018-01-13,10,False
2018-01-14,7,False
2018-01-15,9,False
2018-01-16,12,False
2018-01-17,17,False
2018-01-18,9,False
2018-01-19,12,False
2018-01-20,0,False
2018-01-21,7,False
2018-01-22,9,False
2018-01-23,18,False
2018-01-24,29,False
2018-01-25,12,False
2018-01-26,12,False
2018-01-27,0,False
2018-01-28,10,False
2018-01-29,6,False
2018-01-30,21,False
2018-01-31,35,False
2018-02-01,30,False
2018-02-02,19,False
2018-02-03,7,False
2018-02-04,7,False
2018-02-05,15,False
2018-02-06,32,False
2018-02-07,9,False
2018-02-08,18,False
2018-02-09,21,False
2018-02-10,13,False
2018-02-11,7,False
2018-02-12,21,False
2018-02-13,12,False
