date,BIDU
2014-12-01,83
2014-12-02,71
2014-12-03,72
2014-12-04,73
2014-12-05,73
2014-12-06,57
2014-12-07,55
2014-12-08,78
2014-12-09,69
2014-12-10,65
2014-12-11,69
2014-12-12,69
2014-12-13,63
2014-12-14,56
2014-12-15,70
2014-12-16,73
2014-12-17,74
2014-12-18,77
2014-12-19,72
2014-12-20,53
2014-12-21,62
2014-12-22,82
2014-12-23,76
2014-12-24,64
2014-12-25,50
2014-12-26,75
2014-12-27,59
2014-12-28,55
2014-12-29,77
2014-12-30,78
2014-12-31,76
2015-01-01,72
2015-01-02,84
2015-01-03,67
2015-01-04,69
2015-01-05,82
2015-01-06,85
2015-01-07,72
2015-01-08,75
2015-01-09,72
2015-01-10,64
2015-01-11,51
2015-01-12,74
2015-01-13,77
2015-01-14,77
2015-01-15,78
2015-01-16,73
2015-01-17,58
2015-01-18,60
2015-01-19,77
2015-01-20,69
2015-01-21,76
2015-01-22,74
2015-01-23,66
2015-01-24,62
2015-01-25,68
2015-01-26,73
2015-01-27,76
2015-01-28,67
2015-01-29,73
2015-01-30,77
2015-01-31,64
2015-02-01,58
2015-02-02,76
2015-02-03,74
2015-02-04,65
2015-02-05,67
2015-02-06,66
2015-02-07,55
2015-02-08,50
2015-02-09,65
2015-02-10,66
2015-02-11,77
2015-02-12,81
2015-02-13,71
2015-02-14,55
2015-02-15,49
2015-02-16,56
2015-02-17,59
2015-02-18,68
2015-02-19,81
2015-02-20,73
2015-02-21,55
2015-02-22,52
2015-02-23,73
2015-02-24,68
2015-02-25,63
2015-02-26,65
2015-02-27,67
2015-02-28,54
2015-03-01,65
2015-03-02,75
2015-03-03,70
2015-03-04,71
2015-03-05,70
2015-03-06,69
2015-03-07,63
2015-03-08,56
2015-03-09,73
2015-03-10,68
2015-03-11,70
2015-03-12,61
2015-03-13,76
2015-03-14,60
2015-03-15,56
2015-03-16,72
2015-03-17,73
2015-03-18,69
2015-03-19,72
2015-03-20,84
2015-03-21,55
2015-03-22,60
2015-03-23,77
2015-03-24,80
2015-03-25,71
2015-03-26,72
2015-03-27,69
2015-03-28,61
2015-03-29,59
2015-03-30,72
2015-03-31,75
2015-04-01,77
2015-04-02,69
2015-04-03,52
2015-04-04,63
2015-04-05,59
2015-04-06,84
2015-04-07,70
2015-04-08,71
2015-04-09,76
2015-04-10,73
2015-04-11,66
2015-04-12,60
2015-04-13,82
2015-04-14,91
2015-04-15,74
2015-04-16,67
2015-04-17,72
2015-04-18,59
2015-04-19,56
2015-04-20,71
2015-04-21,60
2015-04-22,80
2015-04-23,72
2015-04-24,81
2015-04-25,65
2015-04-26,55
2015-04-27,69
2015-04-28,72
2015-04-29,74
2015-04-30,76
2015-05-01,81
2015-05-02,75
2015-05-03,69
2015-05-04,85
2015-05-05,68
2015-05-06,62
2015-05-07,67
2015-05-08,63
2015-05-09,51
2015-05-10,46
2015-05-11,69
2015-05-12,68
2015-05-13,73
2015-05-14,68
2015-05-15,71
2015-05-16,56
2015-05-17,58
2015-05-18,78
2015-05-19,68
2015-05-20,66
2015-05-21,74
2015-05-22,63
2015-05-23,62
2015-05-24,56
2015-05-25,79
2015-05-26,70
2015-05-27,77
2015-05-28,65
2015-05-29,67
2015-05-30,58
2015-05-31,59
2015-06-01,81
2015-06-02,70
2015-06-03,65
2015-06-04,56
2015-06-05,70
2015-06-06,60
2015-06-07,51
2015-06-08,69
2015-06-09,73
2015-06-10,74
2015-06-11,65
2015-06-12,69
2015-06-13,62
2015-06-14,62
2015-06-15,79
2015-06-16,71
2015-06-17,68
2015-06-18,73
2015-06-19,73
2015-06-20,58
2015-06-21,55
2015-06-22,74
2015-06-23,65
2015-06-24,61
2015-06-25,66
2015-06-26,73
2015-06-27,63
2015-06-28,55
2015-06-29,82
2015-06-30,72
2015-07-01,83
2015-07-02,75
2015-07-03,82
2015-07-04,65
2015-07-05,61
2015-07-06,79
2015-07-07,83
2015-07-08,86
2015-07-09,73
2015-07-10,76
2015-07-11,65
2015-07-12,55
2015-07-13,77
2015-07-14,78
2015-07-15,70
2015-07-16,80
2015-07-17,85
2015-07-18,57
2015-07-19,57
2015-07-20,85
2015-07-21,90
2015-07-22,85
2015-07-23,80
2015-07-24,85
2015-07-25,59
2015-07-26,62
2015-07-27,100
2015-07-28,99
2015-07-29,100
2015-07-30,90
2015-07-31,79
2015-08-01,74
2015-08-02,71
2015-08-03,86
2015-08-04,85
2015-08-05,79
2015-08-06,77
2015-08-07,84
2015-08-08,68
2015-08-09,59
2015-08-10,80
2015-08-11,83
2015-08-12,77
2015-08-13,89
2015-08-14,79
2015-08-15,61
2015-08-16,59
2015-08-17,81
2015-08-18,84
