date,BIDU,isPartial
2017-01-19,66,False
2017-01-20,69,False
2017-01-21,47,False
2017-01-22,50,False
2017-01-23,67,False
2017-01-24,55,False
2017-01-25,60,False
2017-01-26,64,False
2017-01-27,58,False
2017-01-28,51,False
2017-01-29,42,False
2017-01-30,60,False
2017-01-31,52,False
2017-02-01,78,False
2017-02-02,57,False
2017-02-03,62,False
2017-02-04,61,False
2017-02-05,46,False
2017-02-06,61,False
2017-02-07,56,False
2017-02-08,52,False
2017-02-09,56,False
2017-02-10,65,False
2017-02-11,47,False
2017-02-12,46,False
2017-02-13,63,False
2017-02-14,61,False
2017-02-15,62,False
2017-02-16,63,False
2017-02-17,52,False
2017-02-18,65,False
2017-02-19,44,False
2017-02-20,67,False
2017-02-21,67,False
2017-02-22,67,False
2017-02-23,65,False
2017-02-24,67,False
2017-02-25,47,False
2017-02-26,52,False
2017-02-27,62,False
2017-02-28,55,False
2017-03-01,68,False
2017-03-02,59,False
2017-03-03,60,False
2017-03-04,51,False
2017-03-05,54,False
2017-03-06,65,False
2017-03-07,58,False
2017-03-08,61,False
2017-03-09,61,False
2017-03-10,59,False
2017-03-11,48,False
2017-03-12,57,False
2017-03-13,71,False
2017-03-14,53,False
2017-03-15,65,False
2017-03-16,72,False
2017-03-17,74,False
2017-03-18,51,False
2017-03-19,50,False
2017-03-20,71,False
2017-03-21,71,False
2017-03-22,68,False
2017-03-23,62,False
2017-03-24,60,False
2017-03-25,52,False
2017-03-26,50,False
2017-03-27,75,False
2017-03-28,55,False
2017-03-29,51,False
2017-03-30,61,False
2017-03-31,56,False
2017-04-01,56,False
2017-04-02,57,False
2017-04-03,72,False
2017-04-04,63,False
2017-04-05,63,False
2017-04-06,55,False
2017-04-07,57,False
2017-04-08,58,False
2017-04-09,59,False
2017-04-10,64,False
2017-04-11,62,False
2017-04-12,62,False
2017-04-13,56,False
2017-04-14,50,False
2017-04-15,41,False
2017-04-16,50,False
2017-04-17,68,False
2017-04-18,66,False
2017-04-19,68,False
2017-04-20,66,False
2017-04-21,69,False
2017-04-22,62,False
2017-04-23,62,False
2017-04-24,82,False
2017-04-25,72,False
2017-04-26,79,False
2017-04-27,81,False
2017-04-28,83,False
2017-04-29,47,False
2017-04-30,48,False
2017-05-01,67,False
2017-05-02,83,False
2017-05-03,79,False
2017-05-04,55,False
2017-05-05,61,False
2017-05-06,42,False
2017-05-07,52,False
2017-05-08,57,False
2017-05-09,61,False
2017-05-10,60,False
2017-05-11,61,False
2017-05-12,58,False
2017-05-13,50,False
2017-05-14,40,False
2017-05-15,71,False
2017-05-16,67,False
2017-05-17,64,False
2017-05-18,56,False
2017-05-19,66,False
2017-05-20,59,False
2017-05-21,49,False
2017-05-22,61,False
2017-05-23,56,False
2017-05-24,57,False
2017-05-25,64,False
2017-05-26,63,False
2017-05-27,57,False
2017-05-28,39,False
2017-05-29,68,False
2017-05-30,47,False
2017-05-31,62,False
2017-06-01,70,False
2017-06-02,66,False
2017-06-03,51,False
2017-06-04,50,False
2017-06-05,57,False
2017-06-06,55,False
2017-06-07,63,False
2017-06-08,59,False
2017-06-09,61,False
2017-06-10,41,False
2017-06-11,51,False
2017-06-12,60,False
2017-06-13,56,False
2017-06-14,57,False
2017-06-15,45,False
2017-06-16,59,False
2017-06-17,60,False
2017-06-18,37,False
2017-06-19,57,False
2017-06-20,51,False
2017-06-21,59,False
2017-06-22,49,False
2017-06-23,58,False
2017-06-24,41,False
2017-06-25,51,False
2017-06-26,64,False
2017-06-27,63,False
2017-06-28,55,False
2017-06-29,53,False
2017-06-30,67,False
2017-07-01,52,False
2017-07-02,46,False
2017-07-03,59,False
2017-07-04,57,False
2017-07-05,71,False
2017-07-06,75,False
2017-07-07,50,False
2017-07-08,61,False
2017-07-09,52,False
2017-07-10,55,False
2017-07-11,68,False
2017-07-12,66,False
2017-07-13,58,False
2017-07-14,63,False
2017-07-15,59,False
2017-07-16,54,False
2017-07-17,63,False
2017-07-18,64,False
2017-07-19,59,False
2017-07-20,68,False
2017-07-21,63,False
2017-07-22,48,False
2017-07-23,57,False
2017-07-24,63,False
2017-07-25,70,False
2017-07-26,71,False
2017-07-27,85,False
2017-07-28,100,False
2017-07-29,60,False
2017-07-30,52,False
2017-07-31,74,False
2017-08-01,93,False
2017-08-02,80,False
2017-08-03,62,False
2017-08-04,59,False
2017-08-05,57,False
2017-08-06,56,False
2017-08-07,64,False
2017-08-08,71,False
2017-08-09,66,False
2017-08-10,69,False
2017-08-11,69,False
2017-08-12,42,False
2017-08-13,55,False
2017-08-14,76,False
2017-08-15,66,False
