date,inheritance
2016-08-02,67
2016-08-03,70
2016-08-04,67
2016-08-05,68
2016-08-06,54
2016-08-07,53
2016-08-08,68
2016-08-09,68
2016-08-10,78
2016-08-11,74
2016-08-12,68
2016-08-13,48
2016-08-14,56
2016-08-15,64
2016-08-16,65
2016-08-17,61
2016-08-18,60
2016-08-19,64
2016-08-20,49
2016-08-21,54
2016-08-22,66
2016-08-23,68
2016-08-24,66
2016-08-25,66
2016-08-26,60
2016-08-27,51
2016-08-28,56
2016-08-29,58
2016-08-30,67
2016-08-31,63
2016-09-01,67
2016-09-02,56
2016-09-03,49
2016-09-04,52
2016-09-05,53
2016-09-06,68
2016-09-07,77
2016-09-08,74
2016-09-09,61
2016-09-10,51
2016-09-11,56
2016-09-12,68
2016-09-13,69
2016-09-14,66
2016-09-15,66
2016-09-16,69
2016-09-17,49
2016-09-18,55
2016-09-19,74
2016-09-20,75
2016-09-21,72
2016-09-22,75
2016-09-23,69
2016-09-24,52
2016-09-25,59
2016-09-26,76
2016-09-27,73
2016-09-28,76
2016-09-29,71
2016-09-30,67
2016-10-01,47
2016-10-02,51
2016-10-03,69
2016-10-04,74
2016-10-05,75
2016-10-06,69
2016-10-07,59
2016-10-08,52
2016-10-09,54
2016-10-10,69
2016-10-11,72
2016-10-12,74
2016-10-13,74
2016-10-14,73
2016-10-15,52
2016-10-16,59
2016-10-17,77
2016-10-18,81
2016-10-19,75
2016-10-20,75
2016-10-21,67
2016-10-22,51
2016-10-23,61
2016-10-24,76
2016-10-25,76
2016-10-26,71
2016-10-27,73
2016-10-28,63
2016-10-29,44
2016-10-30,53
2016-10-31,67
2016-11-01,76
2016-11-02,84
2016-11-03,75
2016-11-04,70
2016-11-05,54
2016-11-06,55
2016-11-07,78
2016-11-08,74
2016-11-09,69
2016-11-10,73
2016-11-11,66
2016-11-12,53
2016-11-13,54
2016-11-14,78
2016-11-15,81
2016-11-16,72
2016-11-17,78
2016-11-18,65
2016-11-19,51
2016-11-20,54
2016-11-21,71
2016-11-22,71
2016-11-23,72
2016-11-24,58
2016-11-25,55
2016-11-26,50
2016-11-27,54
2016-11-28,75
2016-11-29,82
2016-11-30,82
2016-12-01,73
2016-12-02,73
2016-12-03,50
2016-12-04,55
2016-12-05,79
2016-12-06,81
2016-12-07,87
2016-12-08,78
2016-12-09,70
2016-12-10,44
2016-12-11,52
2016-12-12,72
2016-12-13,75
2016-12-14,75
2016-12-15,72
2016-12-16,61
2016-12-17,47
2016-12-18,47
2016-12-19,62
2016-12-20,60
2016-12-21,64
2016-12-22,55
2016-12-23,47
2016-12-24,38
2016-12-25,40
2016-12-26,46
2016-12-27,53
2016-12-28,54
2016-12-29,55
2016-12-30,51
2016-12-31,44
2017-01-01,47
2017-01-02,53
2017-01-03,68
2017-01-04,70
2017-01-05,76
2017-01-06,71
2017-01-07,56
2017-01-08,56
2017-01-09,70
2017-01-10,77
2017-01-11,77
2017-01-12,76
2017-01-13,69
2017-01-14,54
2017-01-15,56
2017-01-16,68
2017-01-17,81
2017-01-18,79
2017-01-19,84
2017-01-20,72
2017-01-21,58
2017-01-22,64
2017-01-23,81
2017-01-24,85
2017-01-25,84
2017-01-26,77
2017-01-27,75
2017-01-28,57
2017-01-29,68
2017-01-30,86
2017-01-31,91
2017-02-01,86
2017-02-02,91
2017-02-03,83
2017-02-04,56
2017-02-05,61
2017-02-06,85
2017-02-07,90
2017-02-08,88
2017-02-09,86
2017-02-10,79
2017-02-11,59
2017-02-12,64
2017-02-13,82
2017-02-14,84
2017-02-15,90
2017-02-16,88
2017-02-17,81
2017-02-18,56
2017-02-19,61
2017-02-20,77
2017-02-21,88
2017-02-22,84
2017-02-23,86
2017-02-24,78
2017-02-25,63
2017-02-26,66
2017-02-27,90
2017-02-28,95
2017-03-01,89
2017-03-02,98
2017-03-03,84
2017-03-04,64
2017-03-05,71
2017-03-06,88
2017-03-07,89
2017-03-08,100
2017-03-09,99
2017-03-10,82
2017-03-11,62
2017-03-12,59
2017-03-13,80
2017-03-14,83
2017-03-15,89
2017-03-16,91
2017-03-17,83
2017-03-18,67
2017-03-19,68
2017-03-20,91
2017-03-21,94
2017-03-22,96
2017-03-23,89
2017-03-24,83
2017-03-25,63
2017-03-26,65
2017-03-27,89
2017-03-28,90
2017-03-29,89
2017-03-30,85
2017-03-31,79
2017-04-01,61
2017-04-02,65
2017-04-03,83
2017-04-04,87
2017-04-05,83
2017-04-06,87
2017-04-07,80
2017-04-08,58
2017-04-09,63
2017-04-10,82
2017-04-11,82
2017-04-12,85
2017-04-13,77
2017-04-14,64
2017-04-15,58
2017-04-16,60
2017-04-17,81
2017-04-18,90
