date,inheritance
2013-06-29,53
2013-06-30,58
2013-07-01,66
2013-07-02,70
2013-07-03,66
2013-07-04,60
2013-07-05,61
2013-07-06,52
2013-07-07,60
2013-07-08,71
2013-07-09,69
2013-07-10,76
2013-07-11,70
2013-07-12,62
2013-07-13,51
2013-07-14,50
2013-07-15,72
2013-07-16,72
2013-07-17,70
2013-07-18,72
2013-07-19,65
2013-07-20,49
2013-07-21,56
2013-07-22,68
2013-07-23,77
2013-07-24,63
2013-07-25,72
2013-07-26,65
2013-07-27,54
2013-07-28,55
2013-07-29,76
2013-07-30,71
2013-07-31,69
2013-08-01,72
2013-08-02,65
2013-08-03,61
2013-08-04,63
2013-08-05,71
2013-08-06,68
2013-08-07,66
2013-08-08,67
2013-08-09,62
2013-08-10,50
2013-08-11,56
2013-08-12,63
2013-08-13,73
2013-08-14,67
2013-08-15,63
2013-08-16,62
2013-08-17,50
2013-08-18,56
2013-08-19,69
2013-08-20,67
2013-08-21,75
2013-08-22,69
2013-08-23,68
2013-08-24,58
2013-08-25,56
2013-08-26,71
2013-08-27,72
2013-08-28,70
2013-08-29,70
2013-08-30,65
2013-08-31,50
2013-09-01,60
2013-09-02,69
2013-09-03,69
2013-09-04,72
2013-09-05,73
2013-09-06,68
2013-09-07,55
2013-09-08,58
2013-09-09,71
2013-09-10,80
2013-09-11,78
2013-09-12,74
2013-09-13,66
2013-09-14,54
2013-09-15,60
2013-09-16,73
2013-09-17,73
2013-09-18,74
2013-09-19,81
2013-09-20,65
2013-09-21,60
2013-09-22,63
2013-09-23,77
2013-09-24,76
2013-09-25,77
2013-09-26,75
2013-09-27,72
2013-09-28,59
2013-09-29,63
2013-09-30,79
2013-10-01,81
2013-10-02,72
2013-10-03,69
2013-10-04,69
2013-10-05,59
2013-10-06,68
2013-10-07,78
2013-10-08,76
2013-10-09,74
2013-10-10,80
2013-10-11,74
2013-10-12,56
2013-10-13,55
2013-10-14,70
2013-10-15,74
2013-10-16,84
2013-10-17,77
2013-10-18,74
2013-10-19,54
2013-10-20,59
2013-10-21,83
2013-10-22,80
2013-10-23,73
2013-10-24,78
2013-10-25,73
2013-10-26,57
2013-10-27,66
2013-10-28,74
2013-10-29,83
2013-10-30,85
2013-10-31,70
2013-11-01,68
2013-11-02,54
2013-11-03,64
2013-11-04,82
2013-11-05,84
2013-11-06,90
2013-11-07,77
2013-11-08,68
2013-11-09,58
2013-11-10,62
2013-11-11,81
2013-11-12,85
2013-11-13,92
2013-11-14,85
2013-11-15,80
2013-11-16,60
2013-11-17,70
2013-11-18,83
2013-11-19,89
2013-11-20,96
2013-11-21,95
2013-11-22,74
2013-11-23,53
2013-11-24,64
2013-11-25,87
2013-11-26,82
2013-11-27,67
2013-11-28,68
2013-11-29,58
2013-11-30,57
2013-12-01,69
2013-12-02,74
2013-12-03,87
2013-12-04,88
2013-12-05,84
2013-12-06,73
2013-12-07,56
2013-12-08,69
2013-12-09,85
2013-12-10,86
2013-12-11,89
2013-12-12,82
2013-12-13,71
2013-12-14,54
2013-12-15,66
2013-12-16,81
2013-12-17,82
2013-12-18,76
2013-12-19,77
2013-12-20,60
2013-12-21,50
2013-12-22,50
2013-12-23,61
2013-12-24,51
2013-12-25,43
2013-12-26,46
2013-12-27,55
2013-12-28,47
2013-12-29,58
2013-12-30,65
2013-12-31,58
2014-01-01,51
2014-01-02,62
2014-01-03,66
2014-01-04,53
2014-01-05,56
2014-01-06,77
2014-01-07,85
2014-01-08,79
2014-01-09,79
2014-01-10,73
2014-01-11,57
2014-01-12,71
2014-01-13,80
2014-01-14,80
2014-01-15,80
2014-01-16,84
2014-01-17,85
2014-01-18,61
2014-01-19,70
2014-01-20,79
2014-01-21,87
2014-01-22,86
2014-01-23,84
2014-01-24,81
2014-01-25,62
2014-01-26,72
2014-01-27,86
2014-01-28,87
2014-01-29,82
2014-01-30,88
2014-01-31,87
2014-02-01,58
2014-02-02,72
2014-02-03,80
2014-02-04,92
2014-02-05,90
2014-02-06,83
2014-02-07,81
2014-02-08,59
2014-02-09,69
2014-02-10,88
2014-02-11,85
2014-02-12,93
2014-02-13,87
2014-02-14,74
2014-02-15,57
2014-02-16,63
2014-02-17,84
2014-02-18,90
2014-02-19,90
2014-02-20,92
2014-02-21,85
2014-02-22,66
2014-02-23,75
2014-02-24,96
2014-02-25,89
2014-02-26,96
2014-02-27,84
2014-02-28,83
2014-03-01,58
2014-03-02,67
2014-03-03,79
2014-03-04,89
2014-03-05,100
2014-03-06,96
2014-03-07,86
2014-03-08,64
2014-03-09,78
2014-03-10,96
2014-03-11,91
2014-03-12,93
2014-03-13,89
2014-03-14,81
2014-03-15,62
2014-03-16,69
