date,inheritance
2015-12-26,37
2015-12-27,42
2015-12-28,47
2015-12-29,48
2015-12-30,50
2015-12-31,42
2016-01-01,39
2016-01-02,44
2016-01-03,49
2016-01-04,63
2016-01-05,67
2016-01-06,68
2016-01-07,72
2016-01-08,66
2016-01-09,49
2016-01-10,58
2016-01-11,63
2016-01-12,71
2016-01-13,71
2016-01-14,69
2016-01-15,59
2016-01-16,48
2016-01-17,50
2016-01-18,60
2016-01-19,71
2016-01-20,74
2016-01-21,75
2016-01-22,62
2016-01-23,53
2016-01-24,50
2016-01-25,68
2016-01-26,76
2016-01-27,80
2016-01-28,76
2016-01-29,70
2016-01-30,55
2016-01-31,56
2016-02-01,74
2016-02-02,77
2016-02-03,77
2016-02-04,74
2016-02-05,68
2016-02-06,53
2016-02-07,58
2016-02-08,80
2016-02-09,76
2016-02-10,75
2016-02-11,71
2016-02-12,60
2016-02-13,47
2016-02-14,48
2016-02-15,68
2016-02-16,73
2016-02-17,77
2016-02-18,76
2016-02-19,72
2016-02-20,50
2016-02-21,59
2016-02-22,81
2016-02-23,75
2016-02-24,79
2016-02-25,80
2016-02-26,82
2016-02-27,52
2016-02-28,59
2016-02-29,79
2016-03-01,81
2016-03-02,83
2016-03-03,81
2016-03-04,73
2016-03-05,54
2016-03-06,62
2016-03-07,76
2016-03-08,80
2016-03-09,83
2016-03-10,74
2016-03-11,71
2016-03-12,48
2016-03-13,56
2016-03-14,70
2016-03-15,78
2016-03-16,75
2016-03-17,74
2016-03-18,68
2016-03-19,52
2016-03-20,57
2016-03-21,73
2016-03-22,73
2016-03-23,69
2016-03-24,60
2016-03-25,51
2016-03-26,47
2016-03-27,51
2016-03-28,65
2016-03-29,70
2016-03-30,74
2016-03-31,74
2016-04-01,67
2016-04-02,51
2016-04-03,65
2016-04-04,74
2016-04-05,79
2016-04-06,81
2016-04-07,77
2016-04-08,68
2016-04-09,50
2016-04-10,92
2016-04-11,100
2016-04-12,81
2016-04-13,83
2016-04-14,84
2016-04-15,71
2016-04-16,51
2016-04-17,56
2016-04-18,73
2016-04-19,75
2016-04-20,78
2016-04-21,74
2016-04-22,63
2016-04-23,51
2016-04-24,58
2016-04-25,74
2016-04-26,76
2016-04-27,79
2016-04-28,77
2016-04-29,69
2016-04-30,50
2016-05-01,57
2016-05-02,64
2016-05-03,77
2016-05-04,69
2016-05-05,68
2016-05-06,60
2016-05-07,45
2016-05-08,49
2016-05-09,71
2016-05-10,65
2016-05-11,70
2016-05-12,64
2016-05-13,61
2016-05-14,40
2016-05-15,51
2016-05-16,61
2016-05-17,64
2016-05-18,64
2016-05-19,61
2016-05-20,58
2016-05-21,47
2016-05-22,46
2016-05-23,62
2016-05-24,58
2016-05-25,66
2016-05-26,62
2016-05-27,51
2016-05-28,40
2016-05-29,40
2016-05-30,48
2016-05-31,58
2016-06-01,64
2016-06-02,59
2016-06-03,56
2016-06-04,42
2016-06-05,40
2016-06-06,62
2016-06-07,57
2016-06-08,61
2016-06-09,59
2016-06-10,55
2016-06-11,38
2016-06-12,43
2016-06-13,59
2016-06-14,61
2016-06-15,61
2016-06-16,58
2016-06-17,47
2016-06-18,42
2016-06-19,45
2016-06-20,57
2016-06-21,55
2016-06-22,62
2016-06-23,52
2016-06-24,48
2016-06-25,37
2016-06-26,42
2016-06-27,52
2016-06-28,54
2016-06-29,58
2016-06-30,54
2016-07-01,51
2016-07-02,36
2016-07-03,46
2016-07-04,53
2016-07-05,50
2016-07-06,55
2016-07-07,56
2016-07-08,52
2016-07-09,39
2016-07-10,40
2016-07-11,56
2016-07-12,56
2016-07-13,60
2016-07-14,55
2016-07-15,47
2016-07-16,39
2016-07-17,46
2016-07-18,54
2016-07-19,55
2016-07-20,56
2016-07-21,60
2016-07-22,54
2016-07-23,45
2016-07-24,42
2016-07-25,55
2016-07-26,62
2016-07-27,60
2016-07-28,60
2016-07-29,52
2016-07-30,43
2016-07-31,47
2016-08-01,55
2016-08-02,62
2016-08-03,66
2016-08-04,66
2016-08-05,59
2016-08-06,49
2016-08-07,47
2016-08-08,61
2016-08-09,59
2016-08-10,65
2016-08-11,67
2016-08-12,59
2016-08-13,48
2016-08-14,50
2016-08-15,58
2016-08-16,64
2016-08-17,55
2016-08-18,58
2016-08-19,56
2016-08-20,44
2016-08-21,45
2016-08-22,60
2016-08-23,60
2016-08-24,60
2016-08-25,59
2016-08-26,56
2016-08-27,50
2016-08-28,51
2016-08-29,53
2016-08-30,62
2016-08-31,61
2016-09-01,61
2016-09-02,52
2016-09-03,48
2016-09-04,42
2016-09-05,50
2016-09-06,61
2016-09-07,66
2016-09-08,65
2016-09-09,54
2016-09-10,47
2016-09-11,48
