date,inheritance
2010-08-24,56
2010-08-25,58
2010-08-26,55
2010-08-27,47
2010-08-28,42
2010-08-29,45
2010-08-30,47
2010-08-31,49
2010-09-01,53
2010-09-02,48
2010-09-03,48
2010-09-04,44
2010-09-05,43
2010-09-06,49
2010-09-07,54
2010-09-08,51
2010-09-09,54
2010-09-10,38
2010-09-11,35
2010-09-12,43
2010-09-13,47
2010-09-14,53
2010-09-15,55
2010-09-16,56
2010-09-17,47
2010-09-18,40
2010-09-19,45
2010-09-20,65
2010-09-21,67
2010-09-22,53
2010-09-23,53
2010-09-24,46
2010-09-25,36
2010-09-26,51
2010-09-27,55
2010-09-28,57
2010-09-29,52
2010-09-30,51
2010-10-01,48
2010-10-02,49
2010-10-03,51
2010-10-04,62
2010-10-05,56
2010-10-06,58
2010-10-07,56
2010-10-08,52
2010-10-09,41
2010-10-10,51
2010-10-11,62
2010-10-12,65
2010-10-13,54
2010-10-14,61
2010-10-15,57
2010-10-16,50
2010-10-17,46
2010-10-18,59
2010-10-19,58
2010-10-20,64
2010-10-21,60
2010-10-22,59
2010-10-23,48
2010-10-24,47
2010-10-25,52
2010-10-26,58
2010-10-27,67
2010-10-28,65
2010-10-29,49
2010-10-30,44
2010-10-31,42
2010-11-01,59
2010-11-02,65
2010-11-03,61
2010-11-04,54
2010-11-05,55
2010-11-06,47
2010-11-07,49
2010-11-08,63
2010-11-09,68
2010-11-10,63
2010-11-11,58
2010-11-12,55
2010-11-13,47
2010-11-14,52
2010-11-15,62
2010-11-16,56
2010-11-17,62
2010-11-18,60
2010-11-19,52
2010-11-20,47
2010-11-21,43
2010-11-22,56
2010-11-23,59
2010-11-24,53
2010-11-25,43
2010-11-26,47
2010-11-27,40
2010-11-28,47
2010-11-29,63
2010-11-30,54
2010-12-01,64
2010-12-02,60
2010-12-03,60
2010-12-04,49
2010-12-05,47
2010-12-06,66
2010-12-07,64
2010-12-08,69
2010-12-09,62
2010-12-10,59
2010-12-11,44
2010-12-12,54
2010-12-13,59
2010-12-14,59
2010-12-15,56
2010-12-16,60
2010-12-17,50
2010-12-18,40
2010-12-19,41
2010-12-20,46
2010-12-21,44
2010-12-22,53
2010-12-23,45
2010-12-24,31
2010-12-25,34
2010-12-26,38
2010-12-27,38
2010-12-28,49
2010-12-29,55
2010-12-30,48
2010-12-31,40
2011-01-01,41
2011-01-02,45
2011-01-03,51
2011-01-04,59
2011-01-05,57
2011-01-06,58
2011-01-07,54
2011-01-08,42
2011-01-09,43
2011-01-10,58
2011-01-11,64
2011-01-12,55
2011-01-13,58
2011-01-14,53
2011-01-15,38
2011-01-16,43
2011-01-17,65
2011-01-18,51
2011-01-19,53
2011-01-20,64
2011-01-21,51
2011-01-22,41
2011-01-23,51
2011-01-24,64
2011-01-25,57
2011-01-26,56
2011-01-27,62
2011-01-28,60
2011-01-29,44
2011-01-30,52
2011-01-31,55
2011-02-01,54
2011-02-02,64
2011-02-03,59
2011-02-04,58
2011-02-05,52
2011-02-06,45
2011-02-07,67
2011-02-08,59
2011-02-09,60
2011-02-10,60
2011-02-11,58
2011-02-12,34
2011-02-13,44
2011-02-14,59
2011-02-15,58
2011-02-16,61
2011-02-17,57
2011-02-18,61
2011-02-19,40
2011-02-20,47
2011-02-21,54
2011-02-22,58
2011-02-23,65
2011-02-24,58
2011-02-25,52
2011-02-26,41
2011-02-27,54
2011-02-28,57
2011-03-01,56
2011-03-02,57
2011-03-03,62
2011-03-04,55
2011-03-05,43
2011-03-06,54
2011-03-07,64
2011-03-08,60
2011-03-09,62
2011-03-10,58
2011-03-11,51
2011-03-12,40
2011-03-13,43
2011-03-14,50
2011-03-15,52
2011-03-16,57
2011-03-17,55
2011-03-18,53
2011-03-19,48
2011-03-20,48
2011-03-21,55
2011-03-22,59
2011-03-23,85
2011-03-24,68
2011-03-25,68
2011-03-26,60
2011-03-27,56
2011-03-28,63
2011-03-29,66
2011-03-30,65
2011-03-31,65
2011-04-01,62
2011-04-02,53
2011-04-03,57
2011-04-04,57
2011-04-05,65
2011-04-06,62
2011-04-07,60
2011-04-08,65
2011-04-09,57
2011-04-10,53
2011-04-11,68
2011-04-12,65
2011-04-13,85
2011-04-14,100
2011-04-15,85
2011-04-16,75
2011-04-17,79
2011-04-18,77
2011-04-19,77
2011-04-20,66
2011-04-21,64
2011-04-22,57
2011-04-23,45
2011-04-24,58
2011-04-25,61
2011-04-26,62
2011-04-27,59
2011-04-28,74
2011-04-29,57
2011-04-30,49
2011-05-01,54
2011-05-02,60
2011-05-03,60
2011-05-04,72
2011-05-05,64
2011-05-06,51
2011-05-07,43
2011-05-08,51
2011-05-09,60
2011-05-10,60
2011-05-11,59
