date,inheritance
2016-05-04,93
2016-05-05,89
2016-05-06,78
2016-05-07,60
2016-05-08,67
2016-05-09,88
2016-05-10,84
2016-05-11,92
2016-05-12,84
2016-05-13,80
2016-05-14,53
2016-05-15,63
2016-05-16,81
2016-05-17,87
2016-05-18,86
2016-05-19,84
2016-05-20,72
2016-05-21,59
2016-05-22,61
2016-05-23,79
2016-05-24,81
2016-05-25,83
2016-05-26,80
2016-05-27,69
2016-05-28,52
2016-05-29,50
2016-05-30,62
2016-05-31,78
2016-06-01,81
2016-06-02,71
2016-06-03,73
2016-06-04,53
2016-06-05,53
2016-06-06,75
2016-06-07,75
2016-06-08,76
2016-06-09,75
2016-06-10,71
2016-06-11,56
2016-06-12,52
2016-06-13,69
2016-06-14,74
2016-06-15,74
2016-06-16,71
2016-06-17,66
2016-06-18,52
2016-06-19,58
2016-06-20,71
2016-06-21,76
2016-06-22,75
2016-06-23,71
2016-06-24,62
2016-06-25,54
2016-06-26,52
2016-06-27,69
2016-06-28,75
2016-06-29,69
2016-06-30,70
2016-07-01,63
2016-07-02,48
2016-07-03,54
2016-07-04,63
2016-07-05,67
2016-07-06,69
2016-07-07,69
2016-07-08,65
2016-07-09,53
2016-07-10,53
2016-07-11,68
2016-07-12,71
2016-07-13,74
2016-07-14,71
2016-07-15,59
2016-07-16,54
2016-07-17,54
2016-07-18,75
2016-07-19,79
2016-07-20,73
2016-07-21,76
2016-07-22,71
2016-07-23,55
2016-07-24,60
2016-07-25,76
2016-07-26,78
2016-07-27,75
2016-07-28,75
2016-07-29,67
2016-07-30,60
2016-07-31,61
2016-08-01,70
2016-08-02,78
2016-08-03,87
2016-08-04,78
2016-08-05,74
2016-08-06,61
2016-08-07,61
2016-08-08,79
2016-08-09,81
2016-08-10,83
2016-08-11,89
2016-08-12,77
2016-08-13,58
2016-08-14,62
2016-08-15,75
2016-08-16,76
2016-08-17,76
2016-08-18,71
2016-08-19,72
2016-08-20,58
2016-08-21,63
2016-08-22,77
2016-08-23,74
2016-08-24,74
2016-08-25,79
2016-08-26,73
2016-08-27,64
2016-08-28,68
2016-08-29,70
2016-08-30,82
2016-08-31,79
2016-09-01,79
2016-09-02,70
2016-09-03,57
2016-09-04,56
2016-09-05,63
2016-09-06,80
2016-09-07,82
2016-09-08,85
2016-09-09,75
2016-09-10,60
2016-09-11,58
2016-09-12,82
2016-09-13,81
2016-09-14,83
2016-09-15,80
2016-09-16,78
2016-09-17,53
2016-09-18,64
2016-09-19,91
2016-09-20,83
2016-09-21,87
2016-09-22,85
2016-09-23,82
2016-09-24,66
2016-09-25,68
2016-09-26,84
2016-09-27,81
2016-09-28,90
2016-09-29,84
2016-09-30,78
2016-10-01,56
2016-10-02,61
2016-10-03,77
2016-10-04,83
2016-10-05,81
2016-10-06,80
2016-10-07,70
2016-10-08,60
2016-10-09,62
2016-10-10,79
2016-10-11,84
2016-10-12,89
2016-10-13,84
2016-10-14,86
2016-10-15,63
2016-10-16,70
2016-10-17,86
2016-10-18,92
2016-10-19,87
2016-10-20,88
2016-10-21,81
2016-10-22,61
2016-10-23,69
2016-10-24,89
2016-10-25,89
2016-10-26,83
2016-10-27,85
2016-10-28,76
2016-10-29,53
2016-10-30,64
2016-10-31,80
2016-11-01,87
2016-11-02,100
2016-11-03,89
2016-11-04,82
2016-11-05,63
2016-11-06,65
2016-11-07,92
2016-11-08,87
2016-11-09,83
2016-11-10,87
2016-11-11,76
2016-11-12,60
2016-11-13,67
2016-11-14,89
2016-11-15,92
2016-11-16,89
2016-11-17,93
2016-11-18,78
2016-11-19,56
2016-11-20,65
2016-11-21,84
2016-11-22,84
2016-11-23,86
2016-11-24,69
2016-11-25,66
2016-11-26,58
2016-11-27,64
2016-11-28,82
2016-11-29,94
2016-11-30,96
2016-12-01,89
2016-12-02,85
2016-12-03,56
2016-12-04,64
2016-12-05,94
2016-12-06,92
2016-12-07,97
2016-12-08,99
2016-12-09,84
2016-12-10,53
2016-12-11,61
2016-12-12,88
2016-12-13,93
2016-12-14,93
2016-12-15,82
2016-12-16,72
2016-12-17,56
2016-12-18,60
2016-12-19,72
2016-12-20,73
2016-12-21,70
2016-12-22,68
2016-12-23,58
2016-12-24,45
2016-12-25,49
2016-12-26,56
2016-12-27,57
2016-12-28,63
2016-12-29,65
2016-12-30,59
2016-12-31,50
2017-01-01,54
2017-01-02,65
2017-01-03,79
2017-01-04,83
2017-01-05,88
2017-01-06,81
2017-01-07,62
2017-01-08,65
2017-01-09,86
2017-01-10,91
2017-01-11,88
2017-01-12,88
2017-01-13,83
2017-01-14,60
2017-01-15,67
2017-01-16,83
2017-01-17,99
2017-01-18,98
2017-01-19,97
