date,INTC,isPartial
2013-11-06,15,False
2013-11-07,15,False
2013-11-08,18,False
2013-11-09,8,False
2013-11-10,4,False
2013-11-11,20,False
2013-11-12,16,False
2013-11-13,17,False
2013-11-14,16,False
2013-11-15,24,False
2013-11-16,8,False
2013-11-17,6,False
2013-11-18,15,False
2013-11-19,18,False
2013-11-20,16,False
2013-11-21,26,False
2013-11-22,46,False
2013-11-23,19,False
2013-11-24,7,False
2013-11-25,17,False
2013-11-26,21,False
2013-11-27,20,False
2013-11-28,10,False
2013-11-29,13,False
2013-11-30,8,False
2013-12-01,6,False
2013-12-02,15,False
2013-12-03,20,False
2013-12-04,17,False
2013-12-05,17,False
2013-12-06,23,False
2013-12-07,7,False
2013-12-08,5,False
2013-12-09,21,False
2013-12-10,22,False
2013-12-11,14,False
2013-12-12,19,False
2013-12-13,20,False
2013-12-14,4,False
2013-12-15,4,False
2013-12-16,16,False
2013-12-17,16,False
2013-12-18,20,False
2013-12-19,23,False
2013-12-20,18,False
2013-12-21,10,False
2013-12-22,4,False
2013-12-23,19,False
2013-12-24,18,False
2013-12-25,6,False
2013-12-26,21,False
2013-12-27,24,False
2013-12-28,9,False
2013-12-29,4,False
2013-12-30,24,False
2013-12-31,19,False
2014-01-01,18,False
2014-01-02,25,False
2014-01-03,21,False
2014-01-04,8,False
2014-01-05,5,False
2014-01-06,20,False
2014-01-07,25,False
2014-01-08,20,False
2014-01-09,22,False
2014-01-10,16,False
2014-01-11,9,False
2014-01-12,6,False
2014-01-13,23,False
2014-01-14,33,False
2014-01-15,44,False
2014-01-16,62,False
2014-01-17,63,False
2014-01-18,19,False
2014-01-19,7,False
2014-01-20,12,False
2014-01-21,25,False
2014-01-22,22,False
2014-01-23,22,False
2014-01-24,30,False
2014-01-25,7,False
2014-01-26,5,False
2014-01-27,17,False
2014-01-28,23,False
2014-01-29,20,False
2014-01-30,18,False
2014-01-31,20,False
2014-02-01,7,False
2014-02-02,4,False
2014-02-03,17,False
2014-02-04,22,False
2014-02-05,17,False
2014-02-06,18,False
2014-02-07,18,False
2014-02-08,11,False
2014-02-09,6,False
2014-02-10,14,False
2014-02-11,17,False
2014-02-12,21,False
2014-02-13,18,False
