date,INTC,isPartial
2011-09-18,5,False
2011-09-19,21,False
2011-09-20,27,False
2011-09-21,28,False
2011-09-22,38,False
2011-09-23,41,False
2011-09-24,19,False
2011-09-25,4,False
2011-09-26,28,False
2011-09-27,27,False
2011-09-28,34,False
2011-09-29,27,False
2011-09-30,19,False
2011-10-01,11,False
2011-10-02,0,False
2011-10-03,26,False
2011-10-04,29,False
2011-10-05,31,False
2011-10-06,20,False
2011-10-07,23,False
2011-10-08,7,False
2011-10-09,4,False
2011-10-10,27,False
2011-10-11,27,False
2011-10-12,39,False
2011-10-13,29,False
2011-10-14,48,False
2011-10-15,11,False
2011-10-16,9,False
2011-10-17,32,False
2011-10-18,64,False
2011-10-19,100,False
2011-10-20,71,False
2011-10-21,39,False
2011-10-22,13,False
2011-10-23,2,False
2011-10-24,49,False
2011-10-25,44,False
2011-10-26,44,False
2011-10-27,52,False
2011-10-28,56,False
2011-10-29,14,False
2011-10-30,4,False
2011-10-31,42,False
2011-11-01,23,False
2011-11-02,34,False
2011-11-03,19,False
2011-11-04,44,False
2011-11-05,9,False
2011-11-06,5,False
2011-11-07,26,False
2011-11-08,26,False
2011-11-09,26,False
2011-11-10,32,False
2011-11-11,29,False
2011-11-12,19,False
2011-11-13,10,False
2011-11-14,37,False
2011-11-15,41,False
2011-11-16,36,False
2011-11-17,29,False
2011-11-18,23,False
2011-11-19,7,False
2011-11-20,12,False
2011-11-21,20,False
2011-11-22,30,False
2011-11-23,22,False
2011-11-24,9,False
2011-11-25,6,False
2011-11-26,4,False
2011-11-27,9,False
2011-11-28,13,False
2011-11-29,34,False
2011-11-30,35,False
2011-12-01,36,False
2011-12-02,21,False
2011-12-03,23,False
2011-12-04,7,False
2011-12-05,27,False
2011-12-06,21,False
2011-12-07,27,False
2011-12-08,42,False
2011-12-09,36,False
2011-12-10,5,False
2011-12-11,5,False
2011-12-12,36,False
2011-12-13,32,False
2011-12-14,24,False
2011-12-15,20,False
2011-12-16,24,False
2011-12-17,4,False
2011-12-18,7,False
2011-12-19,16,False
2011-12-20,28,False
2011-12-21,25,False
2011-12-22,15,False
2011-12-23,18,False
2011-12-24,14,False
2011-12-25,4,False
2011-12-26,12,False
2011-12-27,18,False
2011-12-28,24,False
2011-12-29,31,False
2011-12-30,24,False
2011-12-31,17,False
2012-01-01,6,False
2012-01-02,14,False
2012-01-03,34,False
2012-01-04,21,False
2012-01-05,41,False
2012-01-06,34,False
2012-01-07,17,False
2012-01-08,16,False
2012-01-09,27,False
2012-01-10,46,False
2012-01-11,27,False
2012-01-12,41,False
2012-01-13,21,False
2012-01-14,10,False
2012-01-15,5,False
2012-01-16,39,False
2012-01-17,24,False
2012-01-18,20,False
2012-01-19,60,False
2012-01-20,53,False
2012-01-21,21,False
2012-01-22,11,False
2012-01-23,51,False
2012-01-24,41,False
2012-01-25,46,False
2012-01-26,40,False
2012-01-27,35,False
2012-01-28,13,False
2012-01-29,5,False
2012-01-30,38,False
2012-01-31,33,False
2012-02-01,23,False
2012-02-02,29,False
2012-02-03,28,False
2012-02-04,11,False
2012-02-05,5,False
2012-02-06,19,False
2012-02-07,28,False
2012-02-08,21,False
2012-02-09,32,False
2012-02-10,29,False
2012-02-11,11,False
2012-02-12,6,False
2012-02-13,18,False
2012-02-14,25,False
2012-02-15,37,False
2012-02-16,31,False
2012-02-17,29,False
2012-02-18,16,False
2012-02-19,8,False
2012-02-20,16,False
2012-02-21,42,False
2012-02-22,37,False
2012-02-23,24,False
2012-02-24,22,False
2012-02-25,11,False
2012-02-26,8,False
2012-02-27,26,False
2012-02-28,27,False
2012-02-29,35,False
2012-03-01,32,False
2012-03-02,21,False
2012-03-03,16,False
2012-03-04,5,False
2012-03-05,32,False
2012-03-06,23,False
2012-03-07,29,False
2012-03-08,21,False
2012-03-09,26,False
2012-03-10,10,False
2012-03-11,14,False
2012-03-12,30,False
2012-03-13,23,False
2012-03-14,38,False
2012-03-15,29,False
2012-03-16,35,False
2012-03-17,16,False
2012-03-18,11,False
2012-03-19,27,False
2012-03-20,21,False
2012-03-21,22,False
2012-03-22,23,False
2012-03-23,35,False
2012-03-24,13,False
2012-03-25,5,False
2012-03-26,33,False
2012-03-27,22,False
2012-03-28,22,False
2012-03-29,20,False
2012-03-30,25,False
2012-03-31,16,False
2012-04-01,11,False
2012-04-02,24,False
2012-04-03,30,False
2012-04-04,30,False
2012-04-05,21,False
2012-04-06,17,False
2012-04-07,5,False
2012-04-08,5,False
2012-04-09,20,False
2012-04-10,23,False
2012-04-11,27,False
2012-04-12,21,False
2012-04-13,24,False
2012-04-14,11,False
2012-04-15,6,False
2012-04-16,26,False
2012-04-17,59,False
2012-04-18,70,False
2012-04-19,42,False
2012-04-20,33,False
2012-04-21,20,False
2012-04-22,2,False
2012-04-23,37,False
2012-04-24,38,False
2012-04-25,29,False
2012-04-26,21,False
2012-04-27,44,False
2012-04-28,10,False
2012-04-29,8,False
2012-04-30,20,False
2012-05-01,42,False
2012-05-02,30,False
2012-05-03,49,False
2012-05-04,36,False
2012-05-05,11,False
2012-05-06,11,False
2012-05-07,41,False
2012-05-08,24,False
2012-05-09,22,False
2012-05-10,24,False
2012-05-11,26,False
2012-05-12,13,False
2012-05-13,14,False
2012-05-14,15,False
2012-05-15,28,False
2012-05-16,26,False
2012-05-17,20,False
2012-05-18,23,False
2012-05-19,8,False
2012-05-20,11,False
2012-05-21,15,False
2012-05-22,22,False
2012-05-23,32,False
2012-05-24,25,False
2012-05-25,25,False
2012-05-26,8,False
2012-05-27,12,False
2012-05-28,7,False
2012-05-29,32,False
2012-05-30,23,False
2012-05-31,25,False
2012-06-01,15,False
2012-06-02,8,False
2012-06-03,5,False
2012-06-04,18,False
