date,GILD,isPartial
2011-01-01,39,False
2011-01-02,44,False
2011-01-03,31,False
2011-01-04,75,False
2011-01-05,49,False
2011-01-06,27,False
2011-01-07,35,False
2011-01-08,37,False
2011-01-09,27,False
2011-01-10,47,False
2011-01-11,43,False
2011-01-12,32,False
2011-01-13,40,False
2011-01-14,45,False
2011-01-15,72,False
2011-01-16,26,False
2011-01-17,18,False
2011-01-18,64,False
2011-01-19,43,False
2011-01-20,50,False
2011-01-21,37,False
2011-01-22,31,False
2011-01-23,35,False
2011-01-24,67,False
2011-01-25,53,False
2011-01-26,29,False
2011-01-27,58,False
2011-01-28,60,False
2011-01-29,39,False
2011-01-30,54,False
2011-01-31,54,False
2011-02-01,41,False
2011-02-02,44,False
2011-02-03,49,False
2011-02-04,51,False
2011-02-05,46,False
2011-02-06,51,False
2011-02-07,38,False
2011-02-08,31,False
2011-02-09,38,False
2011-02-10,39,False
2011-02-11,37,False
2011-02-12,35,False
2011-02-13,47,False
2011-02-14,42,False
2011-02-15,34,False
2011-02-16,42,False
2011-02-17,56,False
2011-02-18,40,False
2011-02-19,48,False
2011-02-20,51,False
2011-02-21,35,False
2011-02-22,38,False
2011-02-23,63,False
2011-02-24,46,False
2011-02-25,44,False
2011-02-26,56,False
2011-02-27,46,False
2011-02-28,61,False
2011-03-01,54,False
2011-03-02,24,False
2011-03-03,38,False
2011-03-04,67,False
2011-03-05,53,False
2011-03-06,44,False
2011-03-07,57,False
2011-03-08,60,False
2011-03-09,34,False
2011-03-10,52,False
2011-03-11,60,False
2011-03-12,22,False
2011-03-13,52,False
2011-03-14,47,False
2011-03-15,28,False
2011-03-16,34,False
2011-03-17,56,False
2011-03-18,56,False
2011-03-19,56,False
2011-03-20,64,False
2011-03-21,44,False
2011-03-22,69,False
2011-03-23,45,False
2011-03-24,63,False
2011-03-25,44,False
2011-03-26,34,False
2011-03-27,39,False
2011-03-28,58,False
2011-03-29,58,False
2011-03-30,79,False
2011-03-31,66,False
2011-04-01,40,False
2011-04-02,45,False
2011-04-03,52,False
2011-04-04,24,False
2011-04-05,41,False
2011-04-06,52,False
2011-04-07,25,False
2011-04-08,48,False
2011-04-09,62,False
2011-04-10,39,False
2011-04-11,41,False
2011-04-12,31,False
2011-04-13,31,False
2011-04-14,50,False
2011-04-15,51,False
2011-04-16,36,False
2011-04-17,40,False
2011-04-18,42,False
2011-04-19,53,False
2011-04-20,47,False
2011-04-21,46,False
2011-04-22,59,False
2011-04-23,51,False
2011-04-24,100,False
2011-04-25,50,False
2011-04-26,55,False
2011-04-27,75,False
2011-04-28,35,False
2011-04-29,55,False
2011-04-30,40,False
2011-05-01,48,False
2011-05-02,62,False
2011-05-03,30,False
2011-05-04,42,False
2011-05-05,25,False
2011-05-06,44,False
2011-05-07,53,False
2011-05-08,40,False
2011-05-09,37,False
2011-05-10,44,False
2011-05-11,48,False
2011-05-12,41,False
2011-05-13,55,False
2011-05-14,44,False
2011-05-15,37,False
2011-05-16,39,False
2011-05-17,48,False
2011-05-18,48,False
2011-05-19,31,False
2011-05-20,36,False
2011-05-21,44,False
2011-05-22,51,False
2011-05-23,17,False
2011-05-24,64,False
2011-05-25,27,False
2011-05-26,58,False
2011-05-27,40,False
2011-05-28,35,False
2011-05-29,31,False
2011-05-30,21,False
2011-05-31,61,False
2011-06-01,38,False
2011-06-02,36,False
2011-06-03,33,False
2011-06-04,45,False
2011-06-05,22,False
2011-06-06,58,False
2011-06-07,53,False
2011-06-08,48,False
2011-06-09,37,False
2011-06-10,36,False
2011-06-11,22,False
2011-06-12,48,False
2011-06-13,31,False
2011-06-14,40,False
2011-06-15,75,False
2011-06-16,31,False
2011-06-17,40,False
2011-06-18,57,False
2011-06-19,44,False
2011-06-20,69,False
2011-06-21,63,False
2011-06-22,69,False
2011-06-23,39,False
2011-06-24,48,False
2011-06-25,49,False
2011-06-26,35,False
2011-06-27,48,False
2011-06-28,58,False
2011-06-29,55,False
2011-06-30,38,False
2011-07-01,36,False
2011-07-02,54,False
2011-07-03,22,False
2011-07-04,54,False
2011-07-05,45,False
2011-07-06,42,False
2011-07-07,49,False
2011-07-08,36,False
2011-07-09,49,False
2011-07-10,27,False
2011-07-11,62,False
2011-07-12,38,False
2011-07-13,24,False
2011-07-14,53,False
2011-07-15,33,False
2011-07-16,45,False
2011-07-17,36,False
2011-07-18,17,False
2011-07-19,55,False
2011-07-20,48,False
2011-07-21,45,False
2011-07-22,44,False
2011-07-23,30,False
2011-07-24,43,False
2011-07-25,34,False
2011-07-26,54,False
2011-07-27,45,False
2011-07-28,31,False
2011-07-29,55,False
2011-07-30,35,False
2011-07-31,58,False
2011-08-01,28,False
2011-08-02,66,False
2011-08-03,48,False
2011-08-04,38,False
2011-08-05,61,False
2011-08-06,30,False
2011-08-07,29,False
2011-08-08,43,False
2011-08-09,50,False
2011-08-10,44,False
2011-08-11,44,False
2011-08-12,40,False
2011-08-13,39,False
2011-08-14,51,False
2011-08-15,61,False
2011-08-16,44,False
2011-08-17,34,False
2011-08-18,34,False
2011-08-19,45,False
2011-08-20,59,False
2011-08-21,50,False
2011-08-22,69,False
2011-08-23,29,False
2011-08-24,20,False
2011-08-25,20,False
2011-08-26,52,False
2011-08-27,46,False
2011-08-28,52,False
2011-08-29,36,False
2011-08-30,32,False
2011-08-31,53,False
2011-09-01,47,False
2011-09-02,44,False
2011-09-03,20,False
2011-09-04,44,False
2011-09-05,49,False
2011-09-06,38,False
2011-09-07,54,False
2011-09-08,48,False
2011-09-09,49,False
2011-09-10,24,False
2011-09-11,46,False
2011-09-12,41,False
2011-09-13,52,False
2011-09-14,50,False
2011-09-15,28,False
2011-09-16,33,False
2011-09-17,55,False
2011-09-18,30,False
