date,GILD,isPartial
2014-12-01,39,False
2014-12-02,41,False
2014-12-03,44,False
2014-12-04,41,False
2014-12-05,48,False
2014-12-06,26,False
2014-12-07,28,False
2014-12-08,28,False
2014-12-09,44,False
2014-12-10,37,False
2014-12-11,32,False
2014-12-12,40,False
2014-12-13,17,False
2014-12-14,19,False
2014-12-15,29,False
2014-12-16,37,False
2014-12-17,31,False
2014-12-18,34,False
2014-12-19,54,False
2014-12-20,21,False
2014-12-21,20,False
2014-12-22,91,False
2014-12-23,100,False
2014-12-24,68,False
2014-12-25,25,False
2014-12-26,52,False
2014-12-27,20,False
2014-12-28,16,False
2014-12-29,49,False
2014-12-30,44,False
2014-12-31,43,False
2015-01-01,17,False
2015-01-02,31,False
2015-01-03,17,False
2015-01-04,21,False
2015-01-05,46,False
2015-01-06,44,False
2015-01-07,45,False
2015-01-08,44,False
2015-01-09,37,False
2015-01-10,23,False
2015-01-11,22,False
2015-01-12,38,False
2015-01-13,56,False
2015-01-14,41,False
2015-01-15,36,False
2015-01-16,50,False
2015-01-17,25,False
2015-01-18,23,False
2015-01-19,26,False
2015-01-20,34,False
2015-01-21,44,False
2015-01-22,34,False
2015-01-23,41,False
2015-01-24,28,False
2015-01-25,20,False
2015-01-26,32,False
2015-01-27,45,False
2015-01-28,34,False
2015-01-29,36,False
2015-01-30,47,False
2015-01-31,25,False
2015-02-01,16,False
2015-02-02,31,False
2015-02-03,67,False
2015-02-04,87,False
2015-02-05,65,False
2015-02-06,52,False
2015-02-07,38,False
2015-02-08,21,False
2015-02-09,42,False
2015-02-10,40,False
2015-02-11,43,False
2015-02-12,45,False
2015-02-13,43,False
2015-02-14,28,False
2015-02-15,23,False
2015-02-16,23,False
2015-02-17,40,False
2015-02-18,33,False
2015-02-19,40,False
2015-02-20,45,False
2015-02-21,19,False
2015-02-22,25,False
2015-02-23,29,False
2015-02-24,40,False
2015-02-25,35,False
2015-02-26,35,False
2015-02-27,93,False
2015-02-28,39,False
2015-03-01,30,False
2015-03-02,40,False
2015-03-03,28,False
2015-03-04,39,False
2015-03-05,34,False
2015-03-06,31,False
2015-03-07,16,False
2015-03-08,26,False
2015-03-09,39,False
2015-03-10,36,False
2015-03-11,32,False
2015-03-12,28,False
2015-03-13,28,False
2015-03-14,24,False
2015-03-15,24,False
2015-03-16,28,False
2015-03-17,39,False
2015-03-18,33,False
2015-03-19,29,False
2015-03-20,37,False
2015-03-21,26,False
2015-03-22,19,False
2015-03-23,40,False
2015-03-24,36,False
2015-03-25,26,False
2015-03-26,43,False
2015-03-27,28,False
2015-03-28,22,False
2015-03-29,21,False
2015-03-30,37,False
2015-03-31,38,False
2015-04-01,42,False
2015-04-02,33,False
2015-04-03,23,False
2015-04-04,15,False
2015-04-05,18,False
2015-04-06,26,False
2015-04-07,36,False
2015-04-08,28,False
2015-04-09,31,False
2015-04-10,34,False
2015-04-11,18,False
2015-04-12,16,False
2015-04-13,29,False
2015-04-14,29,False
2015-04-15,30,False
2015-04-16,37,False
2015-04-17,35,False
2015-04-18,28,False
2015-04-19,14,False
2015-04-20,23,False
2015-04-21,35,False
2015-04-22,38,False
2015-04-23,39,False
2015-04-24,31,False
2015-04-25,21,False
2015-04-26,18,False
2015-04-27,32,False
2015-04-28,43,False
2015-04-29,30,False
2015-04-30,60,False
2015-05-01,71,False
2015-05-02,18,False
2015-05-03,18,False
2015-05-04,41,False
2015-05-05,36,False
2015-05-06,27,False
2015-05-07,29,False
2015-05-08,34,False
2015-05-09,18,False
2015-05-10,14,False
2015-05-11,22,False
2015-05-12,29,False
2015-05-13,31,False
2015-05-14,46,False
2015-05-15,35,False
2015-05-16,20,False
2015-05-17,22,False
2015-05-18,36,False
2015-05-19,33,False
2015-05-20,47,False
2015-05-21,26,False
2015-05-22,32,False
2015-05-23,17,False
2015-05-24,24,False
2015-05-25,17,False
2015-05-26,36,False
2015-05-27,38,False
2015-05-28,30,False
2015-05-29,35,False
2015-05-30,20,False
2015-05-31,20,False
2015-06-01,29,False
2015-06-02,34,False
2015-06-03,42,False
2015-06-04,35,False
2015-06-05,28,False
2015-06-06,24,False
2015-06-07,18,False
2015-06-08,33,False
2015-06-09,29,False
2015-06-10,34,False
2015-06-11,47,False
2015-06-12,37,False
2015-06-13,13,False
2015-06-14,14,False
2015-06-15,28,False
2015-06-16,22,False
2015-06-17,32,False
2015-06-18,36,False
2015-06-19,37,False
2015-06-20,23,False
2015-06-21,27,False
2015-06-22,32,False
2015-06-23,35,False
2015-06-24,33,False
2015-06-25,41,False
2015-06-26,32,False
2015-06-27,27,False
2015-06-28,23,False
2015-06-29,37,False
2015-06-30,41,False
2015-07-01,28,False
2015-07-02,32,False
2015-07-03,20,False
2015-07-04,21,False
2015-07-05,22,False
2015-07-06,31,False
2015-07-07,28,False
2015-07-08,41,False
2015-07-09,35,False
2015-07-10,28,False
2015-07-11,24,False
2015-07-12,23,False
2015-07-13,26,False
2015-07-14,34,False
2015-07-15,32,False
2015-07-16,29,False
2015-07-17,33,False
2015-07-18,25,False
2015-07-19,25,False
2015-07-20,53,False
2015-07-21,41,False
2015-07-22,39,False
2015-07-23,33,False
2015-07-24,42,False
2015-07-25,31,False
2015-07-26,33,False
2015-07-27,40,False
2015-07-28,78,False
2015-07-29,70,False
2015-07-30,43,False
2015-07-31,39,False
2015-08-01,15,False
2015-08-02,18,False
2015-08-03,33,False
2015-08-04,37,False
2015-08-05,32,False
2015-08-06,31,False
2015-08-07,35,False
2015-08-08,23,False
2015-08-09,20,False
2015-08-10,34,False
2015-08-11,32,False
2015-08-12,39,False
2015-08-13,28,False
2015-08-14,29,False
2015-08-15,15,False
2015-08-16,25,False
2015-08-17,28,False
2015-08-18,24,False
