date,DISH,isPartial
2018-02-13,62,False
2018-02-14,58,False
2018-02-15,59,False
2018-02-16,61,False
2018-02-17,65,False
2018-02-18,70,False
2018-02-19,62,False
2018-02-20,56,False
2018-02-21,57,False
2018-02-22,60,False
2018-02-23,59,False
2018-02-24,66,False
2018-02-25,66,False
2018-02-26,59,False
2018-02-27,56,False
2018-02-28,55,False
2018-03-01,58,False
2018-03-02,60,False
2018-03-03,66,False
2018-03-04,68,False
2018-03-05,59,False
2018-03-06,64,False
2018-03-07,60,False
2018-03-08,62,False
2018-03-09,60,False
2018-03-10,66,False
2018-03-11,71,False
2018-03-12,58,False
2018-03-13,60,False
2018-03-14,60,False
2018-03-15,58,False
2018-03-16,58,False
2018-03-17,67,False
2018-03-18,72,False
2018-03-19,61,False
2018-03-20,57,False
2018-03-21,58,False
2018-03-22,56,False
2018-03-23,57,False
2018-03-24,65,False
2018-03-25,67,False
2018-03-26,59,False
2018-03-27,60,False
2018-03-28,58,False
2018-03-29,62,False
2018-03-30,66,False
2018-03-31,74,False
2018-04-01,70,False
2018-04-02,64,False
2018-04-03,63,False
2018-04-04,62,False
2018-04-05,63,False
2018-04-06,65,False
2018-04-07,100,False
2018-04-08,87,False
2018-04-09,63,False
2018-04-10,65,False
2018-04-11,59,False
2018-04-12,59,False
2018-04-13,61,False
2018-04-14,68,False
2018-04-15,69,False
2018-04-16,59,False
2018-04-17,58,False
2018-04-18,55,False
2018-04-19,56,False
2018-04-20,57,False
2018-04-21,65,False
2018-04-22,65,False
2018-04-23,56,False
2018-04-24,55,False
2018-04-25,55,False
2018-04-26,57,False
2018-04-27,55,False
2018-04-28,62,False
2018-04-29,64,False
2018-04-30,59,False
2018-05-01,61,False
2018-05-02,59,False
2018-05-03,56,False
2018-05-04,56,False
2018-05-05,63,False
2018-05-06,65,False
2018-05-07,67,False
2018-05-08,63,False
2018-05-09,59,False
2018-05-10,57,False
2018-05-11,57,False
2018-05-12,66,False
2018-05-13,63,False
2018-05-14,60,False
2018-05-15,57,False
2018-05-16,56,False
2018-05-17,55,False
2018-05-18,56,False
2018-05-19,63,False
2018-05-20,67,False
2018-05-21,57,False
2018-05-22,56,False
2018-05-23,54,False
2018-05-24,54,False
2018-05-25,55,False
2018-05-26,61,False
2018-05-27,66,False
2018-05-28,63,False
2018-05-29,58,False
2018-05-30,58,False
2018-05-31,59,False
2018-06-01,60,False
